[Wafer Information]
Wafer Number,19
Wafer ID,A62-Q334447-351
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C01964-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/02/2024 01:39
End Time,01/02/2024 01:42
Inspection Time,0:03:21
Photo Time,0:05:54
Data Output Time,01/02/2024 02:45

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others,F99 Others
19,A62-Q334447-351,5518,5476,99.238855,42,56,42,13,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,48,50,8.649612,141.276996,403.64856,1
8,24,50,28.83204,8.649612,72.0801,1
14,47,50,43.24806,17.299224,233.539524,3
13,17,50,144.1602,8.649612,420.947784,1
13,17,50,123.977772,8.649612,357.517296,1
13,33,50,86.49612,8.649612,230.65632,1
16,15,50,14.41602,20.182428,74.963304,2
16,14,50,276.787584,8.649612,815.946732,1
16,14,50,273.90438,8.649612,813.063528,1
16,14,50,271.021176,8.649612,810.180324,1
16,14,50,149.926608,8.649612,446.89662,1
28,47,50,57.66408,23.065632,383.466132,3
33,64,50,271.021176,8.649612,781.348284,1
33,64,50,271.021176,8.649612,769.815468,1
36,31,50,54.780876,8.649612,152.809812,1
34,64,50,28.83204,8.649612,83.612916,1
37,14,50,49.014468,11.532816,147.043404,1
37,58,50,69.196896,25.948836,418.06458,3
37,44,50,43.24806,20.182428,253.721952,3
40,47,50,43.24806,25.948836,276.787584,3
39,49,50,43.24806,34.598448,380.582928,3
50,16,50,271.021176,8.649612,743.866632,1
50,16,50,271.021176,8.649612,778.46508,1
50,16,50,66.313692,8.649612,181.641852,1
55,17,50,43.24806,25.948836,250.838748,3
54,66,50,46.131264,20.182428,299.853216,3
56,47,50,273.90438,8.649612,815.946732,1
56,26,50,37.481652,34.598448,340.218072,3
57,31,50,268.137972,8.649612,798.647508,1
57,31,50,57.66408,8.649612,149.926608,1
56,31,50,271.021176,8.649612,743.866632,1
57,47,50,271.021176,8.649612,810.180324,1
57,47,50,271.021176,8.649612,752.516244,1
60,65,50,43.24806,17.299224,227.773116,3
65,65,50,77.846508,23.065632,516.093516,3
63,55,50,43.24806,23.065632,256.605156,3
87,48,50,273.90438,8.649612,738.100224,1
90,39,50,43.24806,28.83204,299.853216,3
101,31,50,271.021176,8.649612,778.46508,1
101,31,50,273.90438,8.649612,804.413916,1
101,31,50,271.021176,8.649612,810.180324,1
10,29,50,8.624142,8.624142,22.929992,1
20,59,50,5.749428,14.37357,17.197494,1
20,59,50,2.874714,14.37357,14.331245,1
21,59,50,2.874714,5.749428,5.732498,1
22,59,50,8.624142,8.624142,17.197494,1
33,52,50,2.874714,5.749428,5.732498,1
36,52,50,2.874714,17.248284,17.197494,1
36,52,50,2.874714,17.248284,17.197494,1
35,28,50,2.874714,5.749428,5.732498,1
47,55,50,2.874714,11.498856,11.464996,1
50,62,50,2.874714,5.749428,5.732498,1
50,62,50,2.874714,25.872426,25.796241,1
60,12,50,2.874714,5.749428,5.732498,1
63,59,50,2.874714,5.749428,5.732498,1
87,50,50,5.749428,17.248284,20.063743,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others,F99 Others
