[Wafer Information]
Wafer Number,11
Wafer ID,CEJ298
Job Name,R083B0T(AR0830CSSC11SMD20)_R_08_01
Model Name,EagleT
Lot Number,23C02036-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,3902.03,Y,6405.749
Chip Num. XY,X,27,Y,45
Wafer Thickness(um),0

[INSP]
Start Time,01/04/2024 11:03
End Time,01/04/2024 11:06
Inspection Time,0:03:02
Photo Time,0:00:00
Data Output Time,01/04/2024 01:24

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F33 Black Foreign material
11,CEJ298,984,958,97.357724,26,28,2,26

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
35,24,50,279.92448,73.798272,10385.198208,63
35,24,50,92.884032,69.98112,3074.079744,63
1,15,50,5.089536,6.36192,20.358144,1
3,19,50,3.817152,6.36192,19.08576,1
5,22,50,10.179072,16.540992,57.25728,1
6,11,50,5.089536,6.36192,12.72384,1
7,21,50,8.906688,8.906688,41.988672,1
8,7,50,3.817152,5.089536,13.996224,1
12,5,50,5.089536,5.089536,12.72384,1
12,11,50,3.817152,5.089536,12.72384,1
12,23,50,20.358144,20.358144,263.383488,1
13,4,50,5.089536,5.089536,13.996224,1
13,4,50,10.179072,6.36192,34.354368,1
12,15,50,6.36192,5.089536,21.630528,1
13,18,50,3.817152,5.089536,12.72384,1
15,19,50,5.089536,7.634304,25.44768,1
14,7,50,5.089536,7.634304,24.175296,1
15,18,50,5.089536,5.089536,10.179072,1
18,13,50,5.089536,5.089536,19.08576,1
21,11,50,6.36192,7.634304,29.264832,1
26,25,50,7.634304,7.634304,35.626752,1
26,17,50,3.817152,5.089536,12.72384,1
31,20,50,5.089536,8.906688,24.175296,1
32,17,50,7.634304,7.634304,31.8096,1
34,17,50,5.089536,6.36192,17.813376,1
35,18,50,3.817152,5.089536,13.996224,1
35,2,50,5.089536,5.089536,15.268608,1
38,4,50,17.813376,19.08576,236.663424,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F33 Black Foreign material
11,CEJ298,984,973,98.882114,11,13,8,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
35,24,50,279.92448,73.798272,10385.198208,63
35,24,50,92.884032,69.98112,3074.079744,63
1,15,Pass,5.089536,6.36192,20.358144,1
3,19,Pass,3.817152,6.36192,19.08576,1
5,22,50,10.179072,16.540992,57.25728,1
6,11,50,5.089536,6.36192,12.72384,1
7,21,Pass,8.906688,8.906688,41.988672,1
8,7,Pass,3.817152,5.089536,13.996224,1
12,5,Pass,5.089536,5.089536,12.72384,1
12,11,50,3.817152,5.089536,12.72384,1
12,23,50,20.358144,20.358144,263.383488,1
13,4,50,5.089536,5.089536,13.996224,1
13,4,50,10.179072,6.36192,34.354368,1
12,15,Pass,6.36192,5.089536,21.630528,1
13,18,Pass,3.817152,5.089536,12.72384,1
15,19,50,5.089536,7.634304,25.44768,1
14,7,Pass,5.089536,7.634304,24.175296,1
15,18,Pass,5.089536,5.089536,10.179072,1
18,13,Pass,5.089536,5.089536,19.08576,1
21,11,Pass,6.36192,7.634304,29.264832,1
26,25,50,7.634304,7.634304,35.626752,1
26,17,Pass,3.817152,5.089536,12.72384,1
31,20,50,5.089536,8.906688,24.175296,1
32,17,50,7.634304,7.634304,31.8096,1
34,17,Pass,5.089536,6.36192,17.813376,1
35,18,Pass,3.817152,5.089536,13.996224,1
35,2,Pass,5.089536,5.089536,15.268608,1
38,4,50,17.813376,19.08576,236.663424,1

