[Wafer Information]
Wafer Number,25
Wafer ID,A31-Q335548-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02084-004
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 06:49
End Time,01/06/2024 06:53
Inspection Time,0:03:27
Photo Time,0:19:43
Data Output Time,01/06/2024 08:53

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F07 Incoming microlens periphery peeling,F29 Silicon powder,F99 Others
25,A31-Q335548-352,5518,5268,95.469373,250,633,21,6,28,1,577

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,36,50,20.182428,20.182428,95.145732,2
7,49,50,17.299224,20.182428,86.49612,2
23,47,50,17.299224,20.182428,92.262528,2
25,52,50,14.41602,20.182428,77.846508,2
26,21,50,17.299224,20.182428,95.145732,2
30,23,50,20.182428,17.299224,89.379324,2
29,53,50,14.41602,20.182428,74.963304,2
39,59,50,14.41602,17.299224,74.963304,2
48,13,50,11.532816,20.182428,66.313692,2
48,13,50,2.874714,11.498856,11.464996,1
52,66,50,14.41602,20.182428,74.963304,2
55,10,50,14.41602,20.182428,83.612916,2
56,55,50,23.065632,14.41602,100.91214,2
63,13,50,20.182428,17.299224,98.028936,2
66,6,50,14.41602,23.065632,80.729712,2
66,5,50,23.065632,14.41602,80.729712,2
66,8,50,49.014468,23.065632,302.73642,3
66,8,50,51.744852,14.37357,217.834924,3
70,41,50,17.299224,20.182428,95.145732,2
70,29,50,11.532816,5.766408,23.065632,4
75,18,50,14.41602,20.182428,80.729712,2
76,25,50,17.299224,14.41602,72.0801,2
77,4,50,20.182428,17.299224,83.612916,2
79,18,50,14.41602,20.182428,80.729712,2
82,33,50,17.299224,20.182428,83.612916,2
97,31,50,57.66408,43.24806,475.72866,3
97,31,50,63.243708,37.371282,487.26233,3
99,31,50,57.66408,20.182428,357.517296,3
99,31,50,60.368994,14.37357,266.561157,3
3,39,50,77.617278,14.37357,260.828659,3
8,27,50,63.243708,11.498856,206.369928,3
14,52,50,51.744852,11.498856,128.981205,3
14,48,50,51.744852,17.248284,209.236177,3
16,44,50,54.619566,14.37357,180.573687,3
19,38,50,57.49428,8.624142,154.777446,3
22,23,50,89.116134,11.498856,212.102426,3
23,23,50,57.49428,8.624142,131.847454,3
26,13,50,83.366706,17.248284,369.746121,3
36,29,50,51.744852,17.248284,232.166169,3
37,30,50,54.619566,14.37357,171.97494,3
40,18,50,51.744852,14.37357,232.166169,3
43,30,50,83.366706,14.37357,318.153639,3
47,24,50,77.617278,17.248284,341.083631,3
50,27,50,66.118422,14.37357,229.29992,3
54,35,50,86.24142,17.248284,361.147374,3
54,67,50,60.368994,14.37357,174.841189,3
58,63,50,86.24142,11.498856,269.427406,3
59,26,50,54.619566,14.37357,223.567422,3
67,3,50,60.368994,14.37357,209.236177,3
71,32,50,60.368994,8.624142,123.248707,3
71,32,50,2.874714,8.624142,8.598747,1
71,32,50,2.874714,8.624142,8.598747,1
71,32,50,2.874714,8.624142,8.598747,1
71,32,50,2.874714,11.498856,11.464996,1
71,32,50,5.749428,14.37357,17.197494,1
71,32,50,2.874714,8.624142,8.598747,1
71,32,50,2.874714,8.624142,8.598747,1
72,35,50,54.619566,17.248284,249.363663,3
79,35,50,54.619566,8.624142,117.516209,3
2,30,50,2.874714,11.498856,11.464996,1
3,36,50,8.624142,2.874714,8.598747,1
3,36,50,8.624142,2.874714,8.598747,1
6,19,50,37.371282,2.874714,37.261237,1
6,29,50,8.624142,109.239132,275.159904,1
6,29,50,2.874714,57.49428,57.32498,1
6,29,50,5.749428,43.12071,51.592482,1
5,28,50,2.874714,20.122998,20.063743,1
5,28,50,5.749428,20.122998,25.796241,1
5,23,50,2.874714,34.496568,34.394988,1
8,32,50,2.874714,17.248284,17.197494,1
8,29,50,2.874714,8.624142,8.598747,1
8,29,50,2.874714,31.621854,31.528739,1
8,29,50,2.874714,48.870138,48.726233,1
8,29,50,2.874714,25.872426,25.796241,1
9,49,50,2.874714,22.997712,22.929992,1
8,49,50,5.749428,45.995424,51.592482,1
8,49,50,2.874714,43.12071,42.993735,1
8,49,50,2.874714,106.364418,106.051213,1
9,48,50,8.624142,94.865562,169.108691,1
9,48,50,11.498856,94.865562,249.363663,1
9,48,50,5.749428,71.86785,100.318715,1
9,48,50,5.749428,123.612702,197.771181,1
9,48,50,5.749428,100.61499,146.178699,1
9,48,50,5.749428,48.870138,57.32498,1
9,48,50,5.749428,91.990848,103.184964,1
9,22,50,2.874714,20.122998,20.063743,1
10,23,50,2.874714,8.624142,8.598747,1
10,48,50,2.874714,11.498856,11.464996,1
10,48,50,8.624142,71.86785,117.516209,1
10,48,50,5.749428,54.619566,65.923727,1
10,48,50,8.624142,140.860986,232.166169,1
10,49,50,5.749428,120.737988,214.968675,1
10,49,50,5.749428,77.617278,134.713703,1
10,49,50,2.874714,31.621854,31.528739,1
10,52,50,5.749428,54.619566,63.057478,1
10,52,50,2.874714,11.498856,11.464996,1
11,52,50,8.624142,94.865562,209.236177,1
11,52,50,2.874714,28.74714,28.66249,1
11,52,50,2.874714,60.368994,60.191229,1
11,52,50,2.874714,71.86785,71.656225,1
12,13,50,5.749428,28.74714,45.859984,1
13,13,50,5.749428,34.496568,48.726233,1
13,23,50,2.874714,8.624142,8.598747,1
12,52,50,5.749428,37.371282,54.458731,1
13,33,50,2.874714,17.248284,17.197494,1
13,33,50,2.874714,20.122998,20.063743,1
13,33,50,2.874714,8.624142,8.598747,1
13,33,50,2.874714,8.624142,8.598747,1
13,33,50,2.874714,25.872426,25.796241,1
13,33,50,14.37357,31.621854,51.592482,1
13,33,50,11.498856,54.619566,106.051213,1
13,33,50,11.498856,20.122998,42.993735,1
13,33,50,2.874714,11.498856,11.464996,1
13,33,50,2.874714,8.624142,8.598747,1
13,33,50,2.874714,11.498856,11.464996,1
13,33,50,2.874714,8.624142,8.598747,1
13,33,50,2.874714,8.624142,8.598747,1
13,33,50,2.874714,11.498856,11.464996,1
13,33,50,2.874714,11.498856,11.464996,1
13,33,50,2.874714,11.498856,11.464996,1
13,39,50,2.874714,14.37357,14.331245,1
12,48,50,2.874714,60.368994,60.191229,1
14,49,50,8.624142,57.49428,111.783711,1
17,53,50,2.874714,37.371282,37.261237,1
17,53,50,2.874714,14.37357,14.331245,1
17,53,50,2.874714,11.498856,11.464996,1
16,12,50,5.749428,28.74714,42.993735,1
16,23,50,5.749428,40.245996,63.057478,1
16,23,50,2.874714,17.248284,17.197494,1
19,15,50,8.624142,77.617278,97.452466,1
19,15,50,14.37357,51.744852,108.917462,1
19,15,50,2.874714,11.498856,11.464996,1
19,15,50,11.498856,8.624142,25.796241,1
19,15,50,5.749428,68.993136,80.254972,1
19,15,50,8.624142,2.874714,8.598747,1
19,15,50,11.498856,8.624142,22.929992,1
19,15,50,2.874714,14.37357,14.331245,1
19,15,50,2.874714,11.498856,11.464996,1
19,15,50,2.874714,8.624142,8.598747,1
19,52,50,2.874714,43.12071,42.993735,1
19,52,50,5.749428,8.624142,11.464996,1
18,52,50,2.874714,17.248284,17.197494,1
19,16,50,2.874714,11.498856,11.464996,1
19,57,50,2.874714,8.624142,8.598747,1
18,16,50,2.874714,8.624142,8.598747,1
18,53,50,5.749428,86.24142,128.981205,1
21,23,50,2.874714,8.624142,8.598747,1
23,38,50,11.498856,100.61499,226.433671,1
24,38,50,5.749428,94.865562,163.376193,1
24,38,50,2.874714,8.624142,8.598747,1
22,38,50,8.624142,5.749428,14.331245,1
22,35,50,8.624142,2.874714,8.598747,1
23,48,50,2.874714,17.248284,17.197494,1
24,61,50,8.624142,5.749428,11.464996,1
25,62,50,2.874714,22.997712,22.929992,1
25,38,50,2.874714,14.37357,14.331245,1
24,9,50,8.624142,2.874714,8.598747,1
26,38,50,5.749428,71.86785,103.184964,1
26,38,50,2.874714,17.248284,17.197494,1
26,38,50,2.874714,22.997712,22.929992,1
26,38,50,2.874714,11.498856,11.464996,1
26,38,50,5.749428,80.491992,140.446201,1
26,38,50,2.874714,14.37357,14.331245,1
26,38,50,5.749428,89.116134,166.242442,1
26,38,50,11.498856,109.239132,246.497414,1
26,38,50,2.874714,77.617278,77.388723,1
26,38,50,5.749428,149.485128,263.694908,1
26,63,50,2.874714,14.37357,14.331245,1
27,15,50,20.122998,2.874714,20.063743,1
28,38,50,5.749428,137.986272,232.166169,1
28,38,50,5.749428,31.621854,34.394988,1
28,38,50,8.624142,135.111558,300.956145,1
28,38,50,5.749428,80.491992,103.184964,1
28,38,50,5.749428,57.49428,94.586217,1
28,38,50,5.749428,45.995424,71.656225,1
28,38,50,5.749428,80.491992,108.917462,1
28,38,50,2.874714,8.624142,8.598747,1
27,35,50,2.874714,8.624142,8.598747,1
27,38,50,8.624142,34.496568,83.121221,1
27,38,50,5.749428,94.865562,137.579952,1
27,38,50,5.749428,66.118422,114.64996,1
27,38,50,8.624142,129.36213,246.497414,1
29,36,50,2.874714,17.248284,17.197494,1
29,32,50,2.874714,8.624142,8.598747,1
29,32,50,2.874714,22.997712,22.929992,1
29,32,50,2.874714,20.122998,20.063743,1
29,32,50,2.874714,11.498856,11.464996,1
29,32,50,2.874714,20.122998,20.063743,1
29,32,50,2.874714,20.122998,20.063743,1
29,32,50,2.874714,8.624142,8.598747,1
32,56,50,8.624142,2.874714,8.598747,1
32,56,50,8.624142,2.874714,8.598747,1
32,56,50,8.624142,2.874714,8.598747,1
32,56,50,8.624142,2.874714,8.598747,1
32,56,50,8.624142,2.874714,8.598747,1
32,56,50,14.37357,2.874714,14.331245,1
32,56,50,8.624142,2.874714,8.598747,1
32,51,50,2.874714,17.248284,17.197494,1
32,51,50,2.874714,20.122998,20.063743,1
32,51,50,2.874714,8.624142,8.598747,1
32,51,50,11.498856,17.248284,34.394988,1
32,51,50,2.874714,25.872426,25.796241,1
32,51,50,2.874714,14.37357,14.331245,1
32,51,50,2.874714,17.248284,17.197494,1
32,51,50,2.874714,11.498856,11.464996,1
