[Wafer Information]
Wafer Number,21
Wafer ID,A33-Q335548-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02084-004
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 07:40
End Time,01/06/2024 07:43
Inspection Time,0:03:27
Photo Time,0:17:16
Data Output Time,01/06/2024 09:02

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F13 Pad area damage,F07 Incoming microlens periphery peeling
21,A33-Q335548-352,5518,5304,96.121783,214,445,22,25,5,393

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,42,50,11.532816,20.182428,66.313692,2
17,15,50,17.299224,17.299224,72.0801,2
20,35,50,17.299224,20.182428,72.0801,2
23,57,50,17.299224,20.182428,86.49612,2
26,38,50,17.299224,20.182428,89.379324,2
27,35,50,17.299224,20.182428,86.49612,2
29,28,50,14.41602,23.065632,89.379324,2
28,43,50,17.299224,20.182428,83.612916,2
34,12,50,17.299224,20.182428,89.379324,2
36,24,50,14.41602,20.182428,80.729712,2
37,61,50,14.41602,20.182428,77.846508,2
39,52,50,17.299224,20.182428,92.262528,2
49,23,50,20.182428,17.299224,95.145732,2
55,19,50,17.299224,20.182428,89.379324,2
58,8,50,20.182428,17.299224,83.612916,2
65,38,50,17.299224,20.182428,92.262528,2
67,19,50,17.299224,20.182428,100.91214,2
72,32,50,46.131264,25.948836,294.086808,3
73,48,50,43.24806,25.948836,265.254768,3
74,35,50,43.24806,28.83204,308.502828,3
75,6,50,17.299224,20.182428,80.729712,2
76,35,50,17.299224,20.182428,92.262528,2
79,26,50,31.715244,34.598448,268.137972,3
79,26,50,14.41602,8.649612,31.715244,4
79,26,50,2.874714,11.498856,11.464996,1
82,17,50,17.299224,20.182428,92.262528,2
86,38,50,14.41602,23.065632,89.379324,2
86,38,50,68.993136,8.624142,149.044948,3
96,42,50,17.299224,20.182428,92.262528,2
97,33,50,17.299224,20.182428,80.729712,2
23,46,50,60.368994,11.498856,206.369928,3
24,10,50,54.619566,8.624142,114.64996,3
32,2,50,57.49428,11.498856,146.178699,3
36,53,50,66.118422,40.245996,639.173527,3
39,45,50,57.49428,14.37357,243.631165,3
50,36,50,71.86785,8.624142,166.242442,3
52,67,50,117.863274,11.498856,378.344868,3
56,12,50,51.744852,11.498856,160.509944,3
56,8,50,74.742564,8.624142,192.038683,3
58,61,50,60.368994,8.624142,126.114956,3
62,67,50,51.744852,11.498856,166.242442,3
69,22,50,51.744852,8.624142,126.114956,3
69,22,50,2.874714,28.74714,28.66249,1
69,48,50,60.368994,8.624142,134.713703,3
74,19,50,57.49428,17.248284,209.236177,3
75,62,50,63.243708,14.37357,232.166169,3
79,28,50,68.993136,17.248284,209.236177,3
81,33,50,66.118422,11.498856,209.236177,3
79,61,50,54.619566,11.498856,171.97494,3
89,54,50,57.49428,14.37357,169.108691,3
95,16,50,66.118422,8.624142,134.713703,3
2,24,50,2.874714,11.498856,11.464996,1
6,49,50,2.874714,22.997712,22.929992,1
8,40,50,74.742564,5.749428,80.254972,1
8,49,50,2.874714,34.496568,34.394988,1
8,49,50,2.874714,31.621854,31.528739,1
8,27,50,2.874714,25.872426,25.796241,1
9,39,50,2.874714,37.371282,37.261237,1
10,47,50,2.874714,8.624142,8.598747,1
10,18,50,2.874714,8.624142,8.598747,1
13,49,50,8.624142,2.874714,8.598747,1
13,45,50,5.749428,8.624142,11.464996,1
13,45,50,2.874714,8.624142,8.598747,1
14,47,50,25.872426,8.624142,48.726233,1
17,41,50,2.874714,54.619566,54.458731,1
18,49,50,2.874714,11.498856,11.464996,1
19,47,50,5.749428,40.245996,71.656225,1
19,50,50,17.248284,5.749428,22.929992,1
19,50,50,8.624142,5.749428,11.464996,1
19,50,50,54.619566,5.749428,100.318715,1
19,24,50,2.874714,14.37357,14.331245,1
19,24,50,2.874714,8.624142,8.598747,1
18,32,50,8.624142,11.498856,25.796241,1
18,14,50,14.37357,20.122998,68.789976,1
18,14,50,11.498856,5.749428,22.929992,1
18,14,50,2.874714,11.498856,11.464996,1
18,14,50,2.874714,14.37357,14.331245,1
18,18,50,11.498856,2.874714,11.464996,1
20,7,50,2.874714,11.498856,11.464996,1
21,15,50,14.37357,20.122998,45.859984,1
21,15,50,11.498856,8.624142,31.528739,1
21,15,50,8.624142,11.498856,22.929992,1
21,15,50,8.624142,57.49428,88.853719,1
21,15,50,5.749428,11.498856,20.063743,1
21,15,50,8.624142,5.749428,14.331245,1
21,15,50,2.874714,8.624142,8.598747,1
21,15,50,2.874714,17.248284,17.197494,1
21,15,50,5.749428,14.37357,17.197494,1
20,41,50,5.749428,8.624142,11.464996,1
21,39,50,2.874714,8.624142,8.598747,1
21,39,50,2.874714,8.624142,8.598747,1
21,47,50,2.874714,22.997712,22.929992,1
21,47,50,2.874714,17.248284,17.197494,1
21,47,50,2.874714,34.496568,34.394988,1
21,47,50,2.874714,8.624142,8.598747,1
21,47,50,2.874714,8.624142,8.598747,1
21,47,50,2.874714,11.498856,11.464996,1
21,47,50,2.874714,37.371282,37.261237,1
21,47,50,2.874714,11.498856,11.464996,1
21,47,50,8.624142,5.749428,14.331245,1
21,47,50,5.749428,37.371282,74.522474,1
21,47,50,11.498856,89.116134,189.172434,1
21,47,50,2.874714,17.248284,17.197494,1
21,47,50,11.498856,68.993136,106.051213,1
21,47,50,2.874714,8.624142,8.598747,1
24,22,50,5.749428,8.624142,11.464996,1
24,22,50,2.874714,11.498856,11.464996,1
22,46,50,48.870138,2.874714,48.726233,1
23,55,50,2.874714,11.498856,11.464996,1
26,39,50,8.624142,2.874714,8.598747,1
26,39,50,17.248284,2.874714,17.197494,1
26,39,50,8.624142,2.874714,8.598747,1
28,30,50,2.874714,14.37357,14.331245,1
27,50,50,8.624142,2.874714,8.598747,1
27,43,50,2.874714,8.624142,8.598747,1
27,27,50,5.749428,17.248284,20.063743,1
29,18,50,2.874714,8.624142,8.598747,1
29,56,50,8.624142,2.874714,8.598747,1
30,3,50,5.749428,43.12071,71.656225,1
31,11,50,2.874714,8.624142,8.598747,1
34,19,50,5.749428,17.248284,25.796241,1
34,53,50,2.874714,8.624142,8.598747,1
35,42,50,2.874714,63.243708,63.057478,1
35,41,50,5.749428,37.371282,60.191229,1
36,2,50,2.874714,8.624142,8.598747,1
36,64,50,28.74714,2.874714,28.66249,1
38,32,50,14.37357,2.874714,14.331245,1
38,32,50,20.122998,2.874714,20.063743,1
38,32,50,8.624142,2.874714,8.598747,1
38,32,50,367.963392,2.874714,366.879872,1
38,32,50,28.74714,2.874714,28.66249,1
38,32,50,20.122998,2.874714,20.063743,1
38,32,50,11.498856,2.874714,11.464996,1
38,59,50,2.874714,8.624142,8.598747,1
38,59,50,2.874714,54.619566,54.458731,1
37,46,50,8.624142,5.749428,14.331245,1
37,59,50,2.874714,11.498856,11.464996,1
37,27,50,2.874714,11.498856,11.464996,1
36,52,50,8.624142,5.749428,14.331245,1
39,14,50,2.874714,8.624142,8.598747,1
39,14,50,2.874714,31.621854,31.528739,1
39,14,50,2.874714,8.624142,8.598747,1
39,14,50,2.874714,8.624142,8.598747,1
40,18,50,11.498856,2.874714,11.464996,1
40,18,50,8.624142,2.874714,8.598747,1
40,59,50,5.749428,31.621854,37.261237,1
40,59,50,5.749428,106.364418,200.63743,1
40,59,50,5.749428,25.872426,45.859984,1
39,59,50,5.749428,71.86785,120.382458,1
41,38,50,8.624142,129.36213,232.166169,1
41,38,50,11.498856,146.610414,378.344868,1
41,38,50,5.749428,34.496568,51.592482,1
41,38,50,8.624142,71.86785,134.713703,1
41,38,50,2.874714,8.624142,8.598747,1
41,59,50,8.624142,43.12071,80.254972,1
41,59,50,5.749428,89.116134,143.31245,1
41,59,50,5.749428,77.617278,134.713703,1
41,59,50,2.874714,37.371282,37.261237,1
41,59,50,2.874714,48.870138,48.726233,1
41,59,50,5.749428,91.990848,103.184964,1
41,59,50,5.749428,66.118422,68.789976,1
43,35,50,2.874714,11.498856,11.464996,1
40,48,50,8.624142,5.749428,11.464996,1
40,48,50,8.624142,2.874714,8.598747,1
41,57,50,43.12071,5.749428,60.191229,1
42,24,50,2.874714,11.498856,11.464996,1
42,24,50,5.749428,40.245996,57.32498,1
43,47,50,8.624142,94.865562,131.847454,1
43,47,50,14.37357,68.993136,149.044948,1
43,47,50,11.498856,86.24142,174.841189,1
43,47,50,11.498856,54.619566,94.586217,1
43,47,50,8.624142,11.498856,25.796241,1
43,47,50,8.624142,5.749428,17.197494,1
43,47,50,2.874714,8.624142,8.598747,1
43,47,50,11.498856,20.122998,40.127486,1
43,47,50,8.624142,5.749428,17.197494,1
41,47,50,2.874714,74.742564,74.522474,1
41,47,50,11.498856,2.874714,11.464996,1
42,58,50,5.749428,37.371282,51.592482,1
43,59,50,2.874714,54.619566,54.458731,1
43,59,50,2.874714,17.248284,17.197494,1
43,59,50,2.874714,31.621854,31.528739,1
43,59,50,5.749428,112.113846,183.439936,1
43,59,50,2.874714,8.624142,8.598747,1
44,59,50,2.874714,25.872426,25.796241,1
44,59,50,2.874714,54.619566,54.458731,1
44,29,50,2.874714,8.624142,8.598747,1
44,31,50,2.874714,8.624142,8.598747,1
44,46,50,48.870138,2.874714,48.726233,1
44,53,50,5.749428,14.37357,22.929992,1
44,15,50,2.874714,8.624142,8.598747,1
44,15,50,11.498856,34.496568,74.522474,1
44,15,50,2.874714,8.624142,8.598747,1
44,15,50,8.624142,5.749428,17.197494,1
44,15,50,14.37357,22.997712,71.656225,1
44,15,50,2.874714,8.624142,8.598747,1
44,15,50,2.874714,8.624142,8.598747,1
44,65,50,8.624142,5.749428,17.197494,1
45,59,50,2.874714,8.624142,8.598747,1
46,59,50,2.874714,14.37357,14.331245,1
48,39,50,8.624142,2.874714,8.598747,1
48,39,50,11.498856,2.874714,11.464996,1
48,39,50,8.624142,2.874714,8.598747,1
48,39,50,11.498856,2.874714,11.464996,1
48,39,50,11.498856,2.874714,11.464996,1
48,55,50,2.874714,8.624142,8.598747,1
48,65,50,2.874714,43.12071,42.993735,1
51,43,50,20.122998,5.749428,31.528739,1
51,43,50,17.248284,5.749428,28.66249,1
51,43,50,22.997712,11.498856,60.191229,1
52,19,50,2.874714,14.37357,14.331245,1
55,45,50,2.874714,8.624142,8.598747,1
54,47,50,2.874714,40.245996,40.127486,1
54,47,50,2.874714,8.624142,8.598747,1
54,47,50,2.874714,25.872426,25.796241,1
54,47,50,2.874714,14.37357,14.331245,1
54,47,50,2.874714,8.624142,8.598747,1
