[Wafer Information]
Wafer Number,17
Wafer ID,A41-Q335548-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02087-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/05/2024 10:14
End Time,01/05/2024 10:18
Inspection Time,0:03:26
Photo Time,0:07:56
Data Output Time,01/08/2024 07:53

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F03 Incoming streaks in u-lens,F07 Incoming microlens periphery peeling
17,A41-Q335548-352,5518,5367,97.263501,151,220,71,51,98

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,23,50,17.299224,20.182428,95.145732,2
9,23,50,20.182428,20.182428,106.678548,2
11,25,50,14.41602,20.182428,69.196896,2
16,41,50,14.41602,23.065632,95.145732,2
19,55,50,17.299224,20.182428,86.49612,2
21,14,50,17.299224,28.83204,115.32816,2
25,28,50,14.41602,299.853216,1332.040248,2
25,9,50,11.532816,25.948836,92.262528,2
26,22,50,17.299224,23.065632,100.91214,2
27,20,50,17.299224,20.182428,95.145732,2
26,9,50,14.41602,100.91214,441.130212,2
28,34,50,14.41602,311.386032,1418.536368,2
29,34,50,17.299224,311.386032,1591.528608,2
29,34,50,14.41602,311.386032,1513.6821,2
29,28,50,17.299224,25.948836,112.444956,2
29,35,50,17.299224,20.182428,86.49612,2
32,51,50,17.299224,311.386032,1669.375116,2
32,51,50,20.182428,28.83204,121.094568,2
32,24,50,23.065632,25.948836,132.627384,2
33,28,50,17.299224,25.948836,115.32816,2
34,16,50,20.182428,14.41602,74.963304,2
33,32,50,17.299224,17.299224,77.846508,2
35,11,50,20.182428,17.299224,86.49612,2
37,62,50,17.299224,20.182428,77.846508,2
37,10,50,14.41602,20.182428,77.846508,2
38,27,50,17.299224,20.182428,95.145732,2
38,7,50,17.299224,20.182428,86.49612,2
40,17,50,14.41602,20.182428,69.196896,2
39,54,50,20.182428,17.299224,86.49612,2
40,27,50,20.182428,20.182428,98.028936,2
41,1,50,20.182428,28.83204,147.043404,2
40,13,50,14.41602,20.182428,74.963304,2
40,14,50,17.299224,20.182428,83.612916,2
42,42,50,14.41602,20.182428,74.963304,2
46,14,50,31.715244,25.948836,175.875444,2
49,66,50,17.299224,23.065632,92.262528,2
50,8,50,54.780876,23.065632,328.685256,3
50,8,50,57.49428,17.248284,257.96241,3
49,5,50,14.41602,20.182428,72.0801,2
50,17,50,17.299224,20.182428,86.49612,2
52,37,50,14.41602,20.182428,74.963304,2
54,62,50,17.299224,20.182428,77.846508,2
55,67,50,14.41602,23.065632,92.262528,2
55,47,50,14.41602,20.182428,83.612916,2
59,61,50,17.299224,20.182428,98.028936,2
58,67,50,17.299224,20.182428,103.795344,2
60,51,50,14.41602,20.182428,83.612916,2
60,35,50,17.299224,17.299224,92.262528,2
59,20,50,14.41602,54.780876,253.721952,2
60,7,50,17.299224,23.065632,112.444956,2
63,20,50,17.299224,302.73642,1438.718796,2
63,20,50,17.299224,311.386032,1409.886756,2
