[Wafer Information]
Wafer Number,25
Wafer ID,A44-Q335548-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02087-008
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/05/2024 11:53
End Time,01/05/2024 11:56
Inspection Time,0:03:26
Photo Time,0:14:45
Data Output Time,01/08/2024 08:03

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F99 Others,F29 Silicon powder,F07 Incoming microlens periphery peeling
25,A44-Q335548-352,5518,5367,97.263501,151,365,35,322,8

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,27,50,23.065632,23.065632,118.211364,2
5,36,50,14.41602,20.182428,72.0801,2
8,40,50,17.299224,20.182428,77.846508,2
9,43,50,8.649612,20.182428,46.131264,1
9,43,50,20.122998,25.872426,137.579952,1
7,20,50,14.41602,20.182428,77.846508,2
8,33,50,17.299224,20.182428,89.379324,2
15,49,50,17.299224,23.065632,98.028936,2
18,49,50,20.182428,20.182428,103.795344,2
19,20,50,17.299224,20.182428,83.612916,2
22,58,50,17.299224,20.182428,95.145732,2
24,59,50,17.299224,20.182428,83.612916,2
24,59,50,5.749428,68.993136,114.64996,1
28,40,50,23.065632,20.182428,123.977772,2
29,64,50,14.41602,20.182428,89.379324,2
30,19,50,49.014468,28.83204,374.81652,3
30,19,50,54.619566,22.997712,364.013623,3
32,5,50,14.41602,20.182428,72.0801,2
32,33,50,17.299224,20.182428,86.49612,2
36,20,50,14.41602,23.065632,77.846508,2
39,25,50,17.299224,20.182428,95.145732,2
39,25,50,8.624142,8.624142,14.331245,1
41,38,50,17.299224,20.182428,89.379324,2
45,49,50,17.299224,20.182428,86.49612,2
45,49,50,40.245996,2.874714,40.127486,1
45,49,50,11.498856,2.874714,11.464996,1
45,49,50,48.870138,2.874714,48.726233,1
45,49,50,20.122998,2.874714,20.063743,1
45,60,50,17.299224,20.182428,89.379324,2
48,60,50,17.299224,28.83204,123.977772,2
49,3,50,17.299224,20.182428,80.729712,2
48,1,50,20.182428,17.299224,89.379324,2
52,53,50,14.41602,20.182428,86.49612,2
53,46,50,20.182428,23.065632,103.795344,2
55,62,50,14.41602,20.182428,69.196896,2
55,17,50,17.299224,311.386032,1698.207156,2
57,31,50,20.182428,20.182428,92.262528,2
59,65,50,14.41602,20.182428,72.0801,2
62,43,50,17.299224,20.182428,86.49612,2
67,34,50,17.299224,20.182428,92.262528,2
66,25,50,14.41602,20.182428,77.846508,2
67,10,50,17.299224,17.299224,83.612916,2
70,38,50,17.299224,311.386032,1652.075892,2
70,46,50,23.065632,23.065632,115.32816,2
71,42,50,20.182428,17.299224,77.846508,2
92,52,50,46.131264,25.948836,305.619624,3
16,58,50,60.368994,8.624142,131.847454,3
22,14,50,63.243708,57.49428,928.664676,3
31,53,50,74.742564,8.624142,192.038683,3
35,19,50,63.243708,17.248284,206.369928,3
81,34,50,54.619566,8.624142,143.31245,3
0,35,50,8.624142,2.874714,8.598747,1
8,48,50,11.498856,2.874714,11.464996,1
8,48,50,28.74714,2.874714,28.66249,1
8,48,50,14.37357,2.874714,14.331245,1
8,48,50,63.243708,2.874714,63.057478,1
8,48,50,8.624142,2.874714,8.598747,1
8,48,50,28.74714,2.874714,28.66249,1
8,48,50,40.245996,2.874714,40.127486,1
9,31,50,2.874714,14.37357,14.331245,1
9,31,50,2.874714,8.624142,8.598747,1
10,53,50,11.498856,5.749428,17.197494,1
11,52,50,11.498856,5.749428,17.197494,1
12,47,50,2.874714,8.624142,8.598747,1
12,47,50,2.874714,8.624142,8.598747,1
12,47,50,2.874714,11.498856,11.464996,1
12,22,50,8.624142,28.74714,71.656225,1
14,20,50,5.749428,11.498856,14.331245,1
16,50,50,5.749428,11.498856,17.197494,1
17,45,50,2.874714,22.997712,22.929992,1
16,14,50,8.624142,2.874714,8.598747,1
17,36,50,8.624142,11.498856,25.796241,1
18,14,50,2.874714,11.498856,11.464996,1
18,14,50,2.874714,17.248284,17.197494,1
18,14,50,2.874714,17.248284,17.197494,1
18,14,50,2.874714,8.624142,8.598747,1
18,14,50,2.874714,8.624142,8.598747,1
18,59,50,2.874714,8.624142,8.598747,1
17,44,50,17.248284,2.874714,17.197494,1
20,59,50,2.874714,17.248284,17.197494,1
20,59,50,2.874714,11.498856,11.464996,1
20,59,50,2.874714,14.37357,14.331245,1
20,59,50,2.874714,22.997712,22.929992,1
20,34,50,48.870138,2.874714,48.726233,1
20,34,50,8.624142,2.874714,8.598747,1
20,34,50,14.37357,2.874714,14.331245,1
20,34,50,11.498856,2.874714,11.464996,1
22,15,50,2.874714,17.248284,17.197494,1
22,15,50,2.874714,8.624142,8.598747,1
22,15,50,8.624142,40.245996,54.458731,1
22,15,50,2.874714,8.624142,8.598747,1
22,15,50,2.874714,17.248284,17.197494,1
22,15,50,2.874714,17.248284,17.197494,1
22,32,50,2.874714,8.624142,8.598747,1
22,35,50,14.37357,2.874714,14.331245,1
22,35,50,8.624142,2.874714,8.598747,1
22,35,50,37.371282,2.874714,37.261237,1
22,35,50,14.37357,2.874714,14.331245,1
