[Wafer Information]
Wafer Number,25
Wafer ID,A01-Q331586-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02156-0
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/05/2024 08:24
End Time,01/05/2024 08:27
Inspection Time,0:03:22
Photo Time,0:01:26
Data Output Time,01/06/2024 08:26

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling
25,A01-Q331586-352,5518,5484,99.383835,34,50,50

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,26,50,276.787584,8.649612,810.180324,1
2,26,50,273.90438,8.649612,813.063528,1
2,26,50,121.094568,8.649612,363.283704,1
3,26,50,178.758648,8.649612,530.509536,1
3,26,50,123.977772,8.649612,363.283704,1
3,41,50,20.182428,8.649612,51.897672,1
13,35,50,80.729712,8.649612,207.590688,1
19,27,50,273.90438,8.649612,807.29712,1
19,27,50,273.90438,8.649612,810.180324,1
19,27,50,115.32816,8.649612,340.218072,1
29,44,50,204.707484,8.649612,576.6408,1
31,43,50,268.137972,8.649612,694.852164,1
40,20,50,43.24806,8.649612,118.211364,1
44,19,50,8.649612,77.846508,213.357096,1
44,5,50,80.729712,8.649612,219.123504,1
47,26,50,273.90438,8.649612,810.180324,1
47,26,50,271.021176,8.649612,781.348284,1
50,34,50,80.729712,8.649612,222.006708,1
50,34,50,92.262528,8.649612,245.07234,1
50,28,50,273.90438,8.649612,775.581876,1
50,28,50,123.977772,11.532816,334.451664,1
50,43,50,43.24806,8.649612,121.094568,1
53,19,50,80.729712,8.649612,204.707484,1
64,12,50,271.021176,8.649612,813.063528,1
64,27,50,57.66408,11.532816,167.225832,1
67,26,50,54.780876,11.532816,161.459424,1
70,44,50,86.49612,8.649612,259.48836,1
68,26,50,57.66408,8.649612,164.342628,1
70,43,50,273.90438,8.649612,810.180324,1
70,43,50,273.90438,8.649612,807.29712,1
70,43,50,268.137972,8.649612,801.530712,1
71,44,50,57.66408,8.649612,161.459424,1
71,43,50,123.977772,11.532816,374.81652,1
74,11,50,132.627384,8.649612,394.998948,1
74,11,50,271.021176,8.649612,807.29712,1
74,11,50,268.137972,8.649612,740.983428,1
74,27,50,11.532816,1280.142576,3678.968304,1
76,57,50,83.612916,8.649612,233.539524,1
76,57,50,86.49612,8.649612,224.889912,1
81,35,50,86.49612,8.649612,216.2403,1
85,12,50,233.539524,8.649612,674.669736,1
85,12,50,123.977772,8.649612,351.750888,1
87,12,50,57.66408,8.649612,164.342628,1
90,43,50,57.66408,11.532816,167.225832,1
91,44,50,271.021176,8.649612,706.38498,1
91,44,50,49.014468,8.649612,126.860976,1
91,43,50,271.021176,8.649612,752.516244,1
91,43,50,57.66408,8.649612,155.693016,1
98,19,50,80.729712,8.649612,222.006708,1
79,27,50,11.498856,22.997712,83.121221,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling
25,A01-Q331586-352,5518,5484,99.383835,34,50,50

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,26,50,276.787584,8.649612,810.180324,1
2,26,50,273.90438,8.649612,813.063528,1
2,26,50,121.094568,8.649612,363.283704,1
3,26,50,178.758648,8.649612,530.509536,1
3,26,50,123.977772,8.649612,363.283704,1
3,41,50,20.182428,8.649612,51.897672,1
13,35,50,80.729712,8.649612,207.590688,1
19,27,50,273.90438,8.649612,807.29712,1
19,27,50,273.90438,8.649612,810.180324,1
19,27,50,115.32816,8.649612,340.218072,1
29,44,50,204.707484,8.649612,576.6408,1
31,43,50,268.137972,8.649612,694.852164,1
40,20,50,43.24806,8.649612,118.211364,1
44,19,50,8.649612,77.846508,213.357096,1
44,5,50,80.729712,8.649612,219.123504,1
47,26,50,273.90438,8.649612,810.180324,1
47,26,50,271.021176,8.649612,781.348284,1
50,34,50,80.729712,8.649612,222.006708,1
50,34,50,92.262528,8.649612,245.07234,1
50,28,50,273.90438,8.649612,775.581876,1
50,28,50,123.977772,11.532816,334.451664,1
50,43,50,43.24806,8.649612,121.094568,1
53,19,50,80.729712,8.649612,204.707484,1
64,12,50,271.021176,8.649612,813.063528,1
64,27,50,57.66408,11.532816,167.225832,1
67,26,50,54.780876,11.532816,161.459424,1
70,44,50,86.49612,8.649612,259.48836,1
68,26,50,57.66408,8.649612,164.342628,1
70,43,50,273.90438,8.649612,810.180324,1
70,43,50,273.90438,8.649612,807.29712,1
70,43,50,268.137972,8.649612,801.530712,1
71,44,50,57.66408,8.649612,161.459424,1
71,43,50,123.977772,11.532816,374.81652,1
74,11,50,132.627384,8.649612,394.998948,1
74,11,50,271.021176,8.649612,807.29712,1
74,11,50,268.137972,8.649612,740.983428,1
74,27,50,11.532816,1280.142576,3678.968304,1
76,57,50,83.612916,8.649612,233.539524,1
76,57,50,86.49612,8.649612,224.889912,1
81,35,50,86.49612,8.649612,216.2403,1
85,12,50,233.539524,8.649612,674.669736,1
85,12,50,123.977772,8.649612,351.750888,1
87,12,50,57.66408,8.649612,164.342628,1
90,43,50,57.66408,11.532816,167.225832,1
91,44,50,271.021176,8.649612,706.38498,1
91,44,50,49.014468,8.649612,126.860976,1
91,43,50,271.021176,8.649612,752.516244,1
91,43,50,57.66408,8.649612,155.693016,1
98,19,50,80.729712,8.649612,222.006708,1
79,27,50,11.498856,22.997712,83.121221,1

