[Wafer Information]
Wafer Number,17
Wafer ID,A05-Q331586-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02156-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/05/2024 06:38
End Time,01/05/2024 06:41
Inspection Time,0:03:22
Photo Time,0:06:49
Data Output Time,01/05/2024 08:32

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling,F13 Pad area damage
17,A05-Q331586-352,5518,5458,98.91265,60,171,74,59,5,25,8

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,23,50,2188.351836,1972.111536,92761.322292,1
4,23,50,2107.622124,1934.629884,1240893.519948,3
4,23,50,400.765356,423.830988,57545.868636,2
4,23,50,2188.351836,3768.347628,360354.368736,1
4,23,50,2107.622124,3690.50112,2113555.757832,3
4,23,50,400.765356,426.714192,57617.948736,2
4,23,50,2188.351836,807.29712,221187.878064,1
4,23,50,386.349336,766.932264,99934.733844,3
4,23,50,764.04906,766.932264,188492.344704,3
4,23,50,267.348402,14.37357,1235.353319,1
4,23,50,103.489704,8.624142,206.369928,1
4,23,50,54.619566,103.489704,326.752386,1
4,23,50,480.077238,779.047494,111623.201056,3
4,23,50,773.298066,776.17278,194910.664498,3
4,23,50,370.838106,747.42564,33110.908448,63
4,23,50,57.49428,11.498856,174.841189,63
4,23,50,169.608126,14.37357,492.994828,63
4,23,50,106.364418,17.248284,444.268595,63
4,23,50,215.60355,109.239132,5305.426899,63
4,23,50,592.191084,638.186508,31930.01386,63
4,23,50,80.491992,25.872426,530.256065,63
4,23,50,5.749428,20.122998,40.127486,1
4,23,50,2112.91479,1865.689386,1230598.211909,3
4,23,50,8.624142,71.86785,180.573687,1
4,23,50,146.610414,221.352978,5417.21061,3
4,23,50,342.090966,724.427928,22488.589654,63
4,23,50,54.619566,60.368994,1026.117142,63
4,23,50,181.106982,14.37357,839.810957,1
4,23,50,71.86785,14.37357,315.28739,1
4,23,50,86.24142,14.37357,372.61237,1
4,23,50,301.84497,14.37357,1470.385737,1
4,23,50,112.113846,14.37357,478.663583,1
4,23,50,2115.789504,3650.88678,2165949.846826,3
4,23,50,942.906192,767.548638,66881.054166,63
4,23,50,51.744852,45.995424,490.128579,3
4,23,50,120.737988,232.851834,4038.544841,3
4,23,50,40.245996,60.368994,642.039776,3
4,23,50,8.624142,57.49428,163.376193,3
4,31,50,2188.351836,441.130212,34387.974108,1
4,31,50,1925.980272,403.64856,253335.602664,3
