[Wafer Information]
Wafer Number,7
Wafer ID,A10-Q331586-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02156-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/05/2024 08:11
End Time,01/05/2024 08:15
Inspection Time,0:03:22
Photo Time,0:04:17
Data Output Time,01/05/2024 08:37

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
7,A10-Q331586-352,5518,5465,99.039507,53,99,80,19

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,23,50,271.021176,8.649612,810.180324,1
3,23,50,126.860976,8.649612,377.699724,1
10,42,50,273.90438,8.649612,775.581876,1
10,42,50,273.90438,8.649612,746.749836,1
10,42,50,271.021176,8.649612,761.165856,1
11,42,50,271.021176,8.649612,804.413916,1
11,42,50,271.021176,8.649612,720.801,1
13,43,50,271.021176,8.649612,735.21702,1
14,43,50,273.90438,8.649612,815.946732,1
14,43,50,271.021176,8.649612,804.413916,1
14,43,50,271.021176,8.649612,801.530712,1
14,43,50,268.137972,8.649612,717.917796,1
23,22,50,271.021176,8.649612,813.063528,1
23,22,50,271.021176,8.649612,813.063528,1
23,22,50,126.860976,8.649612,377.699724,1
25,52,50,187.40826,8.649612,493.027884,1
25,52,50,89.379324,8.649612,236.422728,1
29,10,50,170.109036,8.649612,446.89662,1
29,14,50,83.612916,8.649612,242.189136,1
31,32,50,8.649612,86.49612,230.65632,1
34,43,50,271.021176,8.649612,781.348284,1
33,42,50,273.90438,8.649612,810.180324,1
33,42,50,271.021176,8.649612,807.29712,1
34,19,50,219.123504,8.649612,619.88886,1
36,54,50,83.612916,8.649612,230.65632,1
35,43,50,273.90438,8.649612,726.567408,1
35,43,50,268.137972,8.649612,752.516244,1
38,66,50,271.021176,8.649612,792.8811,1
39,66,50,273.90438,8.649612,815.946732,1
39,66,50,271.021176,8.649612,813.063528,1
39,66,50,273.90438,8.649612,810.180324,1
40,66,50,54.780876,8.649612,158.57622,1
42,34,50,43.24806,23.065632,288.3204,3
43,22,50,271.021176,8.649612,732.333816,1
50,55,50,51.897672,8.649612,149.926608,1
53,42,50,109.561752,8.649612,325.802052,1
52,42,50,273.90438,8.649612,715.034592,1
56,43,50,276.787584,8.649612,821.71314,1
56,43,50,273.90438,8.649612,815.946732,1
56,43,50,271.021176,8.649612,732.333816,1
55,67,50,271.021176,8.649612,778.46508,1
57,21,50,271.021176,8.649612,813.063528,1
57,21,50,271.021176,8.649612,807.29712,1
57,21,50,126.860976,8.649612,360.4005,1
61,12,50,80.729712,8.649612,224.889912,1
61,12,50,86.49612,8.649612,219.123504,1
64,22,50,273.90438,8.649612,813.063528,1
64,22,50,273.90438,8.649612,815.946732,1
64,22,50,271.021176,8.649612,804.413916,1
64,22,50,77.846508,8.649612,227.773116,1
67,66,50,37.481652,34.598448,291.203604,3
70,52,50,92.262528,8.649612,239.305932,1
73,42,50,276.787584,11.532816,833.245956,1
73,42,50,271.021176,11.532816,821.71314,1
73,42,50,204.707484,8.649612,582.407208,1
73,42,50,268.137972,8.649612,746.749836,1
73,42,50,271.021176,8.649612,740.983428,1
73,42,50,23.065632,8.649612,63.430488,1
73,57,50,86.49612,8.649612,227.773116,1
74,42,50,126.860976,11.532816,369.050112,1
74,42,50,43.24806,8.649612,129.74418,1
74,42,50,271.021176,8.649612,807.29712,1
75,43,50,271.021176,8.649612,813.063528,1
75,43,50,271.021176,8.649612,801.530712,1
75,43,50,126.860976,8.649612,369.050112,1
76,21,50,271.021176,8.649612,784.231488,1
80,12,50,167.225832,8.649612,429.597396,1
81,9,50,80.729712,8.649612,230.65632,1
81,44,50,144.1602,8.649612,432.4806,1
81,44,50,123.977772,11.532816,366.166908,1
82,33,50,11.532816,8.649612,34.598448,1
83,22,50,271.021176,8.649612,795.764304,1
84,22,50,276.787584,8.649612,818.829936,1
84,22,50,273.90438,8.649612,815.946732,1
84,22,50,271.021176,8.649612,810.180324,1
85,18,50,31.715244,8.649612,86.49612,1
93,52,50,187.40826,8.649612,518.97672,1
95,21,50,273.90438,8.649612,775.581876,1
95,21,50,268.137972,8.649612,743.866632,1
95,21,50,273.90438,8.649612,787.114692,1
96,21,50,271.021176,8.649612,784.231488,1
