[Wafer Information]
Wafer Number,25
Wafer ID,0
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02159-011
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/03/2024 01:06
End Time,01/03/2024 01:09
Inspection Time,0:03:25
Photo Time,0:03:11
Data Output Time,01/03/2024 01:24

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F99 Others,F06 Incoming others
25,0,859,847,98.603027,12,16,15,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
14,11,50,273.90438,8.649612,787.114692,1
14,11,50,271.021176,8.649612,743.866632,1
14,11,50,268.137972,8.649612,766.932264,1
36,11,50,273.90438,8.649612,815.946732,1
38,13,50,14.41602,17.299224,60.547284,1
37,11,50,271.021176,8.649612,810.180324,1
37,11,50,271.021176,8.649612,798.647508,1
37,11,50,100.91214,8.649612,294.086808,1
44,5,50,80.729712,8.649612,219.123504,1
46,7,50,92.262528,8.649612,253.721952,1
58,6,50,80.729712,8.649612,210.473892,1
64,5,50,83.612916,8.649612,233.539524,1
63,12,50,37.481652,25.948836,230.65632,2
71,11,50,273.90438,8.649612,789.997896,1
81,12,50,60.547284,8.649612,172.99224,1
19,11,50,17.248284,100.61499,461.466089,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F99 Others,F06 Incoming others
25,0,859,857,99.767171,2,2,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
14,11,Pass,273.90438,8.649612,787.114692,1
14,11,Pass,271.021176,8.649612,743.866632,1
14,11,Pass,268.137972,8.649612,766.932264,1
36,11,Pass,273.90438,8.649612,815.946732,1
38,13,50,14.41602,17.299224,60.547284,1
37,11,Pass,271.021176,8.649612,810.180324,1
37,11,Pass,271.021176,8.649612,798.647508,1
37,11,Pass,100.91214,8.649612,294.086808,1
44,5,Pass,80.729712,8.649612,219.123504,1
46,7,Pass,92.262528,8.649612,253.721952,1
58,6,Pass,80.729712,8.649612,210.473892,1
64,5,Pass,83.612916,8.649612,233.539524,1
63,12,50,37.481652,25.948836,230.65632,2
71,11,Pass,273.90438,8.649612,789.997896,1
81,12,Pass,60.547284,8.649612,172.99224,1
19,11,Pass,17.248284,100.61499,461.466089,1

