[Wafer Information]
Wafer Number,21
Wafer ID,A25-Q331586-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02162-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/05/2024 01:02
End Time,01/05/2024 01:05
Inspection Time,0:03:22
Photo Time,0:03:46
Data Output Time,01/05/2024 03:28

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder
21,A25-Q331586-352,5518,5471,99.148242,47,67,46,1,19,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,28,50,54.780876,8.649612,161.459424,1
2,30,50,17.299224,25.948836,121.094568,2
3,27,50,170.109036,8.649612,478.611864,1
5,46,50,276.787584,8.649612,818.829936,1
5,46,50,147.043404,8.649612,435.363804,1
5,46,50,271.021176,8.649612,709.268184,1
5,46,50,57.66408,8.649612,149.926608,1
6,49,50,46.131264,20.182428,253.721952,3
13,48,50,123.977772,8.649612,322.918848,1
20,29,50,268.137972,8.649612,787.114692,1
20,29,50,123.977772,11.532816,374.81652,1
22,29,50,54.780876,11.532816,167.225832,1
22,28,50,49.014468,8.649612,126.860976,1
23,28,50,271.021176,8.649612,807.29712,1
23,28,50,57.66408,8.649612,155.693016,1
23,56,50,63.430488,8.649612,170.109036,1
26,46,50,273.90438,8.649612,813.063528,1
26,46,50,271.021176,8.649612,810.180324,1
26,46,50,126.860976,8.649612,363.283704,1
26,47,50,271.021176,8.649612,810.180324,1
26,47,50,271.021176,8.649612,766.932264,1
36,54,50,172.99224,8.649612,478.611864,1
40,4,50,126.860976,11.532816,374.81652,1
40,4,50,273.90438,8.649612,813.063528,1
39,39,50,11.532816,8.649612,28.83204,1
43,56,50,54.780876,8.649612,147.043404,1
45,39,50,49.014468,23.065632,328.685256,3
45,39,50,14.37357,51.744852,123.248707,3
47,2,50,60.547284,23.065632,406.531764,3
46,8,50,49.014468,20.182428,285.437196,3
50,46,50,57.66408,8.649612,149.926608,1
55,32,50,51.897672,40.364856,493.027884,3
55,32,50,48.870138,28.74714,369.746121,3
61,4,50,271.021176,8.649612,813.063528,1
61,4,50,271.021176,8.649612,755.399448,1
61,4,50,123.977772,8.649612,334.451664,1
62,46,50,57.66408,28.83204,418.06458,3
64,17,50,66.313692,20.182428,397.882152,3
67,47,50,273.90438,8.649612,778.46508,1
67,47,50,273.90438,8.649612,818.829936,1
67,47,50,271.021176,8.649612,810.180324,1
67,28,50,273.90438,8.649612,804.413916,1
68,9,50,51.897672,20.182428,294.086808,3
70,3,50,20.182428,8.649612,57.66408,1
70,5,50,273.90438,8.649612,712.151388,1
70,5,50,271.021176,8.649612,715.034592,1
70,46,50,271.021176,8.649612,792.8811,1
70,46,50,271.021176,8.649612,723.684204,1
71,5,50,273.90438,8.649612,752.516244,1
71,5,50,123.977772,8.649612,366.166908,1
73,46,50,51.897672,28.83204,354.634092,3
74,27,50,271.021176,8.649612,715.034592,1
76,53,50,43.24806,23.065632,242.189136,3
81,41,50,40.364856,43.24806,444.013416,3
81,41,50,45.995424,54.619566,636.307278,3
87,28,50,54.780876,8.649612,164.342628,1
88,28,50,40.364856,25.948836,279.670788,3
95,30,50,123.977772,8.649612,317.15244,1
98,47,50,178.758648,8.649612,510.327108,1
98,47,50,123.977772,8.649612,322.918848,1
98,37,50,83.612916,8.649612,216.2403,1
18,26,50,57.49428,45.995424,386.943615,3
23,42,50,11.498856,57.49428,149.044948,3
22,42,50,25.872426,54.619566,151.911197,3
24,32,50,8.624142,54.619566,137.579952,3
40,11,50,20.122998,54.619566,323.886137,3
30,27,50,5.749428,2.874714,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder
21,A25-Q331586-352,5518,5504,99.746285,14,16,2,14

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,28,Pass,54.780876,8.649612,161.459424,1
2,30,50,17.299224,25.948836,121.094568,2
3,27,Pass,170.109036,8.649612,478.611864,1
5,46,Pass,276.787584,8.649612,818.829936,1
5,46,Pass,147.043404,8.649612,435.363804,1
5,46,Pass,271.021176,8.649612,709.268184,1
5,46,50,57.66408,8.649612,149.926608,1
6,49,50,46.131264,20.182428,253.721952,3
13,48,Pass,123.977772,8.649612,322.918848,1
20,29,Pass,268.137972,8.649612,787.114692,1
20,29,Pass,123.977772,11.532816,374.81652,1
22,29,Pass,54.780876,11.532816,167.225832,1
22,28,Pass,49.014468,8.649612,126.860976,1
23,28,Pass,271.021176,8.649612,807.29712,1
23,28,Pass,57.66408,8.649612,155.693016,1
23,56,Pass,63.430488,8.649612,170.109036,1
26,46,Pass,273.90438,8.649612,813.063528,1
26,46,Pass,271.021176,8.649612,810.180324,1
26,46,Pass,126.860976,8.649612,363.283704,1
26,47,Pass,271.021176,8.649612,810.180324,1
26,47,Pass,271.021176,8.649612,766.932264,1
36,54,Pass,172.99224,8.649612,478.611864,1
40,4,Pass,126.860976,11.532816,374.81652,1
40,4,Pass,273.90438,8.649612,813.063528,1
39,39,Pass,11.532816,8.649612,28.83204,1
43,56,Pass,54.780876,8.649612,147.043404,1
45,39,50,49.014468,23.065632,328.685256,3
45,39,50,14.37357,51.744852,123.248707,3
47,2,50,60.547284,23.065632,406.531764,3
46,8,50,49.014468,20.182428,285.437196,3
50,46,Pass,57.66408,8.649612,149.926608,1
55,32,50,51.897672,40.364856,493.027884,3
55,32,50,48.870138,28.74714,369.746121,3
61,4,Pass,271.021176,8.649612,813.063528,1
61,4,Pass,271.021176,8.649612,755.399448,1
61,4,Pass,123.977772,8.649612,334.451664,1
62,46,50,57.66408,28.83204,418.06458,3
64,17,50,66.313692,20.182428,397.882152,3
67,47,Pass,273.90438,8.649612,778.46508,1
67,47,Pass,273.90438,8.649612,818.829936,1
67,47,Pass,271.021176,8.649612,810.180324,1
67,28,Pass,273.90438,8.649612,804.413916,1
68,9,50,51.897672,20.182428,294.086808,3
70,3,Pass,20.182428,8.649612,57.66408,1
70,5,Pass,273.90438,8.649612,712.151388,1
70,5,Pass,271.021176,8.649612,715.034592,1
70,46,Pass,271.021176,8.649612,792.8811,1
70,46,Pass,271.021176,8.649612,723.684204,1
71,5,Pass,273.90438,8.649612,752.516244,1
71,5,Pass,123.977772,8.649612,366.166908,1
73,46,50,51.897672,28.83204,354.634092,3
74,27,Pass,271.021176,8.649612,715.034592,1
76,53,50,43.24806,23.065632,242.189136,3
81,41,Pass,40.364856,43.24806,444.013416,3
81,41,Pass,45.995424,54.619566,636.307278,3
87,28,Pass,54.780876,8.649612,164.342628,1
88,28,50,40.364856,25.948836,279.670788,3
95,30,Pass,123.977772,8.649612,317.15244,1
98,47,Pass,178.758648,8.649612,510.327108,1
98,47,Pass,123.977772,8.649612,322.918848,1
98,37,Pass,83.612916,8.649612,216.2403,1
18,26,Pass,57.49428,45.995424,386.943615,3
23,42,Pass,11.498856,57.49428,149.044948,3
22,42,Pass,25.872426,54.619566,151.911197,3
24,32,Pass,8.624142,54.619566,137.579952,3
40,11,50,20.122998,54.619566,323.886137,3
30,27,Pass,5.749428,2.874714,5.732498,1

