[Wafer Information]
Wafer Number,17
Wafer ID,A27-Q331586-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02162-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/05/2024 01:45
End Time,01/05/2024 01:49
Inspection Time,0:03:22
Photo Time,0:01:25
Data Output Time,01/05/2024 03:58

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
17,A27-Q331586-352,5518,5484,99.383835,34,42,18,23,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,22,50,57.66408,23.065632,322.918848,3
8,42,50,54.780876,11.532816,164.342628,1
6,42,50,126.860976,8.649612,354.634092,1
14,19,50,63.430488,23.065632,386.349336,3
17,19,50,66.313692,23.065632,403.64856,3
20,23,50,49.014468,23.065632,296.970012,3
24,19,50,49.014468,23.065632,285.437196,3
22,22,50,268.137972,8.649612,723.684204,1
32,23,50,129.74418,23.065632,867.844404,3
33,30,50,49.014468,17.299224,271.021176,3
40,9,50,54.780876,23.065632,320.035644,3
50,21,50,271.021176,8.649612,804.413916,1
50,42,50,273.90438,8.649612,807.29712,1
50,42,50,273.90438,8.649612,789.997896,1
50,42,50,271.021176,8.649612,804.413916,1
51,50,50,98.028936,23.065632,585.290412,3
57,54,50,43.24806,20.182428,265.254768,3
60,22,50,25.948836,25.948836,147.043404,2
61,22,50,54.780876,23.065632,340.218072,3
60,43,50,273.90438,8.649612,758.282652,1
66,50,50,57.66408,23.065632,377.699724,3
71,34,50,51.897672,25.948836,360.4005,3
73,42,50,57.66408,11.532816,161.459424,1
71,42,50,201.82428,8.649612,591.05682,1
71,41,50,43.24806,20.182428,239.305932,3
73,21,50,276.787584,8.649612,807.29712,1
73,21,50,112.444956,8.649612,328.685256,1
78,55,50,83.612916,8.649612,219.123504,1
83,56,50,66.313692,8.649612,170.109036,1
81,43,50,273.90438,8.649612,781.348284,1
81,43,50,271.021176,8.649612,804.413916,1
81,43,50,271.021176,8.649612,801.530712,1
81,43,50,271.021176,8.649612,792.8811,1
84,33,50,80.729712,8.649612,219.123504,1
88,45,50,43.24806,23.065632,271.021176,3
94,21,50,271.021176,8.649612,775.581876,1
98,44,50,152.809812,8.649612,452.663028,1
98,44,50,273.90438,8.649612,810.180324,1
98,44,50,123.977772,11.532816,363.283704,1
51,59,50,43.12071,57.49428,303.822394,3
61,65,50,20.122998,89.116134,398.408611,3
88,31,50,48.870138,25.872426,189.172434,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
17,A27-Q331586-352,5518,5500,99.673795,18,18,15,1,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,22,50,57.66408,23.065632,322.918848,3
8,42,Pass,54.780876,11.532816,164.342628,1
6,42,Pass,126.860976,8.649612,354.634092,1
14,19,50,63.430488,23.065632,386.349336,3
17,19,50,66.313692,23.065632,403.64856,3
20,23,50,49.014468,23.065632,296.970012,3
24,19,50,49.014468,23.065632,285.437196,3
22,22,Pass,268.137972,8.649612,723.684204,1
32,23,50,129.74418,23.065632,867.844404,3
33,30,50,49.014468,17.299224,271.021176,3
40,9,50,54.780876,23.065632,320.035644,3
50,21,Pass,271.021176,8.649612,804.413916,1
50,42,Pass,273.90438,8.649612,807.29712,1
50,42,Pass,273.90438,8.649612,789.997896,1
50,42,Pass,271.021176,8.649612,804.413916,1
51,50,50,98.028936,23.065632,585.290412,3
57,54,50,43.24806,20.182428,265.254768,3
60,22,50,25.948836,25.948836,147.043404,2
61,22,50,54.780876,23.065632,340.218072,3
60,43,Pass,273.90438,8.649612,758.282652,1
66,50,50,57.66408,23.065632,377.699724,3
71,34,50,51.897672,25.948836,360.4005,3
73,42,Pass,57.66408,11.532816,161.459424,1
71,42,Pass,201.82428,8.649612,591.05682,1
71,41,50,43.24806,20.182428,239.305932,3
73,21,Pass,276.787584,8.649612,807.29712,1
73,21,Pass,112.444956,8.649612,328.685256,1
78,55,Pass,83.612916,8.649612,219.123504,1
83,56,Pass,66.313692,8.649612,170.109036,1
81,43,Pass,273.90438,8.649612,781.348284,1
81,43,Pass,271.021176,8.649612,804.413916,1
81,43,Pass,271.021176,8.649612,801.530712,1
81,43,Pass,271.021176,8.649612,792.8811,1
84,33,Pass,80.729712,8.649612,219.123504,1
88,45,50,43.24806,23.065632,271.021176,3
94,21,Pass,271.021176,8.649612,775.581876,1
98,44,Pass,152.809812,8.649612,452.663028,1
98,44,Pass,273.90438,8.649612,810.180324,1
98,44,Pass,123.977772,11.532816,363.283704,1
51,59,Pass,43.12071,57.49428,303.822394,3
61,65,50,20.122998,89.116134,398.408611,3
88,31,50,48.870138,25.872426,189.172434,3

