[Wafer Information]
Wafer Number,13
Wafer ID,A29-Q331586-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02162-006
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/05/2024 04:08
End Time,01/05/2024 04:12
Inspection Time,0:03:22
Photo Time,0:03:13
Data Output Time,01/05/2024 05:12

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling
13,A29-Q331586-352,5518,5475,99.220732,43,70,67,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,30,50,276.787584,8.649612,781.348284,1
2,30,50,273.90438,8.649612,807.29712,1
2,30,50,273.90438,8.649612,807.29712,1
3,30,50,273.90438,8.649612,738.100224,1
3,30,50,123.977772,8.649612,371.933316,1
6,23,50,112.444956,40.364856,864.9612,3
6,23,50,120.737988,51.744852,1344.270781,3
5,41,50,273.90438,8.649612,798.647508,1
5,41,50,123.977772,11.532816,328.685256,1
14,14,50,271.021176,8.649612,761.165856,1
17,40,50,268.137972,8.649612,755.399448,1
19,31,50,273.90438,8.649612,815.946732,1
19,31,50,273.90438,8.649612,813.063528,1
19,31,50,273.90438,8.649612,815.946732,1
22,30,50,57.66408,8.649612,149.926608,1
25,15,50,247.955544,8.649612,654.487308,1
22,52,50,83.612916,8.649612,233.539524,1
22,52,50,89.379324,8.649612,239.305932,1
33,60,50,271.021176,8.649612,712.151388,1
33,60,50,271.021176,8.649612,764.04906,1
33,60,50,271.021176,8.649612,789.997896,1
36,14,50,273.90438,8.649612,732.333816,1
36,14,50,271.021176,8.649612,732.333816,1
34,60,50,43.24806,8.649612,118.211364,1
39,40,50,273.90438,8.649612,818.829936,1
39,40,50,72.0801,8.649612,216.2403,1
39,40,50,271.021176,8.649612,743.866632,1
39,40,50,268.137972,8.649612,769.815468,1
39,41,50,8.649612,83.612916,242.189136,1
40,31,50,126.860976,11.532816,371.933316,1
40,31,50,149.926608,8.649612,449.779824,1
40,31,50,271.021176,8.649612,810.180324,1
47,32,50,123.977772,11.532816,345.98448,1
47,32,50,273.90438,8.649612,735.21702,1
50,59,50,155.693016,8.649612,464.195844,1
52,9,50,69.196896,8.649612,198.941076,1
51,59,50,57.66408,8.649612,158.57622,1
53,13,50,1357.989084,11.532816,4065.31764,1
56,57,50,380.582928,8.649612,1043.719848,1
56,3,50,11.532816,8.649612,31.715244,1
57,14,50,273.90438,8.649612,735.21702,1
57,14,50,40.364856,8.649612,115.32816,1
