[Wafer Information]
Wafer Number,25
Wafer ID,A32Q331586352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02162-010
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 02:32
End Time,01/06/2024 02:36
Inspection Time,0:03:22
Photo Time,0:08:25
Data Output Time,01/06/2024 05:19

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F82 Top side chipping no damage sensor area,F06 Incoming others,F81 Die crack,F16 Die scratch,F07 Incoming microlens periphery peeling,F99 Others
25,A32Q331586352,5401,5325,98.592853,76,165,109,43,1,10,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,30,50,273.90438,8.649612,818.829936,1
5,30,50,236.422728,8.649612,709.268184,1
8,38,50,43.24806,25.948836,285.437196,3
12,36,50,40.364856,28.83204,337.334868,3
15,53,50,92.262528,8.649612,245.07234,1
13,55,50,1568.462976,8.649612,4641.95844,1
14,38,50,11.532816,8.649612,31.715244,1
16,46,50,8.649612,54.780876,158.57622,1
16,52,50,46.131264,25.948836,291.203604,3
16,53,50,83.612916,8.649612,230.65632,1
16,53,50,86.49612,8.649612,230.65632,1
22,52,50,8.649612,86.49612,227.773116,1
24,58,50,11.532816,20.182428,57.66408,1
24,58,50,371.933316,72.0801,3021.597792,1
24,58,50,304.719684,14.37357,1430.258251,1
24,58,50,379.462248,100.61499,4382.494721,1
25,30,50,268.137972,8.649612,726.567408,1
26,10,50,46.131264,20.182428,273.90438,3
27,41,50,49.014468,25.948836,331.56846,3
26,30,50,271.021176,8.649612,804.413916,1
26,30,50,268.137972,8.649612,789.997896,1
26,30,50,57.66408,8.649612,152.809812,1
27,39,50,83.612916,8.649612,210.473892,1
28,45,50,271.021176,8.649612,735.21702,1
28,45,50,268.137972,8.649612,700.618572,1
29,62,50,43.24806,14.41602,147.043404,1
29,62,50,152.359842,22.997712,702.231005,1
29,62,50,186.85641,28.74714,1619.430685,1
32,20,50,43.24806,23.065632,268.137972,3
33,9,50,273.90438,8.649612,781.348284,1
39,44,50,273.90438,8.649612,815.946732,1
40,46,50,273.90438,8.649612,732.333816,1
40,21,50,40.364856,28.83204,305.619624,3
40,44,50,271.021176,8.649612,766.932264,1
41,16,50,14.41602,20.182428,74.963304,2
40,29,50,135.510588,8.649612,371.933316,1
42,8,50,271.021176,8.649612,735.21702,1
50,45,50,273.90438,8.649612,810.180324,1
50,45,50,271.021176,8.649612,810.180324,1
50,45,50,271.021176,8.649612,810.180324,1
50,29,50,271.021176,8.649612,746.749836,1
50,29,50,271.021176,8.649612,717.917796,1
49,62,50,31.715244,69.196896,418.06458,1
49,62,50,17.299224,14.41602,66.313692,1
49,62,50,11.498856,34.496568,103.184964,1
49,62,50,34.496568,152.359842,1206.690829,1
50,63,50,54.780876,11.532816,158.57622,1
53,55,50,271.021176,8.649612,813.063528,1
53,55,50,271.021176,8.649612,813.063528,1
51,63,50,57.66408,11.532816,175.875444,1
51,63,50,100.91214,8.649612,302.73642,1
53,44,50,986.055768,8.649612,2917.802448,1
56,10,50,273.90438,8.649612,818.829936,1
56,10,50,271.021176,8.649612,813.063528,1
56,10,50,57.66408,8.649612,170.109036,1
56,9,50,57.66408,8.649612,158.57622,1
55,61,50,37.481652,152.809812,1407.003552,1
55,61,50,11.498856,80.491992,292.357398,1
55,61,50,14.37357,14.37357,51.592482,1
55,61,50,48.870138,267.348402,2158.285497,1
54,55,50,126.860976,11.532816,369.050112,1
54,55,50,34.598448,8.649612,100.91214,1
54,55,50,271.021176,8.649612,810.180324,1
57,46,50,43.24806,25.948836,256.605156,3
57,10,50,247.955544,8.649612,740.983428,1
57,10,50,123.977772,8.649612,360.4005,1
60,39,50,83.612916,8.649612,239.305932,1
60,39,50,57.66408,8.649612,158.57622,1
61,46,50,63.430488,8.649612,164.342628,1
61,46,50,123.977772,11.532816,334.451664,1
63,64,50,126.860976,562.22478,5184.000792,3
63,64,50,149.926608,642.954492,5916.334608,3
63,64,50,181.641852,654.487308,9552.054852,3
63,64,50,160.983984,658.309506,8773.588189,3
63,64,50,22.997712,66.118422,292.357398,3
63,64,50,45.995424,209.854122,1562.105705,3
63,64,50,192.605838,629.562366,11817.544627,3
64,62,50,72.0801,103.795344,1876.965804,1
64,62,50,14.41602,11.532816,54.780876,1
64,62,50,11.498856,77.617278,309.554892,1
64,62,50,60.368994,129.36213,1519.11197,1
65,63,50,51.897672,193.174668,732.333816,1
65,63,50,109.561752,141.276996,1862.549784,4
65,63,50,66.313692,126.860976,856.311588,1
65,63,50,37.481652,23.065632,172.99224,1
65,63,50,34.598448,14.41602,132.627384,1
65,63,50,40.245996,74.742564,578.982298,3
65,63,50,40.245996,215.60355,1063.378379,3
65,63,50,28.74714,89.116134,490.128579,3
65,63,50,28.74714,140.860986,974.52466,3
65,63,50,20.122998,11.498856,51.592482,1
65,63,50,14.37357,11.498856,42.993735,1
65,63,50,40.245996,71.86785,478.663583,3
65,63,50,163.858698,232.851834,3473.893788,1
65,62,50,8.649612,17.299224,43.24806,1
65,62,50,63.430488,129.74418,864.9612,1
65,62,50,37.481652,100.91214,709.268184,1
65,62,50,40.364856,43.24806,247.955544,1
65,62,50,43.12071,247.225404,2442.044148,1
65,47,50,109.561752,106.678548,2554.518744,3
65,47,50,117.863274,114.98856,3066.88643,3
70,45,50,271.021176,8.649612,810.180324,1
70,45,50,271.021176,8.649612,810.180324,1
70,51,50,89.379324,8.649612,233.539524,1
71,63,50,20.182428,43.24806,129.74418,1
71,63,50,57.66408,201.82428,1138.86558,1
71,63,50,63.430488,144.1602,1386.821124,4
71,63,50,40.364856,23.065632,175.875444,1
71,63,50,34.598448,14.41602,103.795344,1
71,63,50,23.065632,11.532816,66.313692,1
71,63,50,49.014468,77.846508,542.042352,1
71,63,50,57.66408,129.74418,588.173616,1
71,63,50,11.532816,5.766408,23.065632,1
71,63,50,43.12071,109.239132,814.014716,3
71,63,50,17.248284,57.49428,240.764916,3
71,63,50,74.742564,14.37357,321.019888,1
71,63,50,163.858698,250.100118,3534.085017,1
71,29,50,123.977772,11.532816,369.050112,1
71,29,50,51.897672,8.649612,149.926608,1
70,52,50,83.612916,8.649612,239.305932,1
70,52,50,86.49612,8.649612,245.07234,1
76,61,50,54.780876,224.889912,1732.805604,1
76,61,50,8.624142,40.245996,111.783711,1
76,61,50,28.74714,181.106982,1693.953159,1
76,61,50,71.86785,241.475976,2682.809064,1
77,9,50,54.780876,8.649612,161.459424,1
78,45,50,72.0801,8.649612,201.82428,1
78,45,50,123.977772,8.649612,325.802052,1
81,53,50,25.948836,8.649612,74.963304,1
81,53,50,20.182428,8.649612,57.66408,1
84,58,50,276.787584,8.649612,813.063528,1
84,58,50,271.021176,8.649612,807.29712,1
84,58,50,271.021176,8.649612,801.530712,1
91,30,50,271.021176,8.649612,789.997896,1
