[Wafer Information]
Wafer Number,23
Wafer ID,A66-Q331586-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02171-010
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 03:11
End Time,01/06/2024 03:15
Inspection Time,0:03:20
Photo Time,0:02:31
Data Output Time,01/06/2024 05:01

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
23,A66-Q331586-352,1683,1653,98.217469,30,55,34,20,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,22,50,8.649612,66.313692,187.40826,1
5,22,50,8.649612,170.109036,478.611864,1
16,15,50,92.262528,8.649612,247.955544,1
16,15,50,54.780876,8.649612,149.926608,1
30,7,50,271.021176,8.649612,758.282652,1
30,7,50,271.021176,8.649612,720.801,1
30,6,50,273.90438,8.649612,815.946732,1
30,6,50,271.021176,8.649612,810.180324,1
30,6,50,273.90438,8.649612,787.114692,1
36,22,50,8.649612,141.276996,418.06458,1
36,23,50,8.649612,83.612916,227.773116,1
39,15,50,123.977772,8.649612,334.451664,1
40,2,50,46.131264,17.299224,236.422728,3
51,7,50,271.021176,8.649612,801.530712,1
51,7,50,57.66408,8.649612,152.809812,1
53,6,50,268.137972,8.649612,789.997896,1
53,6,50,123.977772,8.649612,331.56846,1
54,16,50,20.182428,23.065632,98.028936,2
56,21,50,273.90438,8.649612,781.348284,1
56,21,50,123.977772,8.649612,320.035644,1
63,9,50,167.225832,8.649612,435.363804,1
64,19,50,83.612916,8.649612,239.305932,1
64,19,50,83.612916,8.649612,216.2403,1
67,4,50,957.223728,8.649612,2828.423124,1
67,20,50,170.109036,8.649612,458.429436,1
70,7,50,271.021176,8.649612,735.21702,1
74,8,50,80.729712,8.649612,216.2403,1
78,21,50,126.860976,11.532816,377.699724,1
78,21,50,271.021176,8.649612,813.063528,1
78,21,50,271.021176,8.649612,810.180324,1
79,8,50,268.137972,8.649612,723.684204,1
78,8,50,273.90438,8.649612,810.180324,1
78,8,50,271.021176,8.649612,792.8811,1
78,8,50,271.021176,8.649612,784.231488,1
78,8,50,271.021176,8.649612,766.932264,1
91,16,50,170.109036,8.649612,461.31264,1
16,23,50,14.37357,51.744852,117.516209,3
17,23,50,11.498856,54.619566,140.446201,3
33,17,50,8.624142,57.49428,128.981205,3
33,17,50,8.624142,163.858698,352.548627,3
33,17,50,8.624142,123.612702,286.6249,3
33,17,50,8.624142,54.619566,111.783711,3
36,1,50,45.995424,54.619566,421.338603,3
39,23,50,8.624142,106.364418,223.567422,3
39,23,50,17.248284,169.608126,429.93735,3
39,23,50,8.624142,112.113846,252.229912,3
39,23,50,8.624142,71.86785,166.242442,3
39,23,50,8.624142,66.118422,149.044948,3
43,14,50,17.248284,83.366706,194.904932,3
93,15,50,20.122998,66.118422,200.63743,3
93,15,50,25.872426,57.49428,177.707438,3
94,15,50,14.37357,221.352978,573.2498,3
94,15,50,25.872426,186.85641,524.523567,3
94,15,50,17.248284,330.59211,768.154732,3
94,15,50,20.122998,106.364418,303.822394,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
23,A66-Q331586-352,1683,1681,99.881165,2,2,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,22,Pass,8.649612,66.313692,187.40826,1
5,22,Pass,8.649612,170.109036,478.611864,1
16,15,Pass,92.262528,8.649612,247.955544,1
16,15,Pass,54.780876,8.649612,149.926608,1
30,7,Pass,271.021176,8.649612,758.282652,1
30,7,Pass,271.021176,8.649612,720.801,1
30,6,Pass,273.90438,8.649612,815.946732,1
30,6,Pass,271.021176,8.649612,810.180324,1
30,6,Pass,273.90438,8.649612,787.114692,1
36,22,Pass,8.649612,141.276996,418.06458,1
36,23,Pass,8.649612,83.612916,227.773116,1
39,15,Pass,123.977772,8.649612,334.451664,1
40,2,50,46.131264,17.299224,236.422728,3
51,7,Pass,271.021176,8.649612,801.530712,1
51,7,Pass,57.66408,8.649612,152.809812,1
53,6,Pass,268.137972,8.649612,789.997896,1
53,6,Pass,123.977772,8.649612,331.56846,1
54,16,Pass,20.182428,23.065632,98.028936,2
56,21,Pass,273.90438,8.649612,781.348284,1
56,21,Pass,123.977772,8.649612,320.035644,1
63,9,Pass,167.225832,8.649612,435.363804,1
64,19,Pass,83.612916,8.649612,239.305932,1
64,19,Pass,83.612916,8.649612,216.2403,1
67,4,Pass,957.223728,8.649612,2828.423124,1
67,20,Pass,170.109036,8.649612,458.429436,1
70,7,Pass,271.021176,8.649612,735.21702,1
74,8,Pass,80.729712,8.649612,216.2403,1
78,21,Pass,126.860976,11.532816,377.699724,1
78,21,Pass,271.021176,8.649612,813.063528,1
78,21,Pass,271.021176,8.649612,810.180324,1
79,8,Pass,268.137972,8.649612,723.684204,1
78,8,Pass,273.90438,8.649612,810.180324,1
78,8,Pass,271.021176,8.649612,792.8811,1
78,8,Pass,271.021176,8.649612,784.231488,1
78,8,Pass,271.021176,8.649612,766.932264,1
91,16,Pass,170.109036,8.649612,461.31264,1
16,23,Pass,14.37357,51.744852,117.516209,3
17,23,Pass,11.498856,54.619566,140.446201,3
33,17,Pass,8.624142,57.49428,128.981205,3
33,17,Pass,8.624142,163.858698,352.548627,3
33,17,Pass,8.624142,123.612702,286.6249,3
33,17,Pass,8.624142,54.619566,111.783711,3
36,1,50,45.995424,54.619566,421.338603,3
39,23,Pass,8.624142,106.364418,223.567422,3
39,23,Pass,17.248284,169.608126,429.93735,3
39,23,Pass,8.624142,112.113846,252.229912,3
39,23,Pass,8.624142,71.86785,166.242442,3
39,23,Pass,8.624142,66.118422,149.044948,3
43,14,Pass,17.248284,83.366706,194.904932,3
93,15,Pass,20.122998,66.118422,200.63743,3
93,15,Pass,25.872426,57.49428,177.707438,3
94,15,Pass,14.37357,221.352978,573.2498,3
94,15,Pass,25.872426,186.85641,524.523567,3
94,15,Pass,17.248284,330.59211,768.154732,3
94,15,Pass,20.122998,106.364418,303.822394,3

