[Wafer Information]
Wafer Number,23
Wafer ID,A13-Q335634-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02240-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 09:20
End Time,01/06/2024 09:23
Inspection Time,0:03:23
Photo Time,0:03:10
Data Output Time,01/06/2024 10:31

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
23,A13-Q335634-352,5518,5469,99.111997,49,68,24,44

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,36,50,126.860976,23.065632,766.932264,3
3,25,50,51.897672,8.649612,147.043404,1
4,25,50,273.90438,8.649612,781.348284,1
5,25,50,273.90438,8.649612,815.946732,1
5,25,50,271.021176,8.649612,810.180324,1
5,25,50,123.977772,8.649612,363.283704,1
8,45,50,230.65632,8.649612,634.30488,1
10,48,50,46.131264,20.182428,256.605156,3
17,46,50,273.90438,8.649612,740.983428,1
17,46,50,271.021176,8.649612,746.749836,1
20,24,50,271.021176,8.649612,789.997896,1
20,24,50,23.065632,8.649612,63.430488,1
20,24,50,123.977772,8.649612,371.933316,1
20,35,50,49.014468,20.182428,279.670788,3
25,25,50,34.598448,8.649612,103.795344,1
25,25,50,273.90438,8.649612,781.348284,1
25,25,50,271.021176,8.649612,746.749836,1
25,25,50,271.021176,8.649612,758.282652,1
25,13,50,43.24806,23.065632,262.371564,3
26,25,50,271.021176,8.649612,764.04906,1
26,39,50,40.364856,23.065632,271.021176,3
30,53,50,51.897672,20.182428,288.3204,3
31,48,50,66.313692,20.182428,383.466132,3
31,2,50,46.131264,20.182428,268.137972,3
36,47,50,54.780876,8.649612,152.809812,1
39,46,50,273.90438,8.649612,818.829936,1
39,46,50,144.1602,8.649612,432.4806,1
39,54,50,43.24806,25.948836,311.386032,3
42,23,50,49.014468,23.065632,291.203604,3
44,49,50,49.014468,8.649612,138.393792,1
43,40,50,60.547284,20.182428,351.750888,3
45,25,50,273.90438,8.649612,764.04906,1
45,25,50,273.90438,8.649612,738.100224,1
45,25,50,271.021176,8.649612,738.100224,1
47,3,50,43.24806,20.182428,236.422728,3
59,46,50,54.780876,11.532816,167.225832,1
57,47,50,273.90438,8.649612,810.180324,1
57,47,50,57.66408,8.649612,170.109036,1
