[Wafer Information]
Wafer Number,23
Wafer ID,A23-Q332894-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02249-006
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 07:17
End Time,01/06/2024 07:20
Inspection Time,0:03:26
Photo Time,0:12:03
Data Output Time,01/07/2024 02:30

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling
23,A23-Q332894-352,5518,5348,96.919174,170,383,24,61,3,1,294

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,47,50,17.299224,20.182428,100.91214,2
10,15,50,20.182428,23.065632,115.32816,2
14,39,50,17.299224,20.182428,92.262528,2
18,48,50,20.182428,23.065632,118.211364,2
17,23,50,20.182428,20.182428,103.795344,2
26,55,50,17.299224,20.182428,80.729712,2
27,11,50,20.182428,20.182428,89.379324,2
29,21,50,17.299224,311.386032,1424.302776,2
29,21,50,14.41602,69.196896,291.203604,2
29,21,50,14.41602,66.313692,288.3204,2
36,26,50,14.41602,20.182428,66.313692,2
36,10,50,14.41602,20.182428,77.846508,2
40,50,50,17.299224,20.182428,92.262528,2
43,49,50,11.532816,20.182428,69.196896,2
43,23,50,14.41602,20.182428,86.49612,2
46,36,50,40.364856,20.182428,253.721952,3
46,36,50,74.742564,11.498856,223.567422,3
46,61,50,14.41602,25.948836,89.379324,2
49,38,50,51.897672,28.83204,366.166908,3
49,38,50,54.619566,20.122998,263.694908,3
49,38,50,2.874714,8.624142,8.598747,1
51,35,50,43.24806,25.948836,282.553992,3
55,61,50,14.41602,60.547284,236.422728,2
60,32,50,51.897672,25.948836,331.56846,3
60,32,50,54.619566,22.997712,257.96241,3
61,19,50,14.41602,20.182428,69.196896,2
64,32,50,31.715244,40.364856,271.021176,3
69,32,50,46.131264,31.715244,282.553992,3
70,21,50,14.41602,20.182428,74.963304,2
70,31,50,17.299224,17.299224,83.612916,2
73,41,50,14.41602,20.182428,77.846508,2
76,56,50,43.24806,25.948836,259.48836,3
