[Wafer Information]
Wafer Number,15
Wafer ID,A32-Q335634-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02261-002A
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/02/2024 12:32
End Time,01/02/2024 12:36
Inspection Time,0:03:21
Photo Time,0:03:33
Data Output Time,01/02/2024 01:23

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder
15,A32-Q335634-352,5518,5490,99.49257,28,33,25,2,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
19,56,50,273.90438,8.649612,795.764304,1
20,34,50,106.678548,8.649612,317.15244,1
20,34,50,57.66408,8.649612,161.459424,1
22,35,50,57.66408,8.649612,152.809812,1
22,11,50,273.90438,8.649612,818.829936,1
22,11,50,273.90438,8.649612,813.063528,1
20,56,50,273.90438,8.649612,781.348284,1
20,56,50,123.977772,8.649612,348.867684,1
25,10,50,57.66408,8.649612,164.342628,1
26,10,50,80.729712,8.649612,230.65632,1
30,51,50,17.299224,28.83204,100.91214,2
35,58,50,43.24806,23.065632,276.787584,3
39,56,50,54.780876,11.532816,167.225832,1
42,11,50,253.721952,8.649612,717.917796,1
43,51,50,49.014468,23.065632,291.203604,3
61,37,50,123.977772,8.649612,317.15244,1
63,41,50,57.66408,23.065632,345.98448,3
70,34,50,57.66408,8.649612,164.342628,1
73,12,50,57.66408,8.649612,170.109036,1
71,57,50,271.021176,8.649612,813.063528,1
71,57,50,126.860976,8.649612,377.699724,1
73,57,50,57.66408,8.649612,164.342628,1
73,22,50,60.547284,23.065632,371.933316,3
84,58,50,51.897672,8.649612,152.809812,1
86,56,50,17.299224,17.299224,77.846508,2
94,33,50,271.021176,8.649612,769.815468,1
98,35,50,273.90438,8.649612,746.749836,1
98,35,50,123.977772,8.649612,343.101276,1
100,37,50,40.364856,28.83204,311.386032,3
80,56,50,8.624142,83.366706,192.038683,3
46,67,50,2.874714,17.248284,17.197494,1
76,5,50,5.749428,2.874714,5.732498,1
78,39,50,25.872426,2.874714,25.796241,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder
15,A32-Q335634-352,5518,5511,99.873142,7,7,2,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
19,56,Pass,273.90438,8.649612,795.764304,1
20,34,Pass,106.678548,8.649612,317.15244,1
20,34,Pass,57.66408,8.649612,161.459424,1
22,35,Pass,57.66408,8.649612,152.809812,1
22,11,Pass,273.90438,8.649612,818.829936,1
22,11,Pass,273.90438,8.649612,813.063528,1
20,56,Pass,273.90438,8.649612,781.348284,1
20,56,Pass,123.977772,8.649612,348.867684,1
25,10,Pass,57.66408,8.649612,164.342628,1
26,10,Pass,80.729712,8.649612,230.65632,1
30,51,50,17.299224,28.83204,100.91214,2
35,58,50,43.24806,23.065632,276.787584,3
39,56,Pass,54.780876,11.532816,167.225832,1
42,11,Pass,253.721952,8.649612,717.917796,1
43,51,50,49.014468,23.065632,291.203604,3
61,37,Pass,123.977772,8.649612,317.15244,1
63,41,50,57.66408,23.065632,345.98448,3
70,34,Pass,57.66408,8.649612,164.342628,1
73,12,Pass,57.66408,8.649612,170.109036,1
71,57,Pass,271.021176,8.649612,813.063528,1
71,57,Pass,126.860976,8.649612,377.699724,1
73,57,Pass,57.66408,8.649612,164.342628,1
73,22,50,60.547284,23.065632,371.933316,3
84,58,Pass,51.897672,8.649612,152.809812,1
86,56,50,17.299224,17.299224,77.846508,2
94,33,Pass,271.021176,8.649612,769.815468,1
98,35,Pass,273.90438,8.649612,746.749836,1
98,35,Pass,123.977772,8.649612,343.101276,1
100,37,50,40.364856,28.83204,311.386032,3
80,56,Pass,8.624142,83.366706,192.038683,3
46,67,Pass,2.874714,17.248284,17.197494,1
76,5,Pass,5.749428,2.874714,5.732498,1
78,39,Pass,25.872426,2.874714,25.796241,1

