[Wafer Information]
Wafer Number,23
Wafer ID,A13-Q336488-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C024510-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/07/2024 07:20
End Time,01/07/2024 07:24
Inspection Time,0:03:22
Photo Time,0:04:30
Data Output Time,01/07/2024 08:09

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others
23,A13-Q336488-352,5518,5470,99.13012,48,70,14,56

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,43,50,77.846508,23.065632,495.911088,3
8,43,50,100.91214,8.649612,279.670788,1
9,32,50,271.021176,8.649612,810.180324,1
22,55,50,54.780876,11.532816,167.225832,1
20,55,50,149.926608,8.649612,432.4806,1
20,55,50,123.977772,8.649612,337.334868,1
22,20,50,89.379324,8.649612,239.305932,1
22,20,50,40.364856,8.649612,112.444956,1
22,54,50,57.66408,11.532816,170.109036,1
23,54,50,271.021176,8.649612,720.801,1
23,15,50,66.313692,20.182428,394.998948,3
28,51,50,57.66408,23.065632,334.451664,3
30,56,50,273.90438,8.649612,815.946732,1
30,56,50,271.021176,8.649612,813.063528,1
30,56,50,271.021176,8.649612,810.180324,1
30,56,50,271.021176,8.649612,807.29712,1
30,59,50,57.66408,8.649612,167.225832,1
30,59,50,123.977772,8.649612,322.918848,1
33,33,50,273.90438,8.649612,810.180324,1
33,33,50,271.021176,8.649612,810.180324,1
33,33,50,271.021176,8.649612,804.413916,1
36,15,50,103.795344,23.065632,602.589636,3
39,8,50,57.66408,8.649612,167.225832,1
40,8,50,271.021176,8.649612,735.21702,1
44,42,50,43.24806,17.299224,245.07234,3
53,31,50,271.021176,8.649612,813.063528,1
53,31,50,271.021176,8.649612,813.063528,1
53,31,50,224.889912,8.649612,671.786532,1
53,32,50,271.021176,8.649612,804.413916,1
53,32,50,271.021176,8.649612,813.063528,1
53,32,50,216.2403,8.649612,645.837696,1
53,56,50,268.137972,8.649612,787.114692,1
53,56,50,271.021176,8.649612,738.100224,1
54,31,50,123.977772,11.532816,374.81652,1
54,31,50,86.49612,8.649612,253.721952,1
54,28,50,66.313692,20.182428,383.466132,3
57,9,50,271.021176,8.649612,781.348284,1
56,35,50,43.24806,23.065632,282.553992,3
61,42,50,164.342628,25.948836,1049.486256,3
61,27,50,72.0801,20.182428,429.597396,3
64,10,50,57.66408,25.948836,371.933316,3
66,57,50,57.66408,8.649612,149.926608,1
64,55,50,271.021176,8.649612,792.8811,1
64,55,50,268.137972,8.649612,709.268184,1
67,57,50,57.66408,8.649612,147.043404,1
72,56,50,51.897672,20.182428,296.970012,3
73,56,50,57.66408,8.649612,164.342628,1
76,10,50,57.66408,8.649612,170.109036,1
77,10,50,271.021176,8.649612,807.29712,1
77,10,50,271.021176,8.649612,787.114692,1
84,8,50,271.021176,8.649612,813.063528,1
84,8,50,66.313692,8.649612,196.057872,1
87,55,50,276.787584,8.649612,824.596344,1
87,55,50,273.90438,8.649612,815.946732,1
87,20,50,20.182428,8.649612,54.780876,1
87,20,50,40.364856,8.649612,106.678548,1
87,23,50,28.83204,8.649612,74.963304,1
87,23,50,23.065632,8.649612,57.66408,1
88,27,50,43.24806,20.182428,242.189136,3
77,21,50,8.624142,68.993136,157.643695,3
79,21,50,11.498856,51.744852,120.382458,3
2,43,50,2.874714,8.624142,8.598747,1
2,43,50,2.874714,11.498856,11.464996,1
17,47,50,2.874714,5.749428,5.732498,1
31,35,50,2.874714,8.624142,8.598747,1
36,9,50,14.37357,11.498856,42.993735,1
43,31,50,5.749428,54.619566,65.923727,1
48,35,50,2.874714,14.37357,14.331245,1
48,35,50,2.874714,8.624142,8.598747,1
88,23,50,2.874714,11.498856,11.464996,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others
23,A13-Q336488-352,5518,5505,99.764407,13,13,12,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,43,50,77.846508,23.065632,495.911088,3
8,43,Pass,100.91214,8.649612,279.670788,1
9,32,Pass,271.021176,8.649612,810.180324,1
22,55,Pass,54.780876,11.532816,167.225832,1
20,55,Pass,149.926608,8.649612,432.4806,1
20,55,Pass,123.977772,8.649612,337.334868,1
22,20,Pass,89.379324,8.649612,239.305932,1
22,20,Pass,40.364856,8.649612,112.444956,1
22,54,Pass,57.66408,11.532816,170.109036,1
23,54,Pass,271.021176,8.649612,720.801,1
23,15,50,66.313692,20.182428,394.998948,3
28,51,50,57.66408,23.065632,334.451664,3
30,56,Pass,273.90438,8.649612,815.946732,1
30,56,Pass,271.021176,8.649612,813.063528,1
30,56,Pass,271.021176,8.649612,810.180324,1
30,56,Pass,271.021176,8.649612,807.29712,1
30,59,Pass,57.66408,8.649612,167.225832,1
30,59,Pass,123.977772,8.649612,322.918848,1
33,33,Pass,273.90438,8.649612,810.180324,1
33,33,Pass,271.021176,8.649612,810.180324,1
33,33,Pass,271.021176,8.649612,804.413916,1
36,15,50,103.795344,23.065632,602.589636,3
39,8,Pass,57.66408,8.649612,167.225832,1
40,8,Pass,271.021176,8.649612,735.21702,1
44,42,50,43.24806,17.299224,245.07234,3
53,31,Pass,271.021176,8.649612,813.063528,1
53,31,Pass,271.021176,8.649612,813.063528,1
53,31,Pass,224.889912,8.649612,671.786532,1
53,32,Pass,271.021176,8.649612,804.413916,1
53,32,Pass,271.021176,8.649612,813.063528,1
53,32,Pass,216.2403,8.649612,645.837696,1
53,56,Pass,268.137972,8.649612,787.114692,1
53,56,Pass,271.021176,8.649612,738.100224,1
54,31,Pass,123.977772,11.532816,374.81652,1
54,31,Pass,86.49612,8.649612,253.721952,1
54,28,50,66.313692,20.182428,383.466132,3
57,9,Pass,271.021176,8.649612,781.348284,1
56,35,50,43.24806,23.065632,282.553992,3
61,42,50,164.342628,25.948836,1049.486256,3
61,27,50,72.0801,20.182428,429.597396,3
64,10,50,57.66408,25.948836,371.933316,3
66,57,Pass,57.66408,8.649612,149.926608,1
64,55,Pass,271.021176,8.649612,792.8811,1
64,55,Pass,268.137972,8.649612,709.268184,1
67,57,Pass,57.66408,8.649612,147.043404,1
72,56,50,51.897672,20.182428,296.970012,3
73,56,Pass,57.66408,8.649612,164.342628,1
76,10,Pass,57.66408,8.649612,170.109036,1
77,10,Pass,271.021176,8.649612,807.29712,1
77,10,Pass,271.021176,8.649612,787.114692,1
84,8,Pass,271.021176,8.649612,813.063528,1
84,8,Pass,66.313692,8.649612,196.057872,1
87,55,Pass,276.787584,8.649612,824.596344,1
87,55,Pass,273.90438,8.649612,815.946732,1
87,20,Pass,20.182428,8.649612,54.780876,1
87,20,Pass,40.364856,8.649612,106.678548,1
87,23,Pass,28.83204,8.649612,74.963304,1
87,23,Pass,23.065632,8.649612,57.66408,1
88,27,50,43.24806,20.182428,242.189136,3
77,21,Pass,8.624142,68.993136,157.643695,3
79,21,Pass,11.498856,51.744852,120.382458,3
2,43,Pass,2.874714,8.624142,8.598747,1
2,43,Pass,2.874714,11.498856,11.464996,1
17,47,Pass,2.874714,5.749428,5.732498,1
31,35,Pass,2.874714,8.624142,8.598747,1
36,9,Pass,14.37357,11.498856,42.993735,1
43,31,Pass,5.749428,54.619566,65.923727,1
48,35,Pass,2.874714,14.37357,14.331245,1
48,35,Pass,2.874714,8.624142,8.598747,1
88,23,50,2.874714,11.498856,11.464996,1

