[Wafer Information]
Wafer Number,21
Wafer ID,A14-Q336488-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C024510-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/07/2024 07:30
End Time,01/07/2024 07:33
Inspection Time,0:03:22
Photo Time,0:05:26
Data Output Time,01/07/2024 08:09

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling
21,A14-Q336488-352,5518,5485,99.401957,33,55,31,23,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,43,50,273.90438,8.649612,815.946732,1
6,43,50,57.66408,8.649612,164.342628,1
5,43,50,271.021176,8.649612,761.165856,1
5,43,50,271.021176,8.649612,712.151388,1
19,42,50,273.90438,8.649612,801.530712,1
19,42,50,273.90438,8.649612,792.8811,1
19,42,50,210.473892,8.649612,631.421676,1
20,42,50,123.977772,11.532816,371.933316,1
20,42,50,89.379324,8.649612,262.371564,1
28,42,50,46.131264,49.014468,544.925556,3
28,42,50,54.619566,60.368994,811.148467,3
30,44,50,123.977772,8.649612,366.166908,1
30,44,50,273.90438,8.649612,764.04906,1
32,44,50,57.66408,8.649612,164.342628,1
30,50,50,20.182428,14.41602,72.0801,2
39,20,50,276.787584,8.649612,815.946732,1
39,20,50,273.90438,8.649612,810.180324,1
50,43,50,273.90438,8.649612,815.946732,1
50,43,50,271.021176,8.649612,810.180324,1
50,43,50,271.021176,8.649612,810.180324,1
54,21,50,123.977772,8.649612,363.283704,1
59,20,50,268.137972,8.649612,738.100224,1
60,20,50,271.021176,8.649612,810.180324,1
60,20,50,268.137972,8.649612,755.399448,1
64,51,50,86.49612,8.649612,236.422728,1
64,42,50,271.021176,8.649612,738.100224,1
84,43,50,273.90438,8.649612,769.815468,1
84,43,50,123.977772,8.649612,320.035644,1
98,24,50,273.90438,8.649612,807.29712,1
98,24,50,123.977772,8.649612,348.867684,1
17,10,50,20.122998,68.993136,189.172434,3
42,49,50,8.624142,181.106982,404.141109,3
42,49,50,8.624142,114.98856,272.293655,3
43,49,50,11.498856,204.104694,521.657318,3
43,49,50,8.624142,327.717396,819.747214,3
43,49,50,14.37357,123.612702,309.554892,3
43,49,50,14.37357,324.842682,756.689736,3
50,51,50,11.498856,123.612702,298.089896,3
53,26,50,8.624142,68.993136,154.777446,3
56,22,50,11.498856,137.986272,366.879872,3
56,22,50,11.498856,241.475976,544.58731,3
56,22,50,8.624142,195.480552,450.001093,3
56,22,50,8.624142,129.36213,295.223647,3
56,22,50,8.624142,89.116134,203.503679,3
59,45,50,8.624142,54.619566,117.516209,3
70,30,50,17.248284,57.49428,134.713703,3
70,30,50,5.749428,54.619566,108.917462,3
72,58,50,20.122998,68.993136,180.573687,3
73,58,50,8.624142,54.619566,128.981205,3
73,18,50,8.624142,51.744852,114.64996,3
80,55,50,17.248284,51.744852,131.847454,3
17,11,50,2.874714,5.749428,5.732498,1
90,36,50,2.874714,11.498856,11.464996,1
94,36,50,2.874714,14.37357,14.331245,1
95,36,50,2.874714,5.749428,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling
21,A14-Q336488-352,5518,5518,100,0,0,0

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,43,Pass,273.90438,8.649612,815.946732,1
6,43,Pass,57.66408,8.649612,164.342628,1
5,43,Pass,271.021176,8.649612,761.165856,1
5,43,Pass,271.021176,8.649612,712.151388,1
19,42,Pass,273.90438,8.649612,801.530712,1
19,42,Pass,273.90438,8.649612,792.8811,1
19,42,Pass,210.473892,8.649612,631.421676,1
20,42,Pass,123.977772,11.532816,371.933316,1
20,42,Pass,89.379324,8.649612,262.371564,1
28,42,Pass,46.131264,49.014468,544.925556,3
28,42,Pass,54.619566,60.368994,811.148467,3
30,44,Pass,123.977772,8.649612,366.166908,1
30,44,Pass,273.90438,8.649612,764.04906,1
32,44,Pass,57.66408,8.649612,164.342628,1
30,50,Pass,20.182428,14.41602,72.0801,2
39,20,Pass,276.787584,8.649612,815.946732,1
39,20,Pass,273.90438,8.649612,810.180324,1
50,43,Pass,273.90438,8.649612,815.946732,1
50,43,Pass,271.021176,8.649612,810.180324,1
50,43,Pass,271.021176,8.649612,810.180324,1
54,21,Pass,123.977772,8.649612,363.283704,1
59,20,Pass,268.137972,8.649612,738.100224,1
60,20,Pass,271.021176,8.649612,810.180324,1
60,20,Pass,268.137972,8.649612,755.399448,1
64,51,Pass,86.49612,8.649612,236.422728,1
64,42,Pass,271.021176,8.649612,738.100224,1
84,43,Pass,273.90438,8.649612,769.815468,1
84,43,Pass,123.977772,8.649612,320.035644,1
98,24,Pass,273.90438,8.649612,807.29712,1
98,24,Pass,123.977772,8.649612,348.867684,1
17,10,Pass,20.122998,68.993136,189.172434,3
42,49,Pass,8.624142,181.106982,404.141109,3
42,49,Pass,8.624142,114.98856,272.293655,3
43,49,Pass,11.498856,204.104694,521.657318,3
43,49,Pass,8.624142,327.717396,819.747214,3
43,49,Pass,14.37357,123.612702,309.554892,3
43,49,Pass,14.37357,324.842682,756.689736,3
50,51,Pass,11.498856,123.612702,298.089896,3
53,26,Pass,8.624142,68.993136,154.777446,3
56,22,Pass,11.498856,137.986272,366.879872,3
56,22,Pass,11.498856,241.475976,544.58731,3
56,22,Pass,8.624142,195.480552,450.001093,3
56,22,Pass,8.624142,129.36213,295.223647,3
56,22,Pass,8.624142,89.116134,203.503679,3
59,45,Pass,8.624142,54.619566,117.516209,3
70,30,Pass,17.248284,57.49428,134.713703,3
70,30,Pass,5.749428,54.619566,108.917462,3
72,58,Pass,20.122998,68.993136,180.573687,3
73,58,Pass,8.624142,54.619566,128.981205,3
73,18,Pass,8.624142,51.744852,114.64996,3
80,55,Pass,17.248284,51.744852,131.847454,3
17,11,Pass,2.874714,5.749428,5.732498,1
90,36,Pass,2.874714,11.498856,11.464996,1
94,36,Pass,2.874714,14.37357,14.331245,1
95,36,Pass,2.874714,5.749428,5.732498,1

