[Wafer Information]
Wafer Number,9
Wafer ID,A64-Q333284-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02492-001Q
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 12:18
End Time,01/09/2024 12:21
Inspection Time,0:03:21
Photo Time,0:02:50
Data Output Time,01/09/2024 02:12

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
9,A64-Q333284-352,5518,5482,99.34759,36,46,33,10,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,38,50,57.66408,8.649612,155.693016,1
8,24,50,60.547284,20.182428,357.517296,3
15,28,50,60.547284,20.182428,343.101276,3
32,19,50,57.66408,8.649612,158.57622,1
33,17,50,273.90438,8.649612,810.180324,1
33,17,50,271.021176,8.649612,787.114692,1
33,17,50,268.137972,8.649612,801.530712,1
34,30,50,46.131264,20.182428,256.605156,3
33,28,50,46.131264,23.065632,250.838748,3
34,17,50,118.211364,8.649612,354.634092,1
36,39,50,273.90438,8.649612,781.348284,1
36,39,50,271.021176,8.649612,795.764304,1
36,39,50,271.021176,8.649612,795.764304,1
38,18,50,43.24806,20.182428,262.371564,3
38,19,50,17.299224,20.182428,86.49612,2
42,40,50,72.0801,8.649612,213.357096,1
43,40,50,271.021176,8.649612,813.063528,1
43,40,50,271.021176,8.649612,787.114692,1
43,40,50,126.860976,8.649612,351.750888,1
45,51,50,72.0801,28.83204,484.378272,3
47,24,50,40.364856,25.948836,262.371564,3
50,30,50,54.780876,8.649612,158.57622,1
53,17,50,273.90438,8.649612,815.946732,1
53,17,50,271.021176,8.649612,810.180324,1
53,67,50,273.90438,8.649612,810.180324,1
53,67,50,23.065632,8.649612,66.313692,1
53,4,50,17.299224,20.182428,83.612916,2
54,17,50,271.021176,8.649612,810.180324,1
54,17,50,126.860976,8.649612,360.4005,1
56,53,50,49.014468,23.065632,308.502828,3
60,18,50,69.196896,20.182428,423.830988,3
66,31,50,83.612916,8.649612,245.07234,1
70,52,50,80.729712,8.649612,222.006708,1
73,17,50,57.66408,8.649612,152.809812,1
71,16,50,271.021176,8.649612,778.46508,1
73,16,50,54.780876,8.649612,149.926608,1
74,17,50,158.57622,8.649612,467.079048,1
77,37,50,703.501776,8.649612,2038.425228,1
82,48,50,11.532816,14.41602,43.24806,1
82,46,50,14.41602,20.182428,74.963304,2
83,21,50,80.729712,8.649612,239.305932,1
93,15,50,72.0801,25.948836,461.31264,3
98,39,50,273.90438,8.649612,804.413916,1
98,39,50,106.678548,8.649612,305.619624,1
98,41,50,123.977772,8.649612,334.451664,1
89,22,50,2.874714,5.749428,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
9,A64-Q333284-352,5518,5505,99.764407,13,13,10,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,38,Pass,57.66408,8.649612,155.693016,1
8,24,50,60.547284,20.182428,357.517296,3
15,28,50,60.547284,20.182428,343.101276,3
32,19,Pass,57.66408,8.649612,158.57622,1
33,17,Pass,273.90438,8.649612,810.180324,1
33,17,Pass,271.021176,8.649612,787.114692,1
33,17,Pass,268.137972,8.649612,801.530712,1
34,30,50,46.131264,20.182428,256.605156,3
33,28,50,46.131264,23.065632,250.838748,3
34,17,Pass,118.211364,8.649612,354.634092,1
36,39,Pass,273.90438,8.649612,781.348284,1
36,39,Pass,271.021176,8.649612,795.764304,1
36,39,Pass,271.021176,8.649612,795.764304,1
38,18,50,43.24806,20.182428,262.371564,3
38,19,50,17.299224,20.182428,86.49612,2
42,40,Pass,72.0801,8.649612,213.357096,1
43,40,Pass,271.021176,8.649612,813.063528,1
43,40,Pass,271.021176,8.649612,787.114692,1
43,40,Pass,126.860976,8.649612,351.750888,1
45,51,50,72.0801,28.83204,484.378272,3
47,24,50,40.364856,25.948836,262.371564,3
50,30,Pass,54.780876,8.649612,158.57622,1
53,17,Pass,273.90438,8.649612,815.946732,1
53,17,Pass,271.021176,8.649612,810.180324,1
53,67,Pass,273.90438,8.649612,810.180324,1
53,67,Pass,23.065632,8.649612,66.313692,1
53,4,50,17.299224,20.182428,83.612916,2
54,17,Pass,271.021176,8.649612,810.180324,1
54,17,Pass,126.860976,8.649612,360.4005,1
56,53,50,49.014468,23.065632,308.502828,3
60,18,50,69.196896,20.182428,423.830988,3
66,31,Pass,83.612916,8.649612,245.07234,1
70,52,Pass,80.729712,8.649612,222.006708,1
73,17,Pass,57.66408,8.649612,152.809812,1
71,16,Pass,271.021176,8.649612,778.46508,1
73,16,Pass,54.780876,8.649612,149.926608,1
74,17,Pass,158.57622,8.649612,467.079048,1
77,37,Pass,703.501776,8.649612,2038.425228,1
82,48,Pass,11.532816,14.41602,43.24806,1
82,46,50,14.41602,20.182428,74.963304,2
83,21,Pass,80.729712,8.649612,239.305932,1
93,15,50,72.0801,25.948836,461.31264,3
98,39,Pass,273.90438,8.649612,804.413916,1
98,39,Pass,106.678548,8.649612,305.619624,1
98,41,Pass,123.977772,8.649612,334.451664,1
89,22,Pass,2.874714,5.749428,5.732498,1

