[Wafer Information]
Wafer Number,23
Wafer ID,A105-Q333284-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02495-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/27/2024 08:40
End Time,01/27/2024 08:43
Inspection Time,0:03:21
Photo Time,0:03:31
Data Output Time,01/28/2024 12:22

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
23,A105-Q333284-352,5518,5488,99.456325,30,39,28,11

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
0,32,50,43.24806,8.649612,112.444956,1
8,32,50,63.430488,34.598448,521.859924,3
16,34,50,273.90438,8.649612,813.063528,1
16,34,50,271.021176,8.649612,804.413916,1
16,34,50,271.021176,8.649612,801.530712,1
17,29,50,74.963304,23.065632,467.079048,3
20,53,50,86.49612,23.065632,536.275944,3
25,11,50,49.014468,8.649612,141.276996,1
23,54,50,60.547284,20.182428,383.466132,3
22,54,50,83.612916,8.649612,227.773116,1
26,11,50,271.021176,8.649612,807.29712,1
26,11,50,271.021176,8.649612,720.801,1
28,11,50,60.547284,23.065632,418.06458,3
39,33,50,54.780876,11.532816,167.225832,1
37,33,50,83.612916,8.649612,245.07234,1
37,33,50,126.860976,8.649612,377.699724,1
39,12,50,273.90438,8.649612,815.946732,1
39,12,50,155.693016,8.649612,461.31264,1
47,8,50,54.780876,20.182428,308.502828,3
49,49,50,66.313692,23.065632,394.998948,3
50,35,50,273.90438,8.649612,715.034592,1
51,49,50,49.014468,23.065632,288.3204,3
56,7,50,683.319348,8.649612,2026.892412,1
59,33,50,57.66408,11.532816,170.109036,1
64,14,50,273.90438,8.649612,810.180324,1
64,14,50,123.977772,8.649612,363.283704,1
65,11,50,54.780876,8.649612,138.393792,1
73,31,50,585.290412,8.649612,1741.455216,1
72,46,50,51.897672,23.065632,334.451664,3
79,12,50,54.780876,8.649612,144.1602,1
81,42,50,51.897672,25.948836,366.166908,3
85,11,50,54.780876,8.649612,141.276996,1
101,33,50,273.90438,8.649612,815.946732,1
101,33,50,271.021176,8.649612,804.413916,1
101,33,50,273.90438,8.649612,810.180324,1
78,57,50,28.74714,51.744852,303.822394,3
71,38,50,2.874714,14.37357,14.331245,1
71,38,50,2.874714,5.749428,5.732498,1
72,2,50,2.874714,28.74714,28.66249,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
23,A105-Q333284-352,5518,5507,99.800652,11,11,11

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
0,32,Pass,43.24806,8.649612,112.444956,1
8,32,50,63.430488,34.598448,521.859924,3
16,34,Pass,273.90438,8.649612,813.063528,1
16,34,Pass,271.021176,8.649612,804.413916,1
16,34,Pass,271.021176,8.649612,801.530712,1
17,29,50,74.963304,23.065632,467.079048,3
20,53,50,86.49612,23.065632,536.275944,3
25,11,Pass,49.014468,8.649612,141.276996,1
23,54,50,60.547284,20.182428,383.466132,3
22,54,Pass,83.612916,8.649612,227.773116,1
26,11,Pass,271.021176,8.649612,807.29712,1
26,11,Pass,271.021176,8.649612,720.801,1
28,11,50,60.547284,23.065632,418.06458,3
39,33,Pass,54.780876,11.532816,167.225832,1
37,33,Pass,83.612916,8.649612,245.07234,1
37,33,Pass,126.860976,8.649612,377.699724,1
39,12,Pass,273.90438,8.649612,815.946732,1
39,12,Pass,155.693016,8.649612,461.31264,1
47,8,50,54.780876,20.182428,308.502828,3
49,49,50,66.313692,23.065632,394.998948,3
50,35,Pass,273.90438,8.649612,715.034592,1
51,49,50,49.014468,23.065632,288.3204,3
56,7,Pass,683.319348,8.649612,2026.892412,1
59,33,Pass,57.66408,11.532816,170.109036,1
64,14,Pass,273.90438,8.649612,810.180324,1
64,14,Pass,123.977772,8.649612,363.283704,1
65,11,Pass,54.780876,8.649612,138.393792,1
73,31,Pass,585.290412,8.649612,1741.455216,1
72,46,50,51.897672,23.065632,334.451664,3
79,12,Pass,54.780876,8.649612,144.1602,1
81,42,50,51.897672,25.948836,366.166908,3
85,11,Pass,54.780876,8.649612,141.276996,1
101,33,Pass,273.90438,8.649612,815.946732,1
101,33,Pass,271.021176,8.649612,804.413916,1
101,33,Pass,273.90438,8.649612,810.180324,1
78,57,50,28.74714,51.744852,303.822394,3
71,38,Pass,2.874714,14.37357,14.331245,1
71,38,Pass,2.874714,5.749428,5.732498,1
72,2,Pass,2.874714,28.74714,28.66249,1

