[Wafer Information]
Wafer Number,17
Wafer ID,A05-Q336488-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02507-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/07/2024 08:20
End Time,01/07/2024 08:23
Inspection Time,0:03:21
Photo Time,0:01:34
Data Output Time,01/07/2024 09:58

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
17,A05-Q336488-352,5518,5463,99.003262,55,68,33,31,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,31,50,273.90438,8.649612,798.647508,1
6,31,50,57.66408,8.649612,149.926608,1
8,28,50,279.670788,8.649612,815.946732,1
12,27,50,54.780876,25.948836,377.699724,3
13,53,50,271.021176,8.649612,743.866632,1
16,30,50,273.90438,8.649612,795.764304,1
17,32,50,43.24806,20.182428,227.773116,3
19,9,50,216.2403,8.649612,602.589636,1
18,42,50,40.364856,25.948836,311.386032,3
21,7,50,51.897672,20.182428,311.386032,3
34,13,50,43.24806,23.065632,273.90438,3
36,8,50,54.780876,11.532816,155.693016,1
36,30,50,40.364856,8.649612,103.795344,1
36,3,50,51.897672,20.182428,296.970012,3
39,9,50,273.90438,8.649612,792.8811,1
39,9,50,271.021176,8.649612,807.29712,1
37,30,50,80.729712,8.649612,239.305932,1
37,30,50,57.66408,8.649612,167.225832,1
39,29,50,49.014468,25.948836,354.634092,3
40,42,50,46.131264,25.948836,305.619624,3
42,66,50,57.66408,20.182428,314.269236,3
43,2,50,17.299224,20.182428,92.262528,2
46,13,50,43.24806,23.065632,256.605156,3
47,52,50,273.90438,8.649612,769.815468,1
49,55,50,57.66408,8.649612,158.57622,1
49,35,50,63.430488,23.065632,400.765356,3
50,10,50,271.021176,8.649612,781.348284,1
50,33,50,273.90438,8.649612,755.399448,1
50,33,50,123.977772,8.649612,331.56846,1
54,29,50,17.299224,20.182428,77.846508,2
53,39,50,46.131264,43.24806,432.4806,3
53,39,50,40.364856,34.598448,320.035644,3
53,39,50,54.619566,45.995424,639.173527,3
55,15,50,43.24806,17.299224,236.422728,3
57,8,50,271.021176,8.649612,801.530712,1
57,8,50,57.66408,8.649612,152.809812,1
57,41,50,80.729712,8.649612,227.773116,1
61,26,50,54.780876,23.065632,345.98448,3
70,31,50,273.90438,8.649612,815.946732,1
70,31,50,273.90438,8.649612,813.063528,1
70,31,50,187.40826,8.649612,556.458372,1
69,49,50,43.24806,23.065632,256.605156,3
71,38,50,69.196896,28.83204,501.677496,3
73,10,50,276.787584,8.649612,818.829936,1
73,10,50,268.137972,8.649612,804.413916,1
71,24,50,51.897672,20.182428,299.853216,3
71,52,50,271.021176,8.649612,804.413916,1
71,52,50,57.66408,8.649612,149.926608,1
73,38,50,17.299224,20.182428,95.145732,2
76,17,50,72.0801,23.065632,449.779824,3
78,48,50,57.66408,23.065632,383.466132,3
78,41,50,83.612916,8.649612,219.123504,1
81,14,50,54.780876,23.065632,331.56846,3
80,48,50,72.0801,20.182428,400.765356,3
86,40,50,51.897672,20.182428,294.086808,3
90,54,50,54.780876,11.532816,158.57622,1
91,40,50,95.145732,25.948836,619.88886,3
91,31,50,271.021176,8.649612,769.815468,1
92,38,50,49.014468,23.065632,322.918848,3
91,44,50,57.66408,43.24806,671.786532,3
91,44,50,66.118422,51.744852,931.530925,3
91,52,50,271.021176,8.649612,746.749836,1
93,29,50,17.299224,20.182428,92.262528,2
94,32,50,98.028936,8.649612,253.721952,1
15,15,50,8.624142,51.744852,103.184964,3
16,34,50,60.368994,40.245996,306.688643,3
16,34,50,11.498856,25.872426,91.719968,1
20,10,50,20.122998,51.744852,286.6249,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
17,A05-Q336488-352,5518,5490,99.49257,28,29,25,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,31,Pass,273.90438,8.649612,798.647508,1
6,31,Pass,57.66408,8.649612,149.926608,1
8,28,Pass,279.670788,8.649612,815.946732,1
12,27,50,54.780876,25.948836,377.699724,3
13,53,Pass,271.021176,8.649612,743.866632,1
16,30,Pass,273.90438,8.649612,795.764304,1
17,32,50,43.24806,20.182428,227.773116,3
19,9,Pass,216.2403,8.649612,602.589636,1
18,42,50,40.364856,25.948836,311.386032,3
21,7,50,51.897672,20.182428,311.386032,3
34,13,50,43.24806,23.065632,273.90438,3
36,8,Pass,54.780876,11.532816,155.693016,1
36,30,Pass,40.364856,8.649612,103.795344,1
36,3,50,51.897672,20.182428,296.970012,3
39,9,Pass,273.90438,8.649612,792.8811,1
39,9,Pass,271.021176,8.649612,807.29712,1
37,30,50,80.729712,8.649612,239.305932,1
37,30,50,57.66408,8.649612,167.225832,1
39,29,50,49.014468,25.948836,354.634092,3
40,42,50,46.131264,25.948836,305.619624,3
42,66,50,57.66408,20.182428,314.269236,3
43,2,50,17.299224,20.182428,92.262528,2
46,13,50,43.24806,23.065632,256.605156,3
47,52,Pass,273.90438,8.649612,769.815468,1
49,55,Pass,57.66408,8.649612,158.57622,1
49,35,50,63.430488,23.065632,400.765356,3
50,10,Pass,271.021176,8.649612,781.348284,1
50,33,Pass,273.90438,8.649612,755.399448,1
50,33,Pass,123.977772,8.649612,331.56846,1
54,29,50,17.299224,20.182428,77.846508,2
53,39,Pass,46.131264,43.24806,432.4806,3
53,39,Pass,40.364856,34.598448,320.035644,3
53,39,Pass,54.619566,45.995424,639.173527,3
55,15,50,43.24806,17.299224,236.422728,3
57,8,Pass,271.021176,8.649612,801.530712,1
57,8,Pass,57.66408,8.649612,152.809812,1
57,41,Pass,80.729712,8.649612,227.773116,1
61,26,50,54.780876,23.065632,345.98448,3
70,31,Pass,273.90438,8.649612,815.946732,1
70,31,Pass,273.90438,8.649612,813.063528,1
70,31,Pass,187.40826,8.649612,556.458372,1
69,49,50,43.24806,23.065632,256.605156,3
71,38,50,69.196896,28.83204,501.677496,3
73,10,Pass,276.787584,8.649612,818.829936,1
73,10,Pass,268.137972,8.649612,804.413916,1
71,24,50,51.897672,20.182428,299.853216,3
71,52,Pass,271.021176,8.649612,804.413916,1
71,52,Pass,57.66408,8.649612,149.926608,1
73,38,50,17.299224,20.182428,95.145732,2
76,17,50,72.0801,23.065632,449.779824,3
78,48,50,57.66408,23.065632,383.466132,3
78,41,Pass,83.612916,8.649612,219.123504,1
81,14,50,54.780876,23.065632,331.56846,3
80,48,50,72.0801,20.182428,400.765356,3
86,40,50,51.897672,20.182428,294.086808,3
90,54,Pass,54.780876,11.532816,158.57622,1
91,40,50,95.145732,25.948836,619.88886,3
91,31,Pass,271.021176,8.649612,769.815468,1
92,38,50,49.014468,23.065632,322.918848,3
91,44,Pass,57.66408,43.24806,671.786532,3
91,44,Pass,66.118422,51.744852,931.530925,3
91,52,Pass,271.021176,8.649612,746.749836,1
93,29,50,17.299224,20.182428,92.262528,2
94,32,Pass,98.028936,8.649612,253.721952,1
15,15,Pass,8.624142,51.744852,103.184964,3
16,34,Pass,60.368994,40.245996,306.688643,3
16,34,Pass,11.498856,25.872426,91.719968,1
20,10,Pass,20.122998,51.744852,286.6249,3

