[Wafer Information]
Wafer Number,25
Wafer ID,A45-Q336488-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02519-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 06:48
End Time,01/19/2024 06:51
Inspection Time,0:03:22
Photo Time,0:09:01
Data Output Time,01/19/2024 10:14

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
25,A45-Q336488-352,5518,5472,99.166365,46,88,40,47,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,38,50,1208.062476,8.649612,3604.005,1
9,30,50,51.897672,20.182428,302.73642,3
26,63,50,20.182428,60.547284,190.291464,1
26,63,50,28.83204,54.780876,345.98448,3
26,63,50,31.621854,66.118422,507.326073,3
26,63,50,5.749428,8.624142,11.464996,1
26,63,50,8.624142,8.624142,22.929992,1
29,8,50,92.262528,8.649612,271.021176,1
29,8,50,271.021176,8.649612,810.180324,1
29,8,50,271.021176,8.649612,804.413916,1
29,8,50,57.66408,8.649612,161.459424,1
30,64,50,268.137972,8.649612,775.581876,1
33,33,50,54.780876,8.649612,152.809812,1
50,41,50,271.021176,8.649612,801.530712,1
50,64,50,273.90438,8.649612,789.997896,1
50,64,50,271.021176,8.649612,784.231488,1
50,64,50,273.90438,8.649612,738.100224,1
50,67,50,54.780876,8.649612,141.276996,1
51,64,50,123.977772,8.649612,363.283704,1
51,65,50,83.612916,8.649612,245.07234,1
51,65,50,57.66408,8.649612,164.342628,1
56,24,50,273.90438,8.649612,813.063528,1
56,24,50,222.006708,8.649612,663.13692,1
57,24,50,83.612916,8.649612,224.889912,1
57,40,50,271.021176,8.649612,807.29712,1
57,40,50,271.021176,8.649612,778.46508,1
57,40,50,126.860976,8.649612,334.451664,1
67,66,50,54.780876,11.532816,152.809812,1
69,13,50,60.547284,8.649612,152.809812,1
70,41,50,54.780876,11.532816,167.225832,1
68,66,50,149.926608,8.649612,444.013416,1
68,66,50,57.66408,8.649612,172.99224,1
5,19,50,25.872426,51.744852,352.548627,3
19,35,50,11.498856,57.49428,154.777446,3
21,6,50,14.37357,51.744852,134.713703,3
21,6,50,8.624142,77.617278,189.172434,3
21,6,50,14.37357,83.366706,232.166169,3
21,6,50,11.498856,77.617278,189.172434,3
21,6,50,8.624142,60.368994,134.713703,3
21,35,50,11.498856,57.49428,151.911197,3
21,35,50,11.498856,94.865562,240.764916,3
21,35,50,20.122998,103.489704,318.153639,3
22,6,50,11.498856,117.863274,303.822394,3
22,6,50,11.498856,83.366706,257.96241,3
22,6,50,11.498856,71.86785,177.707438,3
22,6,50,11.498856,112.113846,286.6249,3
22,6,50,22.997712,68.993136,194.904932,3
22,6,50,22.997712,183.981696,418.472354,3
23,6,50,11.498856,54.619566,149.044948,3
23,6,50,8.624142,89.116134,203.503679,3
24,6,50,11.498856,66.118422,186.306185,3
24,6,50,11.498856,63.243708,180.573687,3
24,6,50,20.122998,186.85641,487.26233,3
24,6,50,8.624142,51.744852,120.382458,3
22,35,50,20.122998,57.49428,186.306185,3
57,63,50,8.624142,63.243708,140.446201,3
60,63,50,8.624142,100.61499,257.96241,3
60,38,50,8.624142,83.366706,180.573687,3
60,38,50,8.624142,68.993136,149.044948,3
60,38,50,8.624142,91.990848,192.038683,3
62,12,50,17.248284,66.118422,183.439936,3
62,12,50,11.498856,51.744852,120.382458,3
68,9,50,11.498856,68.993136,177.707438,3
66,9,50,17.248284,60.368994,169.108691,3
66,9,50,14.37357,109.239132,260.828659,3
66,9,50,20.122998,114.98856,321.019888,3
66,9,50,11.498856,238.601262,604.778539,3
66,9,50,14.37357,89.116134,235.032418,3
66,9,50,17.248284,68.993136,192.038683,3
69,9,50,14.37357,135.111558,312.421141,3
69,9,50,22.997712,100.61499,332.484884,3
69,9,50,8.624142,117.863274,300.956145,3
69,9,50,8.624142,68.993136,166.242442,3
99,31,50,11.498856,89.116134,249.363663,3
99,31,50,14.37357,71.86785,177.707438,3
99,31,50,14.37357,54.619566,134.713703,3
19,50,50,5.749428,2.874714,5.732498,1
32,54,50,17.248284,2.874714,17.197494,1
36,61,50,5.749428,2.874714,5.732498,1
43,63,50,17.248284,2.874714,17.197494,1
46,51,50,11.498856,2.874714,11.464996,1
53,54,50,31.621854,2.874714,31.528739,1
55,56,50,14.37357,2.874714,14.331245,1
70,62,50,5.749428,2.874714,5.732498,1
71,51,50,68.993136,5.749428,123.248707,1
71,64,50,8.624142,2.874714,8.598747,1
77,56,50,31.621854,2.874714,31.528739,1
92,47,50,74.742564,5.749428,83.121221,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
25,A45-Q336488-352,5518,5515,99.945632,3,7,4,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,38,Pass,1208.062476,8.649612,3604.005,1
9,30,50,51.897672,20.182428,302.73642,3
26,63,50,20.182428,60.547284,190.291464,1
26,63,50,28.83204,54.780876,345.98448,3
26,63,50,31.621854,66.118422,507.326073,3
26,63,50,5.749428,8.624142,11.464996,1
26,63,50,8.624142,8.624142,22.929992,1
29,8,Pass,92.262528,8.649612,271.021176,1
29,8,Pass,271.021176,8.649612,810.180324,1
29,8,Pass,271.021176,8.649612,804.413916,1
29,8,Pass,57.66408,8.649612,161.459424,1
30,64,Pass,268.137972,8.649612,775.581876,1
33,33,Pass,54.780876,8.649612,152.809812,1
50,41,Pass,271.021176,8.649612,801.530712,1
50,64,Pass,273.90438,8.649612,789.997896,1
50,64,Pass,271.021176,8.649612,784.231488,1
50,64,Pass,273.90438,8.649612,738.100224,1
