[Wafer Information]
Wafer Number,17
Wafer ID,A71-Q336488-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02525-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/08/2024 02:06
End Time,01/08/2024 02:10
Inspection Time,0:03:22
Photo Time,0:05:08
Data Output Time,01/08/2024 02:34

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
17,A71-Q336488-352,5518,5460,98.948895,58,80,58,19,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,31,50,193.174668,8.649612,579.524004,1
6,31,50,268.137972,8.649612,772.698672,1
6,31,50,123.977772,8.649612,328.685256,1
8,31,50,49.014468,8.649612,138.393792,1
6,25,50,46.131264,20.182428,282.553992,3
9,39,50,77.846508,46.131264,847.661976,3
9,39,50,60.368994,22.997712,366.879872,3
16,10,50,54.780876,8.649612,152.809812,1
15,56,50,17.299224,23.065632,92.262528,2
16,30,50,271.021176,8.649612,804.413916,1
15,47,50,54.780876,23.065632,386.349336,3
17,39,50,80.729712,25.948836,567.991188,3
25,52,50,273.90438,8.649612,818.829936,1
31,9,50,43.24806,23.065632,288.3204,3
30,33,50,271.021176,8.649612,784.231488,1
30,33,50,123.977772,11.532816,345.98448,1
33,11,50,273.90438,8.649612,735.21702,1
33,11,50,271.021176,8.649612,804.413916,1
33,11,50,262.371564,8.649612,769.815468,1
34,11,50,123.977772,11.532816,374.81652,1
34,11,50,46.131264,8.649612,132.627384,1
35,24,50,66.313692,23.065632,392.115744,3
36,53,50,273.90438,8.649612,798.647508,1
36,53,50,271.021176,8.649612,810.180324,1
36,53,50,268.137972,8.649612,801.530712,1
36,30,50,54.780876,8.649612,147.043404,1
37,30,50,273.90438,8.649612,815.946732,1
37,30,50,271.021176,8.649612,813.063528,1
37,30,50,271.021176,8.649612,813.063528,1
