[Wafer Information]
Wafer Number,19
Wafer ID,A138-Q336488-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02525-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/28/2024 03:29
End Time,01/28/2024 03:33
Inspection Time,0:03:22
Photo Time,0:14:50
Data Output Time,01/28/2024 05:57

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
19,A138-Q336488-352,5518,5412,98.079014,106,262,230,27,4,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,40,50,271.021176,8.649612,752.516244,1
3,40,50,126.860976,11.532816,374.81652,1
4,31,50,49.014468,25.948836,334.451664,3
5,40,50,57.66408,11.532816,170.109036,1
4,40,50,273.90438,8.649612,723.684204,1
5,33,50,184.525056,8.649612,498.794292,1
9,25,50,271.021176,8.649612,810.180324,1
9,25,50,271.021176,8.649612,807.29712,1
9,25,50,126.860976,8.649612,366.166908,1
11,17,50,43.24806,40.364856,389.23254,3
13,51,50,49.014468,25.948836,377.699724,3
14,24,50,54.780876,8.649612,141.276996,1
14,11,50,271.021176,8.649612,715.034592,1
16,24,50,230.65632,8.649612,686.202552,1
16,51,50,69.196896,23.065632,403.64856,3
20,41,50,273.90438,8.649612,738.100224,1
20,41,50,271.021176,8.649612,740.983428,1
20,41,50,268.137972,8.649612,769.815468,1
20,41,50,268.137972,8.649612,697.735368,1
20,41,50,115.32816,8.649612,345.98448,1
20,41,50,57.66408,8.649612,172.99224,1
22,47,50,83.612916,25.948836,588.173616,3
30,13,50,46.131264,20.182428,256.605156,3
30,46,50,43.24806,23.065632,256.605156,3
34,55,50,46.131264,20.182428,276.787584,3
37,66,50,273.90438,8.649612,810.180324,1
37,66,50,273.90438,8.649612,795.764304,1
37,66,50,271.021176,8.649612,787.114692,1
37,66,50,57.66408,11.532816,172.99224,1
37,66,50,118.211364,8.649612,354.634092,1
37,65,50,271.021176,8.649612,746.749836,1
37,65,50,126.860976,8.649612,366.166908,1
37,11,50,273.90438,8.649612,729.450612,1
37,11,50,268.137972,8.649612,706.38498,1
