[Wafer Information]
Wafer Number,11
Wafer ID,A142-Q336488-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02525-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/28/2024 07:40
End Time,01/28/2024 07:44
Inspection Time,0:03:21
Photo Time,0:08:06
Data Output Time,01/28/2024 08:45

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others,F82 Top side chipping no damage sensor area
11,A142-Q336488-352,5518,5455,98.858282,63,68,42,24,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,25,50,54.780876,11.532816,161.459424,1
20,47,50,109.561752,8.649612,328.685256,1
24,8,50,57.66408,25.948836,366.166908,3
27,8,50,46.131264,20.182428,259.48836,3
29,11,50,49.014468,25.948836,299.853216,3
30,54,50,43.24806,23.065632,256.605156,3
33,46,50,273.90438,8.649612,813.063528,1
35,18,50,57.66408,23.065632,354.634092,3
37,2,50,92.262528,25.948836,599.706432,3
41,35,50,60.547284,23.065632,374.81652,3
40,54,50,57.66408,20.182428,331.56846,3
43,47,50,271.021176,8.649612,772.698672,1
53,57,50,74.963304,23.065632,458.429436,3
54,33,50,66.313692,25.948836,472.845456,3
54,46,50,121.094568,8.649612,357.517296,1
54,46,50,123.977772,8.649612,366.166908,1
58,8,50,46.131264,23.065632,282.553992,3
56,21,50,43.24806,20.182428,239.305932,3
56,33,50,80.729712,23.065632,530.509536,3
57,57,50,60.547284,20.182428,345.98448,3
61,41,50,57.66408,25.948836,394.998948,3
62,67,50,49.014468,23.065632,305.619624,3
62,67,50,8.624142,5.749428,11.464996,1
64,21,50,63.430488,20.182428,371.933316,3
63,24,50,178.758648,11.532816,420.947784,1
70,46,50,273.90438,8.649612,810.180324,1
70,46,50,271.021176,8.649612,804.413916,1
70,46,50,155.693016,8.649612,467.079048,1
72,13,50,63.430488,23.065632,389.23254,3
72,21,50,63.430488,23.065632,400.765356,3
77,38,50,57.66408,34.598448,498.794292,3
79,55,50,37.481652,31.715244,302.73642,3
84,32,50,14.41602,23.065632,86.49612,2
87,45,50,54.780876,8.649612,141.276996,1
88,13,50,51.897672,40.364856,455.546232,3
98,28,50,109.561752,8.649612,279.670788,1
100,42,50,49.014468,23.065632,317.15244,3
56,10,50,45.995424,54.619566,323.886137,3
21,61,50,8.624142,2.874714,8.598747,1
22,61,50,8.624142,2.874714,8.598747,1
28,60,50,11.498856,5.749428,17.197494,1
30,61,50,8.624142,5.749428,17.197494,1
32,61,50,14.37357,2.874714,14.331245,1
37,66,50,8.624142,2.874714,8.598747,1
38,66,50,5.749428,2.874714,5.732498,1
41,63,50,5.749428,2.874714,5.732498,1
46,63,50,8.624142,2.874714,8.598747,1
48,57,50,54.619566,5.749428,83.121221,1
48,59,50,8.624142,2.874714,8.598747,1
