[Wafer Information]
Wafer Number,25
Wafer ID,A54Q335548352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23CO2090-009
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/03/2024 01:35
End Time,01/03/2024 01:38
Inspection Time,0:03:25
Photo Time,0:07:42
Data Output Time,01/03/2024 05:05

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F99 Others,F29 Silicon powder,F07 Incoming microlens periphery peeling
25,A54Q335548352,4147,4012,96.744635,135,265,105,146,2,12

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,38,50,14.41602,17.299224,74.963304,2
6,43,50,17.299224,20.182428,98.028936,2
6,43,50,14.41602,20.182428,100.91214,2
6,32,50,17.299224,20.182428,95.145732,2
10,40,50,14.41602,311.386032,1389.704328,2
10,40,50,14.41602,46.131264,204.707484,2
10,44,50,14.41602,144.1602,642.954492,2
10,44,50,17.299224,311.386032,1626.127056,2
10,44,50,17.299224,311.386032,1530.981324,2
10,44,50,17.299224,311.386032,1510.798896,2
10,42,50,17.299224,20.182428,74.963304,2
15,35,50,17.299224,20.182428,92.262528,2
15,21,50,17.299224,14.41602,77.846508,2
15,45,50,20.182428,31.715244,164.342628,2
15,45,50,14.41602,219.123504,965.87334,2
20,7,50,11.532816,8.649612,28.83204,1
20,7,50,5.749428,8.624142,14.331245,1
22,45,50,17.299224,311.386032,1389.704328,2
27,41,50,14.41602,17.299224,72.0801,2
27,45,50,17.299224,23.065632,80.729712,2
28,44,50,17.299224,311.386032,1848.133764,2
28,44,50,17.299224,311.386032,1487.733264,2
28,44,50,17.299224,311.386032,1502.149284,2
27,9,50,20.182428,17.299224,77.846508,2
30,43,50,377.699724,63.430488,4088.383272,2
30,43,50,17.299224,311.386032,1579.995792,2
30,43,50,17.299224,311.386032,1516.565304,2
30,43,50,17.299224,311.386032,1487.733264,2
31,36,50,23.065632,17.299224,92.262528,2
30,14,50,14.41602,20.182428,72.0801,2
32,45,50,17.299224,311.386032,1764.520848,2
32,45,50,17.299224,311.386032,1551.163752,2
32,45,50,17.299224,311.386032,1450.251612,2
33,44,50,17.299224,311.386032,1484.85006,2
33,44,50,14.41602,66.313692,291.203604,2
33,44,50,17.299224,311.386032,1438.718796,2
36,45,50,20.182428,43.24806,181.641852,2
36,45,50,17.299224,311.386032,1467.550836,2
36,45,50,14.41602,72.0801,314.269236,2
36,45,50,14.41602,149.926608,625.655268,2
36,41,50,17.299224,23.065632,86.49612,2
37,44,50,14.41602,276.787584,1248.427332,2
37,23,50,14.41602,20.182428,72.0801,2
40,47,50,20.182428,20.182428,109.561752,2
39,26,50,14.41602,20.182428,74.963304,2
40,42,50,14.41602,311.386032,1479.083652,2
