[Wafer Information]
Wafer Number,13
Wafer ID,A18-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100047-001Q
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/08/2024 09:11
End Time,01/08/2024 09:14
Inspection Time,0:03:22
Photo Time,0:01:20
Data Output Time,01/08/2024 10:12

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
13,A18-Q335381-401,5518,5506,99.78253,12,13,9,3,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,48,50,135.510588,106.678548,3451.195188,3
12,48,50,143.7357,117.863274,4170.392295,3
26,19,50,46.131264,25.948836,279.670788,3
37,6,50,43.24806,20.182428,273.90438,3
42,63,50,253.721952,8.649612,712.151388,1
48,26,50,49.014468,25.948836,314.269236,3
56,66,50,273.90438,8.649612,712.151388,1
58,43,50,49.014468,25.948836,314.269236,3
63,4,50,49.014468,20.182428,282.553992,3
80,56,50,57.66408,28.83204,426.714192,3
90,26,50,54.780876,23.065632,363.283704,3
98,22,50,14.41602,20.182428,72.0801,2
101,39,50,271.021176,8.649612,810.180324,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
13,A18-Q335381-401,5518,5510,99.85502,8,8,7,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,48,Pass,135.510588,106.678548,3451.195188,3
12,48,Pass,143.7357,117.863274,4170.392295,3
26,19,50,46.131264,25.948836,279.670788,3
37,6,50,43.24806,20.182428,273.90438,3
42,63,Pass,253.721952,8.649612,712.151388,1
48,26,50,49.014468,25.948836,314.269236,3
56,66,Pass,273.90438,8.649612,712.151388,1
58,43,50,49.014468,25.948836,314.269236,3
63,4,50,49.014468,20.182428,282.553992,3
80,56,50,57.66408,28.83204,426.714192,3
90,26,50,54.780876,23.065632,363.283704,3
98,22,50,14.41602,20.182428,72.0801,2
101,39,Pass,271.021176,8.649612,810.180324,1

