[Wafer Information]
Wafer Number,9
Wafer ID,A20-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100047-001Q
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/08/2024 09:26
End Time,01/08/2024 09:29
Inspection Time,0:03:21
Photo Time,0:03:42
Data Output Time,01/08/2024 10:13

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
9,A20-Q335381-401,5518,5477,99.256977,41,59,42,17

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
14,43,50,271.021176,8.649612,787.114692,1
14,43,50,271.021176,8.649612,712.151388,1
16,21,50,273.90438,8.649612,813.063528,1
16,20,50,54.780876,8.649612,149.926608,1
35,31,50,46.131264,20.182428,262.371564,3
36,43,50,276.787584,8.649612,818.829936,1
36,43,50,271.021176,8.649612,810.180324,1
36,43,50,239.305932,8.649612,712.151388,1
37,21,50,164.342628,8.649612,487.261476,1
37,21,50,57.66408,8.649612,158.57622,1
37,20,50,164.342628,8.649612,493.027884,1
37,20,50,57.66408,8.649612,172.99224,1
42,31,50,83.612916,23.065632,504.5607,3
43,15,50,43.24806,20.182428,262.371564,3
47,31,50,43.24806,25.948836,308.502828,3
50,32,50,83.612916,8.649612,230.65632,1
53,42,50,273.90438,8.649612,813.063528,1
53,42,50,271.021176,8.649612,810.180324,1
53,42,50,213.357096,8.649612,637.188084,1
54,42,50,83.612916,8.649612,250.838748,1
54,42,50,126.860976,8.649612,380.582928,1
59,20,50,273.90438,8.649612,813.063528,1
59,20,50,271.021176,8.649612,789.997896,1
59,20,50,273.90438,8.649612,798.647508,1
59,20,50,271.021176,8.649612,743.866632,1
59,56,50,51.897672,23.065632,331.56846,3
60,35,50,40.364856,23.065632,279.670788,3
64,51,50,46.131264,20.182428,265.254768,3
73,42,50,273.90438,8.649612,815.946732,1
73,42,50,43.24806,8.649612,129.74418,1
72,27,50,51.897672,20.182428,291.203604,3
74,42,50,227.773116,8.649612,660.253716,1
75,52,50,51.897672,20.182428,291.203604,3
79,49,50,74.963304,23.065632,455.546232,3
81,21,50,271.021176,8.649612,801.530712,1
81,21,50,271.021176,8.649612,766.932264,1
81,20,50,273.90438,8.649612,813.063528,1
81,20,50,273.90438,8.649612,813.063528,1
81,20,50,271.021176,8.649612,807.29712,1
81,20,50,271.021176,8.649612,798.647508,1
82,31,50,60.547284,20.182428,354.634092,3
86,15,50,63.430488,20.182428,360.4005,3
87,41,50,54.780876,8.649612,161.459424,1
87,28,50,46.131264,25.948836,282.553992,3
90,35,50,51.897672,25.948836,351.750888,3
95,19,50,271.021176,8.649612,752.516244,1
96,19,50,66.313692,20.182428,374.81652,3
100,43,50,60.547284,20.182428,345.98448,3
99,22,50,273.90438,8.649612,798.647508,1
99,22,50,271.021176,8.649612,787.114692,1
99,22,50,268.137972,8.649612,772.698672,1
99,28,50,69.196896,23.065632,420.947784,3
5,32,50,5.749428,2.874714,5.732498,1
24,11,50,2.874714,5.749428,5.732498,1
25,47,50,2.874714,8.624142,8.598747,1
58,4,50,2.874714,40.245996,40.127486,1
60,4,50,2.874714,5.749428,5.732498,1
71,56,50,2.874714,14.37357,14.331245,1
95,43,50,2.874714,60.368994,60.191229,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
9,A20-Q335381-401,5518,5500,99.673795,18,18,18

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
14,43,Pass,271.021176,8.649612,787.114692,1
14,43,Pass,271.021176,8.649612,712.151388,1
16,21,Pass,273.90438,8.649612,813.063528,1
16,20,Pass,54.780876,8.649612,149.926608,1
35,31,50,46.131264,20.182428,262.371564,3
36,43,Pass,276.787584,8.649612,818.829936,1
36,43,Pass,271.021176,8.649612,810.180324,1
36,43,Pass,239.305932,8.649612,712.151388,1
37,21,Pass,164.342628,8.649612,487.261476,1
37,21,Pass,57.66408,8.649612,158.57622,1
37,20,Pass,164.342628,8.649612,493.027884,1
37,20,Pass,57.66408,8.649612,172.99224,1
42,31,50,83.612916,23.065632,504.5607,3
43,15,50,43.24806,20.182428,262.371564,3
47,31,50,43.24806,25.948836,308.502828,3
50,32,Pass,83.612916,8.649612,230.65632,1
53,42,Pass,273.90438,8.649612,813.063528,1
53,42,Pass,271.021176,8.649612,810.180324,1
53,42,Pass,213.357096,8.649612,637.188084,1
54,42,Pass,83.612916,8.649612,250.838748,1
54,42,Pass,126.860976,8.649612,380.582928,1
59,20,Pass,273.90438,8.649612,813.063528,1
59,20,Pass,271.021176,8.649612,789.997896,1
59,20,Pass,273.90438,8.649612,798.647508,1
59,20,Pass,271.021176,8.649612,743.866632,1
59,56,50,51.897672,23.065632,331.56846,3
60,35,50,40.364856,23.065632,279.670788,3
64,51,50,46.131264,20.182428,265.254768,3
73,42,Pass,273.90438,8.649612,815.946732,1
73,42,Pass,43.24806,8.649612,129.74418,1
72,27,50,51.897672,20.182428,291.203604,3
74,42,Pass,227.773116,8.649612,660.253716,1
75,52,50,51.897672,20.182428,291.203604,3
79,49,50,74.963304,23.065632,455.546232,3
81,21,Pass,271.021176,8.649612,801.530712,1
81,21,Pass,271.021176,8.649612,766.932264,1
81,20,Pass,273.90438,8.649612,813.063528,1
81,20,Pass,273.90438,8.649612,813.063528,1
81,20,Pass,271.021176,8.649612,807.29712,1
81,20,Pass,271.021176,8.649612,798.647508,1
82,31,50,60.547284,20.182428,354.634092,3
86,15,50,63.430488,20.182428,360.4005,3
87,41,Pass,54.780876,8.649612,161.459424,1
87,28,50,46.131264,25.948836,282.553992,3
90,35,50,51.897672,25.948836,351.750888,3
95,19,Pass,271.021176,8.649612,752.516244,1
96,19,50,66.313692,20.182428,374.81652,3
100,43,50,60.547284,20.182428,345.98448,3
99,22,50,273.90438,8.649612,798.647508,1
99,22,Pass,271.021176,8.649612,787.114692,1
99,22,Pass,268.137972,8.649612,772.698672,1
99,28,50,69.196896,23.065632,420.947784,3
5,32,Pass,5.749428,2.874714,5.732498,1
24,11,Pass,2.874714,5.749428,5.732498,1
25,47,Pass,2.874714,8.624142,8.598747,1
58,4,Pass,2.874714,40.245996,40.127486,1
60,4,Pass,2.874714,5.749428,5.732498,1
71,56,Pass,2.874714,14.37357,14.331245,1
95,43,Pass,2.874714,60.368994,60.191229,1

