[Wafer Information]
Wafer Number,7
Wafer ID,A21-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100047-001Q
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/08/2024 09:35
End Time,01/08/2024 09:38
Inspection Time,0:03:21
Photo Time,0:01:25
Data Output Time,01/08/2024 10:14

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
7,A21-Q335381-401,5518,5473,99.184487,45,66,50,14,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,30,50,273.90438,8.649612,804.413916,1
3,30,50,271.021176,8.649612,804.413916,1
3,30,50,268.137972,8.649612,798.647508,1
3,30,50,49.014468,8.649612,147.043404,1
3,30,50,57.66408,8.649612,172.99224,1
8,46,50,181.641852,8.649612,524.743128,1
9,30,50,69.196896,31.715244,472.845456,3
22,6,50,276.787584,8.649612,821.71314,1
22,6,50,164.342628,8.649612,487.261476,1
20,49,50,31.715244,8.649612,92.262528,1
20,49,50,123.977772,8.649612,371.933316,1
22,47,50,677.55294,8.649612,2018.2428,1
25,28,50,152.809812,8.649612,418.06458,1
26,46,50,43.24806,31.715244,337.334868,3
25,30,50,271.021176,8.649612,804.413916,1
30,48,50,273.90438,8.649612,723.684204,1
31,48,50,273.90438,8.649612,801.530712,1
31,48,50,273.90438,8.649612,784.231488,1
33,5,50,273.90438,8.649612,815.946732,1
33,5,50,37.481652,8.649612,109.561752,1
37,4,50,268.137972,8.649612,715.034592,1
37,4,50,51.897672,8.649612,155.693016,1
37,4,50,126.860976,8.649612,374.81652,1
39,4,50,57.66408,11.532816,172.99224,1
39,7,50,276.787584,8.649612,821.71314,1
39,7,50,126.860976,8.649612,374.81652,1
39,49,50,57.66408,11.532816,170.109036,1
39,29,50,40.364856,31.715244,314.269236,3
40,7,50,181.641852,8.649612,530.509536,1
43,31,50,40.364856,28.83204,276.787584,3
43,6,50,271.021176,8.649612,758.282652,1
46,34,50,37.481652,31.715244,282.553992,3
52,41,50,46.131264,20.182428,262.371564,3
53,5,50,57.66408,8.649612,155.693016,1
53,48,50,271.021176,8.649612,813.063528,1
53,48,50,271.021176,8.649612,813.063528,1
53,48,50,201.82428,8.649612,602.589636,1
53,48,50,268.137972,8.649612,798.647508,1
53,48,50,271.021176,8.649612,743.866632,1
53,48,50,57.66408,8.649612,147.043404,1
54,48,50,54.780876,8.649612,141.276996,1
54,5,50,161.459424,8.649612,484.378272,1
54,5,50,57.66408,8.649612,172.99224,1
59,4,50,83.612916,8.649612,230.65632,1
58,4,50,268.137972,8.649612,732.333816,1
62,49,50,271.021176,8.649612,738.100224,1
64,6,50,271.021176,8.649612,758.282652,1
65,6,50,271.021176,8.649612,715.034592,1
66,19,50,69.196896,28.83204,461.31264,3
73,29,50,276.787584,8.649612,818.829936,1
73,29,50,43.24806,8.649612,126.860976,1
72,62,50,17.299224,20.182428,86.49612,2
76,5,50,273.90438,8.649612,778.46508,1
76,5,50,271.021176,8.649612,804.413916,1
76,5,50,271.021176,8.649612,726.567408,1
78,9,50,46.131264,25.948836,299.853216,3
78,9,50,57.66408,8.649612,164.342628,1
80,25,50,43.24806,28.83204,305.619624,3
79,25,50,49.014468,20.182428,265.254768,3
84,49,50,273.90438,8.649612,810.180324,1
90,28,50,539.159148,8.649612,1600.17822,1
90,50,50,54.780876,11.532816,167.225832,1
97,37,50,57.66408,28.83204,383.466132,3
56,10,50,63.243708,14.37357,137.579952,3
73,21,50,66.118422,25.872426,435.669848,3
87,24,50,48.870138,28.74714,292.357398,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
7,A21-Q335381-401,5518,5503,99.728162,15,16,12,3,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,30,Pass,273.90438,8.649612,804.413916,1
3,30,Pass,271.021176,8.649612,804.413916,1
3,30,Pass,268.137972,8.649612,798.647508,1
3,30,Pass,49.014468,8.649612,147.043404,1
3,30,Pass,57.66408,8.649612,172.99224,1
8,46,Pass,181.641852,8.649612,524.743128,1
9,30,50,69.196896,31.715244,472.845456,3
22,6,Pass,276.787584,8.649612,821.71314,1
