[Wafer Information]
Wafer Number,17
Wafer ID,A27-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100050-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/10/2024 12:03
End Time,01/10/2024 12:07
Inspection Time,0:03:21
Photo Time,0:03:31
Data Output Time,01/10/2024 01:13

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others
17,A27-Q335381-401,5518,5477,99.256977,41,51,22,29

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,27,50,86.49612,20.182428,507.443904,3
9,30,50,43.24806,20.182428,256.605156,3
16,33,50,273.90438,8.649612,815.946732,1
21,49,50,51.897672,23.065632,302.73642,3
25,32,50,57.66408,8.649612,149.926608,1
26,56,50,83.612916,8.649612,239.305932,1
32,24,50,60.547284,8.649612,152.809812,1
34,63,50,89.379324,25.948836,553.575168,3
36,54,50,273.90438,8.649612,815.946732,1
36,54,50,63.430488,8.649612,187.40826,1
37,19,50,51.897672,25.948836,363.283704,3
39,13,50,57.66408,20.182428,331.56846,3
39,34,50,46.131264,23.065632,285.437196,3
42,53,50,660.253716,8.649612,1807.768908,1
47,12,50,273.90438,8.649612,801.530712,1
47,12,50,271.021176,8.649612,807.29712,1
47,12,50,271.021176,8.649612,807.29712,1
48,41,50,54.780876,23.065632,354.634092,3
46,28,50,89.379324,25.948836,567.991188,3
49,65,50,43.24806,20.182428,250.838748,3
54,62,50,43.24806,17.299224,236.422728,3
54,17,50,51.897672,25.948836,328.685256,3
59,42,50,43.24806,23.065632,262.371564,3
67,52,50,57.66408,25.948836,426.714192,3
67,24,50,80.729712,8.649612,230.65632,1
67,38,50,100.91214,25.948836,648.7209,3
68,42,50,31.715244,43.24806,400.765356,3
68,12,50,210.473892,8.649612,565.107984,1
70,11,50,57.66408,8.649612,167.225832,1
70,56,50,273.90438,8.649612,813.063528,1
70,56,50,54.780876,8.649612,144.1602,1
70,55,50,273.90438,8.649612,795.764304,1
70,55,50,271.021176,8.649612,764.04906,1
70,55,50,268.137972,8.649612,743.866632,1
71,60,50,49.014468,20.182428,271.021176,3
78,38,50,51.897672,20.182428,285.437196,3
76,60,50,46.131264,17.299224,242.189136,3
84,34,50,273.90438,8.649612,723.684204,1
90,56,50,273.90438,8.649612,815.946732,1
90,56,50,271.021176,8.649612,807.29712,1
90,56,50,250.838748,8.649612,749.63304,1
91,21,50,46.131264,23.065632,294.086808,3
97,19,50,43.24806,23.065632,250.838748,3
100,26,50,8.649612,20.182428,49.014468,1
8,22,50,77.617278,63.243708,822.613463,3
