[Wafer Information]
Wafer Number,5
Wafer ID,A44-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100053-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/08/2024 08:03
End Time,01/08/2024 08:06
Inspection Time,0:03:20
Photo Time,0:00:00
Data Output Time,01/08/2024 10:00

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F07 Incoming microlens periphery peeling,F29 Silicon powder
5,A44-Q335381-401,2612,2603,99.655436,9,11,2,7,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,26,50,23.065632,23.065632,115.32816,2
8,17,50,17.299224,20.182428,77.846508,2
20,18,50,268.137972,8.649612,700.618572,1
20,18,50,57.66408,8.649612,172.99224,1
64,32,50,46.131264,28.83204,337.334868,3
67,17,50,273.90438,8.649612,804.413916,1
81,29,50,271.021176,8.649612,743.866632,1
90,17,50,273.90438,8.649612,810.180324,1
90,17,50,161.459424,8.649612,478.611864,1
98,31,50,51.897672,34.598448,420.947784,3
101,29,50,57.66408,8.649612,152.809812,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F07 Incoming microlens periphery peeling,F29 Silicon powder
5,A44-Q335381-401,2612,2607,99.808576,5,5,2,1,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,26,50,23.065632,23.065632,115.32816,2
8,17,50,17.299224,20.182428,77.846508,2
20,18,Pass,268.137972,8.649612,700.618572,1
20,18,50,57.66408,8.649612,172.99224,1
64,32,50,46.131264,28.83204,337.334868,3
67,17,Pass,273.90438,8.649612,804.413916,1
81,29,Pass,271.021176,8.649612,743.866632,1
90,17,Pass,273.90438,8.649612,810.180324,1
90,17,Pass,161.459424,8.649612,478.611864,1
98,31,50,51.897672,34.598448,420.947784,3
101,29,Pass,57.66408,8.649612,152.809812,1

