[Wafer Information]
Wafer Number,15
Wafer ID,A17-Q335730-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100074-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/08/2024 02:58
End Time,01/08/2024 03:02
Inspection Time,0:03:22
Photo Time,0:03:26
Data Output Time,01/08/2024 03:08

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others
15,A17-Q335730-401,5518,5486,99.42008,32,49,40,7,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,31,50,17.299224,8.649612,49.014468,1
6,31,50,271.021176,8.649612,784.231488,1
16,30,50,271.021176,8.649612,810.180324,1
16,30,50,95.145732,8.649612,282.553992,1
19,52,50,273.90438,8.649612,815.946732,1
19,52,50,273.90438,8.649612,810.180324,1
19,52,50,224.889912,8.649612,668.903328,1
24,14,50,54.780876,20.182428,320.035644,3
37,30,50,98.028936,8.649612,291.203604,1
37,30,50,40.364856,8.649612,109.561752,1
37,5,50,17.299224,8.649612,49.014468,1
37,5,50,34.598448,8.649612,92.262528,1
37,6,50,123.977772,8.649612,360.4005,1
39,6,50,43.24806,8.649612,118.211364,1
42,52,50,51.897672,11.532816,155.693016,1
40,52,50,247.955544,8.649612,740.983428,1
40,52,50,273.90438,8.649612,810.180324,1
40,52,50,126.860976,8.649612,354.634092,1
42,53,50,25.948836,8.649612,74.963304,1
43,19,50,49.014468,20.182428,291.203604,3
50,42,50,54.780876,8.649612,155.693016,1
50,31,50,271.021176,8.649612,738.100224,1
51,31,50,54.780876,8.649612,138.393792,1
53,4,50,271.021176,8.649612,758.282652,1
53,4,50,273.90438,8.649612,752.516244,1
59,5,50,60.547284,8.649612,178.758648,1
60,5,50,271.021176,8.649612,752.516244,1
61,33,50,63.430488,8.649612,172.99224,1
64,52,50,273.90438,8.649612,729.450612,1
64,52,50,271.021176,8.649612,749.63304,1
64,52,50,271.021176,8.649612,752.516244,1
71,31,50,123.977772,11.532816,366.166908,1
71,31,50,135.510588,8.649612,400.765356,1
74,9,50,89.379324,25.948836,674.669736,3
81,49,50,17.299224,20.182428,86.49612,2
87,52,50,273.90438,8.649612,813.063528,1
87,52,50,273.90438,8.649612,815.946732,1
87,52,50,51.897672,8.649612,155.693016,1
87,53,50,273.90438,8.649612,818.829936,1
87,53,50,294.086808,8.649612,836.12916,1
87,53,50,46.131264,8.649612,135.510588,1
86,23,50,20.182428,20.182428,83.612916,2
95,31,50,89.379324,8.649612,247.955544,1
97,36,50,54.780876,25.948836,331.56846,3
12,42,50,66.118422,43.12071,515.92482,3
31,37,50,31.621854,71.86785,329.618635,3
35,27,50,48.870138,48.870138,432.803599,3
51,17,50,8.624142,2.874714,8.598747,1
51,17,50,5.749428,2.874714,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others
15,A17-Q335730-401,5518,5508,99.818775,10,10,4,2,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,31,Pass,17.299224,8.649612,49.014468,1
6,31,Pass,271.021176,8.649612,784.231488,1
16,30,Pass,271.021176,8.649612,810.180324,1
16,30,Pass,95.145732,8.649612,282.553992,1
19,52,Pass,273.90438,8.649612,815.946732,1
19,52,Pass,273.90438,8.649612,810.180324,1
19,52,Pass,224.889912,8.649612,668.903328,1
24,14,50,54.780876,20.182428,320.035644,3
37,30,Pass,98.028936,8.649612,291.203604,1
37,30,Pass,40.364856,8.649612,109.561752,1
37,5,Pass,17.299224,8.649612,49.014468,1
37,5,Pass,34.598448,8.649612,92.262528,1
37,6,Pass,123.977772,8.649612,360.4005,1
39,6,Pass,43.24806,8.649612,118.211364,1
42,52,Pass,51.897672,11.532816,155.693016,1
40,52,Pass,247.955544,8.649612,740.983428,1
40,52,Pass,273.90438,8.649612,810.180324,1
40,52,Pass,126.860976,8.649612,354.634092,1
42,53,Pass,25.948836,8.649612,74.963304,1
43,19,50,49.014468,20.182428,291.203604,3
50,42,Pass,54.780876,8.649612,155.693016,1
50,31,Pass,271.021176,8.649612,738.100224,1
51,31,Pass,54.780876,8.649612,138.393792,1
53,4,Pass,271.021176,8.649612,758.282652,1
53,4,Pass,273.90438,8.649612,752.516244,1
59,5,Pass,60.547284,8.649612,178.758648,1
60,5,Pass,271.021176,8.649612,752.516244,1
61,33,50,63.430488,8.649612,172.99224,1
64,52,Pass,273.90438,8.649612,729.450612,1
64,52,Pass,271.021176,8.649612,749.63304,1
64,52,Pass,271.021176,8.649612,752.516244,1
71,31,Pass,123.977772,11.532816,366.166908,1
71,31,Pass,135.510588,8.649612,400.765356,1
74,9,50,89.379324,25.948836,674.669736,3
81,49,50,17.299224,20.182428,86.49612,2
87,52,Pass,273.90438,8.649612,813.063528,1
87,52,Pass,273.90438,8.649612,815.946732,1
87,52,Pass,51.897672,8.649612,155.693016,1
87,53,Pass,273.90438,8.649612,818.829936,1
