[Wafer Information]
Wafer Number,21
Wafer ID,A80-Q335730-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100092-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 01:51
End Time,01/19/2024 01:54
Inspection Time,0:03:22
Photo Time,0:05:02
Data Output Time,01/19/2024 02:33

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F82 Top side chipping no damage sensor area
21,A80-Q335730-401,5518,5477,99.256977,41,71,41,30

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,20,50,273.90438,8.649612,818.829936,1
5,20,50,273.90438,8.649612,810.180324,1
22,42,50,37.481652,31.715244,288.3204,3
25,21,50,14.41602,14.41602,51.897672,1
25,21,50,138.393792,8.649612,412.298172,1
26,21,50,271.021176,8.649612,810.180324,1
26,21,50,271.021176,8.649612,778.46508,1
26,21,50,103.795344,8.649612,271.021176,1
46,20,50,273.90438,8.649612,732.333816,1
47,42,50,271.021176,8.649612,801.530712,1
47,42,50,271.021176,8.649612,798.647508,1
49,52,50,66.313692,8.649612,170.109036,1
47,66,50,276.787584,8.649612,769.815468,1
47,66,50,271.021176,8.649612,784.231488,1
50,41,50,273.90438,8.649612,813.063528,1
51,65,50,40.364856,8.649612,106.678548,1
56,63,50,259.48836,8.649612,769.815468,1
53,65,50,273.90438,8.649612,743.866632,1
56,64,50,253.721952,8.649612,689.085756,1
63,52,50,54.780876,28.83204,397.882152,3
63,51,50,135.510588,135.510588,3240.721296,1
63,51,50,23.065632,25.948836,141.276996,1
63,51,50,86.24142,120.737988,816.880965,1
63,51,50,140.860986,146.610414,2442.044148,1
67,54,50,80.729712,8.649612,216.2403,1
68,66,50,273.90438,8.649612,749.63304,1
68,66,50,273.90438,8.649612,778.46508,1
68,66,50,271.021176,8.649612,781.348284,1
68,66,50,37.481652,8.649612,112.444956,1
68,66,50,20.182428,8.649612,54.780876,1
67,20,50,273.90438,8.649612,815.946732,1
67,20,50,129.74418,8.649612,386.349336,1
70,41,50,273.90438,8.649612,781.348284,1
71,23,50,49.014468,20.182428,282.553992,3
71,41,50,256.605156,8.649612,729.450612,1
76,18,50,253.721952,11.532816,755.399448,1
74,19,50,66.313692,28.83204,446.89662,3
83,44,50,54.780876,8.649612,138.393792,1
88,20,50,123.977772,8.649612,366.166908,1
90,42,50,273.90438,8.649612,818.829936,1
88,19,50,25.948836,8.649612,74.963304,1
91,41,50,271.021176,8.649612,810.180324,1
91,41,50,271.021176,8.649612,749.63304,1
91,42,50,273.90438,8.649612,749.63304,1
1,38,50,8.624142,54.619566,143.31245,3
1,38,50,8.624142,83.366706,177.707438,3
1,38,50,11.498856,68.993136,174.841189,3
1,38,50,8.624142,51.744852,120.382458,3
1,39,50,8.624142,63.243708,154.777446,3
15,37,50,11.498856,114.98856,260.828659,3
15,40,50,11.498856,54.619566,143.31245,3
19,7,50,37.371282,333.466824,963.059664,3
19,7,50,22.997712,330.59211,877.072194,3
20,7,50,8.624142,54.619566,120.382458,3
20,7,50,8.624142,51.744852,137.579952,3
29,33,50,8.624142,91.990848,189.172434,3
45,12,50,8.624142,229.97712,507.326073,3
45,12,50,11.498856,97.740276,249.363663,3
45,12,50,34.496568,57.49428,177.707438,3
46,12,50,28.74714,330.59211,905.734684,3
46,12,50,8.624142,97.740276,209.236177,3
46,12,50,17.248284,83.366706,214.968675,3
46,12,50,14.37357,330.59211,710.829752,3
46,12,50,11.498856,86.24142,223.567422,3
46,12,50,11.498856,244.35069,556.052306,3
46,12,50,22.997712,192.605838,472.931085,3
46,12,50,22.997712,330.59211,848.409704,3
46,12,50,11.498856,89.116134,214.968675,3
74,48,50,22.997712,48.870138,229.29992,3
75,48,50,14.37357,60.368994,157.643695,3
37,24,50,2.874714,66.118422,65.923727,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F82 Top side chipping no damage sensor area
21,A80-Q335730-401,5518,5511,99.873142,7,10,4,2,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,20,Pass,273.90438,8.649612,818.829936,1
5,20,Pass,273.90438,8.649612,810.180324,1
22,42,50,37.481652,31.715244,288.3204,3
25,21,Pass,14.41602,14.41602,51.897672,1
25,21,Pass,138.393792,8.649612,412.298172,1
26,21,Pass,271.021176,8.649612,810.180324,1
26,21,Pass,271.021176,8.649612,778.46508,1
26,21,50,103.795344,8.649612,271.021176,1
46,20,Pass,273.90438,8.649612,732.333816,1
47,42,Pass,271.021176,8.649612,801.530712,1
47,42,Pass,271.021176,8.649612,798.647508,1
49,52,Pass,66.313692,8.649612,170.109036,1
47,66,Pass,276.787584,8.649612,769.815468,1
47,66,Pass,271.021176,8.649612,784.231488,1
50,41,Pass,273.90438,8.649612,813.063528,1
51,65,Pass,40.364856,8.649612,106.678548,1
56,63,Pass,259.48836,8.649612,769.815468,1
53,65,Pass,273.90438,8.649612,743.866632,1
56,64,Pass,253.721952,8.649612,689.085756,1
63,52,50,54.780876,28.83204,397.882152,3
63,51,50,135.510588,135.510588,3240.721296,1
63,51,50,23.065632,25.948836,141.276996,1
63,51,50,86.24142,120.737988,816.880965,1
63,51,50,140.860986,146.610414,2442.044148,1
67,54,Pass,80.729712,8.649612,216.2403,1
68,66,Pass,273.90438,8.649612,749.63304,1
68,66,Pass,273.90438,8.649612,778.46508,1
68,66,Pass,271.021176,8.649612,781.348284,1
68,66,Pass,37.481652,8.649612,112.444956,1
68,66,Pass,20.182428,8.649612,54.780876,1
67,20,Pass,273.90438,8.649612,815.946732,1
67,20,Pass,129.74418,8.649612,386.349336,1
70,41,Pass,273.90438,8.649612,781.348284,1
71,23,50,49.014468,20.182428,282.553992,3
71,41,Pass,256.605156,8.649612,729.450612,1
76,18,Pass,253.721952,11.532816,755.399448,1
74,19,50,66.313692,28.83204,446.89662,3
