[Wafer Information]
Wafer Number,7
Wafer ID,A87-Q335730-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100092-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 03:03
End Time,01/19/2024 03:06
Inspection Time,0:03:22
Photo Time,0:04:59
Data Output Time,01/19/2024 04:20

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F06 Incoming others
7,A87-Q335730-401,5518,5480,99.311345,38,64,31,2,29,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,37,50,49.014468,31.715244,397.882152,3
2,31,50,17.299224,23.065632,98.028936,2
5,48,50,271.021176,8.649612,717.917796,1
5,34,50,60.547284,23.065632,389.23254,3
13,17,50,25.948836,8.649612,74.963304,1
26,49,50,271.021176,8.649612,804.413916,1
30,6,50,60.547284,8.649612,158.57622,1
30,6,50,123.977772,8.649612,322.918848,1
33,28,50,271.021176,8.649612,764.04906,1
33,28,50,271.021176,8.649612,717.917796,1
32,29,50,271.021176,8.649612,611.239248,1
36,4,50,69.196896,46.131264,775.581876,3
36,4,50,22.997712,60.368994,312.421141,3
36,4,50,77.617278,71.86785,1347.13703,3
38,25,50,60.547284,23.065632,377.699724,3
40,57,50,49.014468,28.83204,328.685256,3
40,0,50,271.021176,8.649612,807.29712,1
40,0,50,57.66408,8.649612,158.57622,1
40,4,50,49.014468,20.182428,288.3204,3
43,27,50,268.137972,8.649612,749.63304,1
47,9,50,11.532816,11.532816,40.364856,1
48,46,50,14.41602,20.182428,77.846508,2
54,28,50,57.66408,11.532816,172.99224,1
54,28,50,109.561752,8.649612,322.918848,1
57,1,50,273.90438,8.649612,801.530712,1
57,1,50,57.66408,8.649612,155.693016,1
56,1,50,268.137972,8.649612,715.034592,1
69,5,50,40.364856,8.649612,106.678548,1
70,49,50,57.66408,11.532816,164.342628,1
74,28,50,178.758648,8.649612,504.5607,1
76,28,50,54.780876,11.532816,152.809812,1
77,9,50,63.430488,25.948836,409.414968,3
81,17,50,86.49612,8.649612,216.2403,1
96,28,50,271.021176,8.649612,787.114692,1
96,24,50,43.24806,20.182428,262.371564,3
2,38,50,8.624142,51.744852,108.917462,3
2,37,50,31.621854,74.742564,223.567422,3
7,39,50,28.74714,57.49428,252.229912,3
12,40,50,28.74714,94.865562,269.427406,3
12,40,50,11.498856,106.364418,272.293655,3
12,40,50,11.498856,175.357554,478.663583,3
12,40,50,11.498856,74.742564,180.573687,3
12,40,50,11.498856,132.236844,355.414876,3
12,40,50,17.248284,60.368994,143.31245,3
26,44,50,17.248284,175.357554,389.809864,3
26,44,50,17.248284,120.737988,318.153639,3
26,44,50,8.624142,252.974832,627.708531,3
26,44,50,11.498856,158.10927,346.816129,3
26,44,50,8.624142,273.09783,630.57478,3
26,44,50,8.624142,140.860986,369.746121,3
26,44,50,11.498856,146.610414,341.083631,3
26,44,50,11.498856,97.740276,203.503679,3
26,44,50,8.624142,63.243708,157.643695,3
43,21,50,8.624142,57.49428,128.981205,3
43,21,50,8.624142,54.619566,126.114956,3
60,57,50,8.624142,74.742564,180.573687,3
60,57,50,17.248284,54.619566,169.108691,3
60,57,50,8.624142,68.993136,151.911197,3
27,5,50,28.74714,14.37357,108.917462,1
29,18,50,8.624142,2.874714,8.598747,1
65,23,50,2.874714,74.742564,74.522474,1
65,23,50,2.874714,5.749428,5.732498,1
65,23,50,2.874714,5.749428,5.732498,1
65,23,50,2.874714,8.624142,8.598747,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F06 Incoming others
7,A87-Q335730-401,5518,5508,99.818775,10,12,9,2,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,37,50,49.014468,31.715244,397.882152,3
2,31,Pass,17.299224,23.065632,98.028936,2
5,48,Pass,271.021176,8.649612,717.917796,1
5,34,50,60.547284,23.065632,389.23254,3
13,17,Pass,25.948836,8.649612,74.963304,1
26,49,Pass,271.021176,8.649612,804.413916,1
30,6,Pass,60.547284,8.649612,158.57622,1
