[Wafer Information]
Wafer Number,25
Wafer ID,A23Q335381401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100101-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 07:29
End Time,01/09/2024 07:32
Inspection Time,0:03:21
Photo Time,0:03:01
Data Output Time,01/09/2024 11:21

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
25,A23Q335381401,5518,5474,99.20261,44,54,28,22,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,28,50,49.014468,20.182428,294.086808,3
9,50,50,54.780876,25.948836,389.23254,3
12,45,50,161.459424,8.649612,467.079048,1
20,25,50,49.014468,20.182428,285.437196,3
22,31,50,49.014468,20.182428,288.3204,3
26,38,50,77.846508,25.948836,550.691964,3
32,34,50,63.430488,23.065632,423.830988,3
36,44,50,273.90438,8.649612,815.946732,1
36,44,50,273.90438,8.649612,804.413916,1
36,44,50,273.90438,8.649612,807.29712,1
34,9,50,43.24806,20.182428,239.305932,3
37,14,50,46.131264,20.182428,271.021176,3
37,34,50,57.66408,23.065632,371.933316,3
39,36,50,11.532816,8.649612,34.598448,1
39,36,50,11.532816,8.649612,34.598448,1
43,36,50,43.24806,25.948836,291.203604,3
43,50,50,63.430488,23.065632,360.4005,3
47,22,50,17.299224,20.182428,92.262528,2
47,18,50,51.897672,23.065632,305.619624,3
50,46,50,152.809812,8.649612,449.779824,1
50,46,50,273.90438,8.649612,804.413916,1
50,46,50,123.977772,11.532816,334.451664,1
51,41,50,49.014468,23.065632,288.3204,3
54,55,50,14.41602,20.182428,74.963304,2
54,17,50,46.131264,20.182428,273.90438,3
59,44,50,57.66408,8.649612,155.693016,1
61,27,50,66.313692,23.065632,389.23254,3
62,47,50,66.313692,23.065632,397.882152,3
63,52,50,54.780876,23.065632,334.451664,3
63,24,50,17.299224,20.182428,100.91214,2
64,33,50,547.80876,11.532816,1556.93016,1
70,27,50,273.90438,8.649612,815.946732,1
70,27,50,271.021176,8.649612,813.063528,1
70,47,50,66.313692,23.065632,389.23254,3
71,47,50,69.196896,23.065632,406.531764,3
71,34,50,49.014468,20.182428,285.437196,3
74,64,50,14.41602,23.065632,74.963304,2
73,26,50,49.014468,20.182428,279.670788,3
74,11,50,80.729712,8.649612,230.65632,1
76,41,50,43.24806,23.065632,282.553992,3
77,56,50,72.0801,23.065632,452.663028,3
80,44,50,273.90438,8.649612,810.180324,1
80,44,50,271.021176,8.649612,769.815468,1
82,58,50,57.66408,23.065632,348.867684,3
87,12,50,43.24806,8.649612,118.211364,1
93,39,50,46.131264,17.299224,253.721952,3
93,31,50,40.364856,23.065632,279.670788,3
98,43,50,74.963304,25.948836,513.210312,3
99,44,50,43.24806,28.83204,320.035644,3
101,43,50,276.787584,8.649612,818.829936,1
101,43,50,273.90438,8.649612,815.946732,1
101,43,50,273.90438,8.649612,813.063528,1
101,43,50,74.963304,8.649612,224.889912,1
19,9,50,5.749428,2.874714,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
25,A23Q335381401,5518,5487,99.438202,31,31,28,2,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,28,50,49.014468,20.182428,294.086808,3
9,50,50,54.780876,25.948836,389.23254,3
12,45,Pass,161.459424,8.649612,467.079048,1
20,25,50,49.014468,20.182428,285.437196,3
22,31,50,49.014468,20.182428,288.3204,3
26,38,50,77.846508,25.948836,550.691964,3
32,34,50,63.430488,23.065632,423.830988,3
36,44,Pass,273.90438,8.649612,815.946732,1
36,44,Pass,273.90438,8.649612,804.413916,1
36,44,Pass,273.90438,8.649612,807.29712,1
34,9,50,43.24806,20.182428,239.305932,3
37,14,50,46.131264,20.182428,271.021176,3
37,34,50,57.66408,23.065632,371.933316,3
39,36,Pass,11.532816,8.649612,34.598448,1
39,36,Pass,11.532816,8.649612,34.598448,1
43,36,50,43.24806,25.948836,291.203604,3
43,50,50,63.430488,23.065632,360.4005,3
47,22,50,17.299224,20.182428,92.262528,2
47,18,50,51.897672,23.065632,305.619624,3
50,46,Pass,152.809812,8.649612,449.779824,1
50,46,Pass,273.90438,8.649612,804.413916,1
50,46,Pass,123.977772,11.532816,334.451664,1
51,41,50,49.014468,23.065632,288.3204,3
54,55,Pass,14.41602,20.182428,74.963304,2
54,17,50,46.131264,20.182428,273.90438,3
59,44,Pass,57.66408,8.649612,155.693016,1
61,27,50,66.313692,23.065632,389.23254,3
62,47,50,66.313692,23.065632,397.882152,3
63,52,50,54.780876,23.065632,334.451664,3
63,24,50,17.299224,20.182428,100.91214,2
64,33,Pass,547.80876,11.532816,1556.93016,1
70,27,Pass,273.90438,8.649612,815.946732,1
70,27,Pass,271.021176,8.649612,813.063528,1
70,47,50,66.313692,23.065632,389.23254,3
71,47,50,69.196896,23.065632,406.531764,3
71,34,50,49.014468,20.182428,285.437196,3
74,64,Pass,14.41602,23.065632,74.963304,2
73,26,50,49.014468,20.182428,279.670788,3
74,11,Pass,80.729712,8.649612,230.65632,1
76,41,50,43.24806,23.065632,282.553992,3
77,56,50,72.0801,23.065632,452.663028,3
80,44,Pass,273.90438,8.649612,810.180324,1
80,44,Pass,271.021176,8.649612,769.815468,1
82,58,50,57.66408,23.065632,348.867684,3
87,12,Pass,43.24806,8.649612,118.211364,1
93,39,50,46.131264,17.299224,253.721952,3
93,31,50,40.364856,23.065632,279.670788,3
98,43,50,74.963304,25.948836,513.210312,3
99,44,50,43.24806,28.83204,320.035644,3
101,43,Pass,276.787584,8.649612,818.829936,1
101,43,Pass,273.90438,8.649612,815.946732,1
101,43,Pass,273.90438,8.649612,813.063528,1
101,43,Pass,74.963304,8.649612,224.889912,1
19,9,50,5.749428,2.874714,5.732498,1

