[Wafer Information]
Wafer Number,21
Wafer ID,A25-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100101-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 08:10
End Time,01/09/2024 08:13
Inspection Time,0:03:21
Photo Time,0:03:22
Data Output Time,01/09/2024 11:22

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others
21,A25-Q335381-401,5518,5488,99.456325,30,48,43,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
16,18,50,273.90438,8.649612,810.180324,1
16,18,50,271.021176,8.649612,807.29712,1
16,18,50,271.021176,8.649612,807.29712,1
20,36,50,31.715244,8.649612,92.262528,1
20,36,50,25.948836,8.649612,69.196896,1
23,62,50,57.66408,8.649612,149.926608,1
26,60,50,193.174668,8.649612,579.524004,1
26,60,50,271.021176,8.649612,810.180324,1
26,60,50,115.32816,8.649612,340.218072,1
30,25,50,49.014468,23.065632,285.437196,3
34,61,50,271.021176,8.649612,720.801,1
36,40,50,273.90438,8.649612,813.063528,1
36,40,50,271.021176,8.649612,810.180324,1
36,40,50,271.021176,8.649612,810.180324,1
36,41,50,273.90438,8.649612,738.100224,1
37,40,50,123.977772,8.649612,366.166908,1
39,18,50,57.66408,8.649612,161.459424,1
43,0,50,63.430488,28.83204,415.181376,3
44,4,50,57.66408,23.065632,331.56846,3
47,4,50,54.780876,23.065632,308.502828,3
50,65,50,112.444956,8.649612,279.670788,1
51,15,50,31.715244,8.649612,86.49612,1
56,40,50,276.787584,8.649612,821.71314,1
56,40,50,201.82428,8.649612,599.706432,1
56,40,50,268.137972,8.649612,732.333816,1
57,40,50,106.678548,8.649612,314.269236,1
57,40,50,273.90438,8.649612,813.063528,1
57,40,50,123.977772,8.649612,351.750888,1
58,5,50,80.729712,8.649612,207.590688,1
64,31,50,80.729712,8.649612,213.357096,1
76,61,50,276.787584,8.649612,815.946732,1
76,61,50,66.313692,8.649612,193.174668,1
78,40,50,273.90438,8.649612,766.932264,1
78,40,50,273.90438,8.649612,735.21702,1
78,40,50,271.021176,8.649612,743.866632,1
77,61,50,256.605156,8.649612,761.165856,1
77,61,50,271.021176,8.649612,766.932264,1
79,40,50,273.90438,8.649612,749.63304,1
81,18,50,273.90438,8.649612,813.063528,1
81,18,50,273.90438,8.649612,815.946732,1
81,18,50,273.90438,8.649612,813.063528,1
81,18,50,92.262528,8.649612,273.90438,1
101,40,50,271.021176,8.649612,784.231488,1
