[Wafer Information]
Wafer Number,11
Wafer ID,A41-Q333560-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100426-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 11:16
End Time,01/09/2024 11:19
Inspection Time,0:03:21
Photo Time,0:03:27
Data Output Time,01/09/2024 01:09

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
11,A41-Q333560-401,5518,5465,99.039507,53,61,30,31

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,26,50,66.313692,8.649612,184.525056,1
2,26,50,80.729712,8.649612,224.889912,1
2,36,50,273.90438,8.649612,755.399448,1
2,36,50,123.977772,11.532816,320.035644,1
8,35,50,54.780876,11.532816,161.459424,1
13,18,50,74.963304,34.598448,591.05682,3
13,56,50,54.780876,8.649612,158.57622,1
16,55,50,69.196896,8.649612,204.707484,1
17,55,50,57.66408,8.649612,170.109036,1
20,38,50,37.481652,34.598448,314.269236,3
24,14,50,43.24806,17.299224,245.07234,3
25,19,50,54.780876,23.065632,320.035644,3
26,8,50,40.364856,23.065632,245.07234,3
27,19,50,103.795344,23.065632,634.30488,3
29,13,50,46.131264,20.182428,262.371564,3
31,5,50,60.547284,23.065632,354.634092,3
32,27,50,49.014468,23.065632,285.437196,3
33,35,50,271.021176,8.649612,792.8811,1
33,17,50,268.137972,8.649612,749.63304,1
33,28,50,43.24806,23.065632,265.254768,3
33,6,50,31.715244,8.649612,83.612916,1
37,34,50,271.021176,8.649612,738.100224,1
37,34,50,155.693016,8.649612,467.079048,1
37,34,50,57.66408,11.532816,172.99224,1
36,56,50,271.021176,8.649612,743.866632,1
39,55,50,144.1602,8.649612,397.882152,1
40,33,50,89.379324,20.182428,518.97672,3
43,12,50,46.131264,20.182428,253.721952,3
45,42,50,66.313692,23.065632,441.130212,3
48,13,50,40.364856,23.065632,239.305932,3
48,7,50,46.131264,23.065632,285.437196,3
51,26,50,54.780876,23.065632,345.98448,3
53,33,50,1159.048008,8.649612,3171.5244,1
56,56,50,40.364856,8.649612,112.444956,1
57,56,50,262.371564,8.649612,775.581876,1
58,59,50,25.948836,8.649612,72.0801,1
59,8,50,54.780876,20.182428,328.685256,3
63,63,50,57.66408,23.065632,363.283704,3
65,63,50,43.24806,34.598448,366.166908,3
63,44,50,60.547284,23.065632,371.933316,3
66,3,50,43.24806,23.065632,259.48836,3
68,63,50,51.897672,23.065632,317.15244,3
72,42,50,63.430488,23.065632,403.64856,3
71,16,50,57.66408,8.649612,172.99224,1
77,33,50,271.021176,8.649612,804.413916,1
81,55,50,273.90438,8.649612,818.829936,1
81,55,50,103.795344,8.649612,308.502828,1
85,52,50,54.780876,23.065632,334.451664,3
87,34,50,54.780876,11.532816,158.57622,1
91,51,50,54.780876,25.948836,343.101276,3
98,35,50,37.481652,8.649612,100.91214,1
