[Wafer Information]
Wafer Number,7
Wafer ID,A43-Q333560-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100426-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 11:33
End Time,01/09/2024 11:37
Inspection Time,0:03:22
Photo Time,0:03:24
Data Output Time,01/09/2024 01:11

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder
7,A43-Q333560-401,5518,5478,99.2751,40,64,55,9

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,31,50,271.021176,8.649612,769.815468,1
6,31,50,37.481652,8.649612,92.262528,1
12,23,50,80.729712,8.649612,236.422728,1
12,23,50,80.729712,8.649612,239.305932,1
13,51,50,37.481652,8.649612,106.678548,1
13,52,50,20.182428,8.649612,57.66408,1
13,52,50,276.787584,8.649612,813.063528,1
13,52,50,123.977772,11.532816,371.933316,1
15,26,50,80.729712,40.364856,550.691964,3
13,23,50,80.729712,8.649612,210.473892,1
16,30,50,273.90438,8.649612,818.829936,1
16,30,50,273.90438,8.649612,818.829936,1
16,30,50,273.90438,8.649612,815.946732,1
16,30,50,72.0801,8.649612,193.174668,1
17,30,50,271.021176,8.649612,772.698672,1
22,50,50,276.787584,8.649612,818.829936,1
22,50,50,25.948836,8.649612,77.846508,1
22,50,50,271.021176,8.649612,717.917796,1
22,50,50,271.021176,8.649612,723.684204,1
22,61,50,57.66408,28.83204,371.933316,3
26,6,50,271.021176,8.649612,801.530712,1
27,53,50,123.977772,8.649612,325.802052,1
29,8,50,271.021176,8.649612,778.46508,1
32,60,50,80.729712,8.649612,213.357096,1
36,52,50,271.021176,8.649612,778.46508,1
36,52,50,123.977772,11.532816,345.98448,1
39,51,50,273.90438,8.649612,815.946732,1
40,51,50,271.021176,8.649612,801.530712,1
40,58,50,8.649612,126.860976,369.050112,1
47,31,50,273.90438,8.649612,764.04906,1
48,59,50,40.364856,25.948836,273.90438,3
51,63,50,51.897672,25.948836,328.685256,3
54,7,50,57.66408,8.649612,172.99224,1
57,52,50,126.860976,11.532816,371.933316,1
57,52,50,271.021176,8.649612,810.180324,1
57,52,50,271.021176,8.649612,810.180324,1
64,51,50,273.90438,8.649612,792.8811,1
64,51,50,271.021176,8.649612,804.413916,1
64,51,50,268.137972,8.649612,801.530712,1
64,51,50,271.021176,8.649612,810.180324,1
65,51,50,268.137972,8.649612,743.866632,1
70,31,50,273.90438,8.649612,818.829936,1
70,31,50,273.90438,8.649612,815.946732,1
70,31,50,193.174668,8.649612,576.6408,1
69,37,50,40.364856,25.948836,256.605156,3
73,8,50,271.021176,8.649612,712.151388,1
73,32,50,271.021176,8.649612,758.282652,1
76,7,50,271.021176,8.649612,798.647508,1
77,9,50,236.422728,8.649612,628.538472,1
81,41,50,80.729712,8.649612,224.889912,1
81,52,50,273.90438,8.649612,775.581876,1
81,52,50,271.021176,8.649612,801.530712,1
81,52,50,271.021176,8.649612,801.530712,1
81,52,50,271.021176,8.649612,789.997896,1
88,51,50,245.07234,8.649612,729.450612,1
88,51,50,123.977772,8.649612,360.4005,1
91,31,50,271.021176,8.649612,798.647508,1
