[Wafer Information]
Wafer Number,23
Wafer ID,A104-Q334778-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100465-010
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/14/2024 10:44
End Time,01/14/2024 10:48
Inspection Time,0:03:21
Photo Time,0:03:11
Data Output Time,01/15/2024 12:07

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F82 Top side chipping no damage sensor area
23,A104-Q334778-401,585,577,98.632479,8,11,1,10

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
35,10,50,8.624142,51.744852,120.382458,3
29,5,50,51.744852,14.37357,203.503679,1
40,8,50,22.997712,14.37357,71.656225,1
40,8,50,40.245996,14.37357,94.586217,1
48,1,50,43.12071,17.248284,212.102426,1
48,1,50,5.749428,2.874714,5.732498,1
50,10,50,63.243708,14.37357,278.026153,1
55,4,50,5.749428,2.874714,5.732498,1
66,3,50,63.243708,17.248284,323.886137,1
73,4,50,14.37357,14.37357,60.191229,1
73,4,50,2.874714,5.749428,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F82 Top side chipping no damage sensor area
23,A104-Q334778-401,585,578,98.803419,7,10,10

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
35,10,Pass,8.624142,51.744852,120.382458,3
29,5,50,51.744852,14.37357,203.503679,1
40,8,50,22.997712,14.37357,71.656225,1
40,8,50,40.245996,14.37357,94.586217,1
48,1,50,43.12071,17.248284,212.102426,1
48,1,50,5.749428,2.874714,5.732498,1
50,10,50,63.243708,14.37357,278.026153,1
55,4,50,5.749428,2.874714,5.732498,1
66,3,50,63.243708,17.248284,323.886137,1
73,4,50,14.37357,14.37357,60.191229,1
73,4,50,2.874714,5.749428,5.732498,1

