[Wafer Information]
Wafer Number,11
Wafer ID,A51-Q328395-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100569-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 07:51
End Time,01/20/2024 07:54
Inspection Time,0:03:22
Photo Time,0:05:34
Data Output Time,01/20/2024 09:17

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
11,A51-Q328395-402,5518,5450,98.767669,68,101,67,34

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,35,50,66.313692,8.649612,196.057872,1
3,35,50,57.66408,8.649612,172.99224,1
4,28,50,43.24806,23.065632,322.918848,3
6,31,50,34.598448,43.24806,348.867684,3
13,48,50,43.24806,20.182428,250.838748,3
20,58,50,273.90438,8.649612,813.063528,1
20,58,50,273.90438,8.649612,813.063528,1
20,58,50,271.021176,8.649612,807.29712,1
20,58,50,268.137972,8.649612,781.348284,1
20,58,50,57.66408,11.532816,178.758648,1
20,58,50,74.963304,8.649612,224.889912,1
20,40,50,51.897672,23.065632,343.101276,3
20,15,50,271.021176,8.649612,723.684204,1
20,15,50,123.977772,11.532816,374.81652,1
20,15,50,51.897672,8.649612,152.809812,1
21,58,50,34.598448,8.649612,89.379324,1
20,14,50,121.094568,8.649612,363.283704,1
20,14,50,37.481652,8.649612,112.444956,1
22,57,50,700.618572,8.649612,2081.673288,1
21,44,50,43.24806,20.182428,245.07234,3
23,35,50,155.693016,8.649612,464.195844,1
23,35,50,271.021176,8.649612,766.932264,1
23,35,50,106.678548,8.649612,276.787584,1
25,35,50,54.780876,8.649612,161.459424,1
26,26,50,34.598448,34.598448,302.73642,3
27,38,50,43.24806,20.182428,247.955544,3
29,40,50,80.729712,23.065632,527.626332,3
30,40,50,46.131264,20.182428,282.553992,3
30,42,50,49.014468,20.182428,271.021176,3
34,59,50,271.021176,8.649612,723.684204,1
33,59,50,271.021176,8.649612,789.997896,1
33,59,50,268.137972,8.649612,795.764304,1
37,65,50,46.131264,20.182428,265.254768,3
39,15,50,271.021176,8.649612,784.231488,1
42,58,50,20.182428,8.649612,54.780876,1
42,58,50,273.90438,8.649612,787.114692,1
42,58,50,273.90438,8.649612,810.180324,1
42,58,50,271.021176,8.649612,755.399448,1
48,23,50,49.014468,20.182428,285.437196,3
48,35,50,34.598448,8.649612,89.379324,1
48,24,50,57.66408,23.065632,343.101276,3
49,9,50,57.66408,25.948836,366.166908,3
53,36,50,273.90438,8.649612,789.997896,1
53,36,50,271.021176,8.649612,807.29712,1
53,36,50,204.707484,8.649612,614.122452,1
54,59,50,14.41602,8.649612,37.481652,1
54,36,50,271.021176,8.649612,766.932264,1
54,36,50,98.028936,8.649612,294.086808,1
54,36,50,89.379324,8.649612,259.48836,1
55,9,50,69.196896,23.065632,467.079048,3
54,60,50,147.043404,8.649612,435.363804,1
54,60,50,57.66408,8.649612,172.99224,1
57,32,50,43.24806,25.948836,279.670788,3
56,53,50,60.547284,20.182428,369.050112,3
56,59,50,271.021176,8.649612,775.581876,1
56,59,50,271.021176,8.649612,709.268184,1
56,59,50,123.977772,8.649612,322.918848,1
61,3,50,43.24806,20.182428,227.773116,3
60,58,50,83.612916,20.182428,475.72866,3
64,14,50,54.780876,20.182428,308.502828,3
65,52,50,77.846508,20.182428,461.31264,3
68,9,50,69.196896,23.065632,429.597396,3
70,35,50,273.90438,8.649612,815.946732,1
70,35,50,273.90438,8.649612,810.180324,1
70,35,50,172.99224,8.649612,513.210312,1
70,60,50,49.014468,23.065632,302.73642,3
73,36,50,273.90438,8.649612,818.829936,1
73,36,50,46.131264,8.649612,132.627384,1
73,60,50,271.021176,8.649612,717.917796,1
74,36,50,259.48836,8.649612,766.932264,1
74,36,50,271.021176,8.649612,772.698672,1
76,59,50,54.780876,11.532816,167.225832,1
77,59,50,23.065632,8.649612,63.430488,1
77,59,50,271.021176,8.649612,764.04906,1
78,47,50,69.196896,20.182428,418.06458,3
77,45,50,43.24806,28.83204,273.90438,3
79,13,50,34.598448,8.649612,98.028936,1
81,42,50,54.780876,25.948836,328.685256,3
84,58,50,271.021176,8.649612,810.180324,1
85,58,50,271.021176,8.649612,769.815468,1
85,58,50,271.021176,8.649612,787.114692,1
85,14,50,273.90438,8.649612,758.282652,1
85,14,50,273.90438,8.649612,772.698672,1
