[Wafer Information]
Wafer Number,9
Wafer ID,Q332894-04F4
Job Name,X2L3QBKL_S_12_P5
Model Name,EagleT
Lot Number,24100580-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/11/2024 02:38
End Time,01/11/2024 02:43
Inspection Time,0:04:45
Photo Time,0:09:35
Data Output Time,01/11/2024 03:38

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F82 Top side chipping no damage sensor area,F13 Pad area damage
9,Q332894-04F4,12841,12784,99.556109,57,80,79,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
45,73,50,49.014468,37.481652,418.06458,3
55,67,50,60.547284,25.948836,392.115744,3
67,67,50,60.547284,25.948836,397.882152,3
68,62,50,74.963304,25.948836,567.991188,3
70,75,50,40.364856,37.481652,331.56846,3
82,61,50,43.24806,25.948836,311.386032,3
83,62,50,72.0801,31.715244,481.495068,3
87,64,50,49.014468,25.948836,369.050112,3
89,54,50,46.131264,37.481652,415.181376,3
91,42,50,54.780876,25.948836,354.634092,3
99,87,50,40.364856,40.364856,403.64856,3
101,63,50,106.678548,25.948836,631.421676,3
102,58,50,49.014468,40.364856,423.830988,3
111,55,50,54.780876,28.83204,371.933316,3
137,41,50,43.24806,28.83204,311.386032,3
156,25,50,11.532816,74.963304,242.189136,1
156,25,50,11.505648,17.258472,37.305268,1
156,25,50,2.876412,25.887708,25.826724,1
156,25,50,8.629236,11.505648,20.087452,1
162,81,50,8.649612,8.649612,23.065632,1
162,81,50,8.629236,5.752824,14.34818,1
56,18,50,23.011296,14.38206,100.43726,1
56,18,50,17.258472,23.011296,103.306896,1
26,86,50,5.752824,11.505648,22.957088,1
26,86,50,5.752824,17.258472,25.826724,1
26,44,50,11.505648,8.629236,22.957088,1
26,75,50,2.876412,11.505648,11.478544,1
26,82,50,8.629236,34.516944,80.349808,1
46,85,50,8.629236,5.752824,11.478544,1
46,85,50,2.876412,54.651828,54.523084,1
46,63,50,2.876412,8.629236,8.608908,1
46,63,50,2.876412,8.629236,8.608908,1
46,41,50,2.876412,34.516944,34.435632,1
46,41,50,2.876412,23.011296,22.957088,1
46,41,50,5.752824,20.134884,34.435632,1
52,37,50,8.629236,8.629236,14.34818,1
52,59,50,8.629236,5.752824,14.34818,1
58,83,50,8.629236,8.629236,20.087452,1
68,52,50,2.876412,17.258472,17.217816,1
68,30,50,2.876412,31.640532,31.565996,1
68,30,50,2.876412,46.022592,45.914176,1
68,30,50,2.876412,23.011296,22.957088,1
68,30,50,8.629236,2.876412,8.608908,1
68,74,50,2.876412,34.516944,34.435632,1
68,74,50,5.752824,11.505648,14.34818,1
84,37,50,28.76412,5.752824,37.305268,1
90,41,50,2.876412,8.629236,8.608908,1
90,41,50,2.876412,20.134884,20.087452,1
90,14,50,8.629236,14.38206,20.087452,1
90,14,50,2.876412,8.629236,8.608908,1
90,14,50,5.752824,14.38206,17.217816,1
90,69,50,8.629236,14.38206,25.826724,1
90,30,50,2.876412,23.011296,22.957088,1
90,85,50,2.876412,8.629236,8.608908,1
90,96,50,2.876412,20.134884,20.087452,1
90,96,50,2.876412,31.640532,31.565996,1
102,49,50,11.505648,34.516944,77.480172,1
111,96,50,2.876412,31.640532,31.565996,1
114,65,50,2.876412,17.258472,17.217816,1
118,82,50,11.505648,8.629236,31.565996,1
133,41,50,2.876412,48.899004,48.783812,1
133,52,50,2.876412,17.258472,17.217816,1
134,25,50,2.876412,8.629236,8.608908,1
134,37,50,14.38206,8.629236,34.435632,1
