[Wafer Information]
Wafer Number,13
Wafer ID,Q332894-06E2
Job Name,X2L3QBKL_S_12_P5
Model Name,EagleT
Lot Number,24100580-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/11/2024 02:04
End Time,01/11/2024 02:09
Inspection Time,0:04:35
Photo Time,0:10:23
Data Output Time,01/11/2024 03:41

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F82 Top side chipping no damage sensor area,F13 Pad area damage
13,Q332894-06E2,12250,12190,99.510204,60,91,86,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
30,59,50,54.780876,8.649612,144.1602,1
41,46,50,43.24806,23.065632,273.90438,3
58,37,50,57.66408,25.948836,348.867684,3
71,99,50,28.83204,40.364856,253.721952,3
74,27,50,11.532816,8.649612,28.83204,1
74,27,50,14.38206,5.752824,20.087452,1
87,28,50,54.780876,25.948836,392.115744,3
95,103,50,115.32816,8.649612,337.334868,1
101,19,50,51.897672,23.065632,317.15244,3
112,47,50,11.532816,28.83204,80.729712,1
112,47,50,11.532816,34.598448,98.028936,1
112,47,50,14.38206,11.505648,31.565996,1
112,47,50,8.629236,8.629236,20.087452,1
112,47,50,2.876412,8.629236,8.608908,1
112,47,50,5.752824,8.629236,14.34818,1
112,14,50,11.532816,80.729712,265.254768,1
112,14,50,11.505648,23.011296,37.305268,1
112,14,50,11.505648,23.011296,40.174904,1
112,14,50,11.505648,31.640532,60.262356,1
121,98,50,43.24806,25.948836,265.254768,3
134,102,50,11.532816,17.299224,51.897672,1
134,102,50,5.752824,11.505648,17.217816,1
134,102,50,5.752824,14.38206,20.087452,1
134,102,50,8.629236,11.505648,20.087452,1
134,102,50,8.629236,11.505648,22.957088,1
145,20,50,40.364856,25.948836,268.137972,3
145,66,50,43.24806,20.182428,279.670788,3
146,32,50,57.66408,25.948836,345.98448,3
149,38,50,43.24806,25.948836,279.670788,3
167,74,50,46.131264,20.182428,296.970012,3
37,79,50,63.281064,63.281064,964.197696,3
44,49,50,48.899004,46.022592,479.229212,3
82,28,50,31.640532,48.899004,289.833236,3
84,60,50,5.752824,11.505648,22.957088,1
23,63,50,2.876412,25.887708,25.826724,1
55,103,50,2.876412,23.011296,22.957088,1
63,107,50,11.505648,5.752824,14.34818,1
67,52,50,2.876412,54.651828,54.523084,1
67,52,50,2.876412,8.629236,8.608908,1
69,107,50,37.393356,11.505648,94.697988,1
73,71,50,5.752824,8.629236,14.34818,1
89,34,50,23.011296,5.752824,31.565996,1
89,34,50,8.629236,5.752824,17.217816,1
89,34,50,8.629236,5.752824,14.34818,1
89,41,50,2.876412,23.011296,22.957088,1
94,30,50,20.134884,8.629236,48.783812,1
96,16,50,8.629236,5.752824,11.478544,1
97,29,50,20.134884,8.629236,57.39272,1
111,41,50,2.876412,20.134884,20.087452,1
111,52,50,2.876412,34.516944,34.435632,1
111,52,50,2.876412,37.393356,37.305268,1
112,25,50,2.876412,8.629236,8.608908,1
112,25,50,11.505648,14.38206,48.783812,1
112,25,50,8.629236,11.505648,22.957088,1
111,19,50,2.876412,20.134884,20.087452,1
112,30,50,2.876412,11.505648,11.478544,1
113,34,50,5.752824,34.516944,40.174904,1
112,19,50,5.752824,8.629236,14.34818,1
112,19,50,2.876412,40.269768,40.174904,1
113,89,50,2.876412,14.38206,14.34818,1
113,89,50,5.752824,20.134884,28.69636,1
118,81,50,8.629236,5.752824,11.478544,1
133,52,50,2.876412,89.168772,88.958716,1
133,85,50,5.752824,28.76412,31.565996,1
133,96,50,8.629236,66.157476,106.176532,1
133,96,50,5.752824,8.629236,14.34818,1
134,74,50,5.752824,77.663124,91.828352,1
134,74,50,2.876412,20.134884,20.087452,1
134,74,50,5.752824,11.505648,20.087452,1
134,19,50,5.752824,8.629236,14.34818,1
134,19,50,2.876412,8.629236,8.608908,1
140,70,50,8.629236,5.752824,11.478544,1
141,106,50,14.38206,8.629236,31.565996,1
156,74,50,2.876412,11.505648,11.478544,1
156,74,50,5.752824,8.629236,14.34818,1
156,74,50,2.876412,28.76412,28.69636,1
155,52,50,2.876412,31.640532,31.565996,1
156,30,50,2.876412,40.269768,40.174904,1
156,30,50,5.752824,28.76412,43.04454,1
156,30,50,8.629236,5.752824,14.34818,1
156,30,50,2.876412,46.022592,45.914176,1
156,36,50,11.505648,17.258472,37.305268,1
157,95,50,2.876412,14.38206,14.34818,1
160,93,50,8.629236,5.752824,17.217816,1
160,30,50,8.629236,2.876412,8.608908,1
160,30,50,8.629236,2.876412,8.608908,1
162,37,50,8.629236,5.752824,11.478544,1
172,92,50,28.76412,5.752824,40.174904,1
178,52,50,8.629236,5.752824,11.478544,1
178,63,50,2.876412,8.629236,8.608908,1
178,74,50,2.876412,11.505648,11.478544,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F82 Top side chipping no damage sensor area,F13 Pad area damage
13,Q332894-06E2,12250,12208,99.657143,42,69,12,46,5,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
30,59,Pass,54.780876,8.649612,144.1602,1
41,46,50,43.24806,23.065632,273.90438,3
58,37,50,57.66408,25.948836,348.867684,3
71,99,50,28.83204,40.364856,253.721952,3
74,27,Pass,11.532816,8.649612,28.83204,1
74,27,Pass,14.38206,5.752824,20.087452,1
87,28,50,54.780876,25.948836,392.115744,3
95,103,Pass,115.32816,8.649612,337.334868,1
101,19,50,51.897672,23.065632,317.15244,3
112,47,50,11.532816,28.83204,80.729712,1
112,47,50,11.532816,34.598448,98.028936,1
112,47,50,14.38206,11.505648,31.565996,1
112,47,50,8.629236,8.629236,20.087452,1
112,47,50,2.876412,8.629236,8.608908,1
112,47,50,5.752824,8.629236,14.34818,1
112,14,50,11.532816,80.729712,265.254768,1
112,14,50,11.505648,23.011296,37.305268,1
112,14,50,11.505648,23.011296,40.174904,1
112,14,50,11.505648,31.640532,60.262356,1
121,98,50,43.24806,25.948836,265.254768,3
134,102,50,11.532816,17.299224,51.897672,1
134,102,50,5.752824,11.505648,17.217816,1
134,102,50,5.752824,14.38206,20.087452,1
134,102,50,8.629236,11.505648,20.087452,1
134,102,50,8.629236,11.505648,22.957088,1
145,20,50,40.364856,25.948836,268.137972,3
145,66,50,43.24806,20.182428,279.670788,3
146,32,50,57.66408,25.948836,345.98448,3
149,38,50,43.24806,25.948836,279.670788,3
167,74,50,46.131264,20.182428,296.970012,3
37,79,Pass,63.281064,63.281064,964.197696,3
44,49,Pass,48.899004,46.022592,479.229212,3
82,28,50,31.640532,48.899004,289.833236,3
84,60,Pass,5.752824,11.505648,22.957088,1
23,63,50,2.876412,25.887708,25.826724,1
55,103,Pass,2.876412,23.011296,22.957088,1
63,107,50,11.505648,5.752824,14.34818,1
67,52,50,2.876412,54.651828,54.523084,1
67,52,50,2.876412,8.629236,8.608908,1
69,107,50,37.393356,11.505648,94.697988,1
