[Wafer Information]
Wafer Number,25
Wafer ID,A19-Q336747-402
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,24100623-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 06:41
End Time,01/20/2024 06:44
Inspection Time,0:03:26
Photo Time,0:13:51
Data Output Time,01/20/2024 07:15

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others
25,A19-Q336747-402,5518,5331,96.611091,187,351,18,54,277,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,44,50,14.41602,20.182428,72.0801,2
12,44,50,20.182428,17.299224,89.379324,2
17,56,50,17.299224,20.182428,80.729712,2
25,17,50,17.299224,23.065632,103.795344,2
26,36,50,14.41602,20.182428,74.963304,2
33,3,50,17.299224,23.065632,89.379324,2
36,52,50,46.131264,28.83204,302.73642,3
36,52,50,51.744852,22.997712,272.293655,3
36,44,50,14.41602,20.182428,74.963304,2
37,18,50,17.299224,20.182428,95.145732,2
41,44,50,60.547284,23.065632,386.349336,3
41,44,50,63.243708,14.37357,257.96241,3
42,19,50,14.41602,20.182428,89.379324,2
49,0,50,20.182428,20.182428,89.379324,2
53,19,50,20.182428,23.065632,112.444956,2
54,58,50,17.299224,20.182428,86.49612,2
61,23,50,17.299224,20.182428,89.379324,2
66,43,50,20.182428,14.41602,69.196896,2
66,39,50,17.299224,20.182428,77.846508,2
68,26,50,17.299224,20.182428,89.379324,2
69,53,50,8.649612,8.649612,23.065632,1
69,53,50,8.624142,11.498856,34.394988,1
76,22,50,17.299224,20.182428,89.379324,2
85,17,50,17.299224,20.182428,86.49612,2
87,27,50,57.66408,23.065632,360.4005,3
87,27,50,57.49428,14.37357,249.363663,3
92,32,50,98.028936,23.065632,619.88886,3
92,32,50,97.740276,14.37357,441.402346,3
101,31,50,60.547284,20.182428,374.81652,3
101,31,50,63.243708,14.37357,292.357398,3
4,45,50,83.366706,11.498856,214.968675,3
11,26,50,51.744852,22.997712,260.828659,3
16,45,50,60.368994,11.498856,183.439936,3
16,45,50,2.874714,8.624142,8.598747,1
16,45,50,11.498856,74.742564,103.184964,1
16,45,50,11.498856,54.619566,85.98747,1
16,45,50,11.498856,8.624142,20.063743,1
18,36,50,60.368994,11.498856,180.573687,3
17,40,50,57.49428,8.624142,131.847454,3
20,45,50,63.243708,17.248284,266.561157,3
21,30,50,54.619566,14.37357,203.503679,3
25,37,50,63.243708,14.37357,232.166169,3
34,25,50,77.617278,14.37357,306.688643,3
36,22,50,57.49428,11.498856,154.777446,3
41,11,50,71.86785,8.624142,166.242442,3
42,11,50,54.619566,8.624142,134.713703,3
42,52,50,66.118422,14.37357,183.439936,3
47,30,50,63.243708,11.498856,143.31245,3
47,41,50,60.368994,14.37357,186.306185,3
51,32,50,57.49428,11.498856,154.777446,3
50,44,50,51.744852,8.624142,114.64996,3
53,47,50,63.243708,11.498856,174.841189,3
54,18,50,37.371282,51.744852,501.593575,3
59,44,50,80.491992,14.37357,278.026153,3
59,63,50,60.368994,11.498856,177.707438,3
59,67,50,63.243708,8.624142,157.643695,3
60,29,50,74.742564,8.624142,183.439936,3
61,60,50,51.744852,14.37357,177.707438,3
63,40,50,51.744852,14.37357,209.236177,3
65,29,50,51.744852,14.37357,229.29992,3
69,61,50,54.619566,14.37357,237.898667,3
70,47,50,66.118422,11.498856,194.904932,3
70,35,50,60.368994,8.624142,128.981205,3
72,37,50,74.742564,17.248284,326.752386,3
72,31,50,60.368994,14.37357,197.771181,3
76,39,50,63.243708,14.37357,272.293655,3
75,52,50,71.86785,11.498856,194.904932,3
77,63,50,54.619566,20.122998,209.236177,3
77,27,50,54.619566,8.624142,123.248707,3
78,47,50,77.617278,8.624142,214.968675,3
81,13,50,74.742564,11.498856,217.834924,3
84,59,50,68.993136,17.248284,292.357398,3
85,59,50,66.118422,11.498856,192.038683,3
85,47,50,51.744852,11.498856,174.841189,3
86,27,50,57.49428,14.37357,235.032418,3
90,19,50,77.617278,11.498856,223.567422,3
92,19,50,54.619566,8.624142,140.446201,3
102,40,50,60.368994,11.498856,183.439936,3
1,32,50,5.749428,11.498856,14.331245,1
4,31,50,2.874714,8.624142,8.598747,1
3,32,50,8.624142,11.498856,22.929992,1
8,44,50,8.624142,5.749428,14.331245,1
8,44,50,11.498856,8.624142,22.929992,1
8,44,50,5.749428,8.624142,11.464996,1
8,44,50,11.498856,5.749428,20.063743,1
8,44,50,2.874714,8.624142,8.598747,1
8,44,50,8.624142,22.997712,34.394988,1
8,44,50,2.874714,14.37357,14.331245,1
8,43,50,2.874714,11.498856,11.464996,1
9,45,50,17.248284,5.749428,25.796241,1
10,24,50,2.874714,22.997712,22.929992,1
12,19,50,8.624142,5.749428,11.464996,1
12,48,50,5.749428,11.498856,17.197494,1
14,44,50,2.874714,17.248284,17.197494,1
14,52,50,8.624142,8.624142,25.796241,1
16,44,50,22.997712,8.624142,45.859984,1
16,44,50,8.624142,5.749428,11.464996,1
19,49,50,2.874714,8.624142,8.598747,1
17,17,50,2.874714,11.498856,11.464996,1
18,17,50,2.874714,8.624142,8.598747,1
17,24,50,2.874714,14.37357,14.331245,1
17,12,50,5.749428,22.997712,28.66249,1
17,12,50,2.874714,8.624142,8.598747,1
20,33,50,8.624142,11.498856,20.063743,1
21,16,50,11.498856,2.874714,11.464996,1
21,16,50,17.248284,2.874714,17.197494,1
21,16,50,8.624142,2.874714,8.598747,1
21,16,50,11.498856,2.874714,11.464996,1
21,16,50,8.624142,2.874714,8.598747,1
21,16,50,14.37357,2.874714,14.331245,1
21,16,50,14.37357,2.874714,14.331245,1
21,16,50,17.248284,2.874714,17.197494,1
21,16,50,28.74714,2.874714,28.66249,1
21,16,50,40.245996,2.874714,40.127486,1
21,16,50,14.37357,2.874714,14.331245,1
21,16,50,14.37357,2.874714,14.331245,1
21,16,50,22.997712,2.874714,22.929992,1
21,16,50,25.872426,2.874714,25.796241,1
21,16,50,14.37357,2.874714,14.331245,1
21,16,50,8.624142,2.874714,8.598747,1
21,16,50,11.498856,2.874714,11.464996,1
21,16,50,14.37357,2.874714,14.331245,1
21,16,50,8.624142,2.874714,8.598747,1
23,16,50,5.749428,17.248284,25.796241,1
22,46,50,8.624142,2.874714,8.598747,1
24,32,50,8.624142,8.624142,20.063743,1
21,45,50,2.874714,8.624142,8.598747,1
22,30,50,8.624142,2.874714,8.598747,1
22,47,50,2.874714,11.498856,11.464996,1
23,49,50,22.997712,2.874714,22.929992,1
23,49,50,8.624142,2.874714,8.598747,1
23,49,50,37.371282,2.874714,37.261237,1
23,49,50,80.491992,2.874714,80.254972,1
23,49,50,25.872426,2.874714,25.796241,1
23,49,50,17.248284,2.874714,17.197494,1
23,49,50,17.248284,2.874714,17.197494,1
23,49,50,11.498856,2.874714,11.464996,1
25,35,50,20.122998,2.874714,20.063743,1
26,13,50,2.874714,31.621854,31.528739,1
26,13,50,2.874714,8.624142,8.598747,1
26,13,50,2.874714,8.624142,8.598747,1
27,45,50,2.874714,8.624142,8.598747,1
29,48,50,17.248284,2.874714,17.197494,1
29,48,50,11.498856,2.874714,11.464996,1
29,48,50,8.624142,2.874714,8.598747,1
29,48,50,20.122998,2.874714,20.063743,1
29,48,50,17.248284,2.874714,17.197494,1
29,48,50,11.498856,2.874714,11.464996,1
29,55,50,2.874714,14.37357,14.331245,1
30,64,50,2.874714,14.37357,14.331245,1
31,30,50,8.624142,2.874714,8.598747,1
33,60,50,2.874714,11.498856,11.464996,1
33,48,50,2.874714,11.498856,11.464996,1
33,48,50,2.874714,8.624142,8.598747,1
33,48,50,2.874714,11.498856,11.464996,1
33,48,50,2.874714,8.624142,8.598747,1
33,48,50,2.874714,14.37357,14.331245,1
33,25,50,2.874714,51.744852,51.592482,1
34,17,50,2.874714,11.498856,11.464996,1
32,45,50,8.624142,2.874714,8.598747,1
32,29,50,5.749428,8.624142,11.464996,1
32,28,50,5.749428,22.997712,28.66249,1
38,45,50,2.874714,11.498856,11.464996,1
37,20,50,11.498856,20.122998,25.796241,1
37,41,50,2.874714,8.624142,8.598747,1
37,33,50,2.874714,25.872426,25.796241,1
37,64,50,5.749428,45.995424,51.592482,1
37,1,50,2.874714,8.624142,8.598747,1
40,16,50,17.248284,2.874714,17.197494,1
40,41,50,2.874714,11.498856,11.464996,1
42,42,50,11.498856,2.874714,11.464996,1
42,31,50,11.498856,2.874714,11.464996,1
45,16,50,11.498856,2.874714,11.464996,1
45,16,50,11.498856,2.874714,11.464996,1
45,16,50,8.624142,2.874714,8.598747,1
45,15,50,5.749428,34.496568,40.127486,1
45,53,50,14.37357,2.874714,14.331245,1
47,53,50,8.624142,11.498856,20.063743,1
48,54,50,2.874714,31.621854,31.528739,1
48,39,50,2.874714,25.872426,25.796241,1
49,2,50,22.997712,2.874714,22.929992,1
49,2,50,17.248284,2.874714,17.197494,1
49,2,50,17.248284,2.874714,17.197494,1
49,2,50,91.990848,2.874714,91.719968,1
49,2,50,68.993136,2.874714,68.789976,1
49,2,50,14.37357,2.874714,14.331245,1
49,2,50,221.352978,5.749428,255.096161,1
49,2,50,31.621854,5.749428,42.993735,1
49,2,50,17.248284,5.749428,25.796241,1
49,2,50,8.624142,2.874714,8.598747,1
49,2,50,28.74714,2.874714,28.66249,1
49,39,50,2.874714,11.498856,11.464996,1
51,15,50,114.98856,5.749428,203.503679,1
51,15,50,103.489704,5.749428,171.97494,1
51,15,50,8.624142,2.874714,8.598747,1
51,15,50,25.872426,2.874714,25.796241,1
51,15,50,14.37357,2.874714,14.331245,1
51,15,50,22.997712,2.874714,22.929992,1
51,15,50,212.728836,2.874714,212.102426,1
51,15,50,22.997712,2.874714,22.929992,1
51,15,50,8.624142,2.874714,8.598747,1
51,15,50,31.621854,2.874714,31.528739,1
51,45,50,17.248284,8.624142,31.528739,1
51,45,50,14.37357,8.624142,22.929992,1
54,0,50,2.874714,14.37357,14.331245,1
54,0,50,2.874714,14.37357,14.331245,1
54,0,50,2.874714,11.498856,11.464996,1
54,0,50,2.874714,8.624142,8.598747,1
54,0,50,2.874714,8.624142,8.598747,1
54,0,50,2.874714,8.624142,8.598747,1
54,0,50,2.874714,8.624142,8.598747,1
54,0,50,2.874714,8.624142,8.598747,1
52,28,50,5.749428,45.995424,91.719968,1
51,41,50,20.122998,2.874714,20.063743,1
52,41,50,22.997712,2.874714,22.929992,1
51,30,50,8.624142,5.749428,11.464996,1
51,53,50,63.243708,2.874714,63.057478,1
53,30,50,8.624142,2.874714,8.598747,1
53,30,50,8.624142,2.874714,8.598747,1
55,48,50,2.874714,8.624142,8.598747,1
55,48,50,2.874714,11.498856,11.464996,1
55,48,50,2.874714,11.498856,11.464996,1
55,48,50,2.874714,8.624142,8.598747,1
55,48,50,2.874714,8.624142,8.598747,1
54,30,50,5.749428,43.12071,71.656225,1
56,41,50,2.874714,8.624142,8.598747,1
56,41,50,2.874714,8.624142,8.598747,1
56,41,50,2.874714,8.624142,8.598747,1
56,41,50,2.874714,8.624142,8.598747,1
59,46,50,5.749428,20.122998,25.796241,1
59,46,50,2.874714,8.624142,8.598747,1
60,67,50,2.874714,14.37357,14.331245,1
60,50,50,2.874714,8.624142,8.598747,1
60,50,50,2.874714,8.624142,8.598747,1
60,13,50,11.498856,5.749428,20.063743,1
60,13,50,11.498856,5.749428,20.063743,1
62,50,50,8.624142,11.498856,28.66249,1
61,49,50,2.874714,11.498856,11.464996,1
61,49,50,2.874714,11.498856,11.464996,1
61,21,50,2.874714,11.498856,11.464996,1
62,65,50,2.874714,14.37357,14.331245,1
62,65,50,2.874714,8.624142,8.598747,1
62,65,50,2.874714,8.624142,8.598747,1
62,65,50,2.874714,20.122998,20.063743,1
63,19,50,2.874714,8.624142,8.598747,1
63,14,50,22.997712,5.749428,28.66249,1
64,12,50,2.874714,22.997712,22.929992,1
64,32,50,8.624142,2.874714,8.598747,1
66,51,50,5.749428,8.624142,14.331245,1
65,46,50,14.37357,5.749428,22.929992,1
65,46,50,8.624142,2.874714,8.598747,1
66,46,50,11.498856,5.749428,20.063743,1
66,46,50,8.624142,5.749428,17.197494,1
68,53,50,2.874714,34.496568,34.394988,1
67,29,50,8.624142,2.874714,8.598747,1
67,29,50,11.498856,5.749428,14.331245,1
67,27,50,2.874714,45.995424,45.859984,1
67,13,50,2.874714,14.37357,14.331245,1
67,13,50,2.874714,8.624142,8.598747,1
67,13,50,2.874714,11.498856,11.464996,1
67,13,50,2.874714,14.37357,14.331245,1
67,13,50,2.874714,8.624142,8.598747,1
67,13,50,2.874714,17.248284,17.197494,1
67,13,50,2.874714,8.624142,8.598747,1
67,13,50,2.874714,8.624142,8.598747,1
68,13,50,5.749428,25.872426,51.592482,1
71,14,50,2.874714,17.248284,17.197494,1
71,11,50,2.874714,11.498856,11.464996,1
71,2,50,8.624142,2.874714,8.598747,1
71,2,50,11.498856,2.874714,11.464996,1
71,2,50,11.498856,2.874714,11.464996,1
71,2,50,14.37357,2.874714,14.331245,1
71,2,50,83.366706,2.874714,83.121221,1
73,19,50,2.874714,14.37357,14.331245,1
73,19,50,5.749428,31.621854,48.726233,1
71,45,50,11.498856,2.874714,11.464996,1
73,28,50,2.874714,17.248284,17.197494,1
73,28,50,2.874714,8.624142,8.598747,1
73,28,50,2.874714,8.624142,8.598747,1
73,28,50,2.874714,8.624142,8.598747,1
73,28,50,2.874714,8.624142,8.598747,1
73,28,50,2.874714,8.624142,8.598747,1
73,28,50,2.874714,17.248284,17.197494,1
73,28,50,2.874714,8.624142,8.598747,1
72,48,50,20.122998,2.874714,20.063743,1
72,48,50,278.847258,2.874714,278.026153,1
72,48,50,48.870138,2.874714,48.726233,1
72,48,50,63.243708,2.874714,63.057478,1
72,48,50,8.624142,2.874714,8.598747,1
72,48,50,22.997712,2.874714,22.929992,1
72,48,50,143.7357,2.874714,143.31245,1
73,15,50,11.498856,5.749428,22.929992,1
73,15,50,14.37357,2.874714,14.331245,1
73,15,50,8.624142,2.874714,8.598747,1
73,15,50,8.624142,2.874714,8.598747,1
73,15,50,8.624142,2.874714,8.598747,1
73,15,50,11.498856,2.874714,11.464996,1
74,55,50,8.624142,2.874714,8.598747,1
75,41,50,11.498856,2.874714,11.464996,1
78,5,50,5.749428,22.997712,31.528739,1
78,5,50,2.874714,8.624142,8.598747,1
78,46,50,2.874714,31.621854,31.528739,1
78,46,50,5.749428,22.997712,42.993735,1
79,46,50,2.874714,8.624142,8.598747,1
83,50,50,5.749428,8.624142,17.197494,1
83,31,50,17.248284,2.874714,17.197494,1
84,57,50,2.874714,25.872426,25.796241,1
86,22,50,5.749428,22.997712,28.66249,1
88,13,50,2.874714,11.498856,11.464996,1
88,13,50,2.874714,8.624142,8.598747,1
88,13,50,2.874714,8.624142,8.598747,1
88,13,50,2.874714,8.624142,8.598747,1
88,13,50,2.874714,11.498856,11.464996,1
88,13,50,2.874714,8.624142,8.598747,1
85,22,50,2.874714,14.37357,14.331245,1
85,22,50,2.874714,8.624142,8.598747,1
88,40,50,5.749428,43.12071,57.32498,1
89,46,50,2.874714,25.872426,25.796241,1
89,46,50,2.874714,11.498856,11.464996,1
89,46,50,2.874714,11.498856,11.464996,1
89,46,50,5.749428,8.624142,11.464996,1
89,46,50,5.749428,8.624142,11.464996,1
89,46,50,2.874714,8.624142,8.598747,1
91,47,50,8.624142,2.874714,8.598747,1
94,18,50,5.749428,11.498856,20.063743,1
94,16,50,8.624142,2.874714,8.598747,1
94,16,50,8.624142,2.874714,8.598747,1
94,16,50,14.37357,2.874714,14.331245,1
94,16,50,8.624142,2.874714,8.598747,1
95,28,50,2.874714,8.624142,8.598747,1
95,28,50,2.874714,14.37357,14.331245,1
95,28,50,2.874714,8.624142,8.598747,1
95,28,50,2.874714,17.248284,17.197494,1
95,28,50,2.874714,8.624142,8.598747,1
95,28,50,2.874714,14.37357,14.331245,1
95,28,50,2.874714,14.37357,14.331245,1
95,30,50,8.624142,5.749428,11.464996,1
96,28,50,2.874714,8.624142,8.598747,1
96,28,50,2.874714,8.624142,8.598747,1
100,45,50,5.749428,48.870138,97.452466,1
100,45,50,5.749428,37.371282,71.656225,1
102,32,50,8.624142,2.874714,8.598747,1
102,32,50,11.498856,2.874714,11.464996,1
102,32,50,8.624142,2.874714,8.598747,1
102,32,50,14.37357,2.874714,14.331245,1
102,32,50,8.624142,2.874714,8.598747,1
102,32,50,28.74714,2.874714,28.66249,1
102,32,50,17.248284,2.874714,17.197494,1
102,32,50,31.621854,2.874714,31.528739,1
102,32,50,8.624142,2.874714,8.598747,1
102,32,50,8.624142,2.874714,8.598747,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others
25,A19-Q336747-402,5518,5447,98.713302,71,82,4,54,23,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,44,Pass,14.41602,20.182428,72.0801,2
12,44,Pass,20.182428,17.299224,89.379324,2
17,56,Pass,17.299224,20.182428,80.729712,2
25,17,50,17.299224,23.065632,103.795344,2
26,36,50,14.41602,20.182428,74.963304,2
33,3,Pass,17.299224,23.065632,89.379324,2
36,52,50,46.131264,28.83204,302.73642,3
36,52,50,51.744852,22.997712,272.293655,3
36,44,Pass,14.41602,20.182428,74.963304,2
37,18,50,17.299224,20.182428,95.145732,2
41,44,50,60.547284,23.065632,386.349336,3
41,44,50,63.243708,14.37357,257.96241,3
42,19,Pass,14.41602,20.182428,89.379324,2
49,0,Pass,20.182428,20.182428,89.379324,2
53,19,Pass,20.182428,23.065632,112.444956,2
54,58,Pass,17.299224,20.182428,86.49612,2
61,23,Pass,17.299224,20.182428,89.379324,2
66,43,50,20.182428,14.41602,69.196896,2
66,39,Pass,17.299224,20.182428,77.846508,2
68,26,Pass,17.299224,20.182428,89.379324,2
69,53,Pass,8.649612,8.649612,23.065632,1
69,53,Pass,8.624142,11.498856,34.394988,1
76,22,Pass,17.299224,20.182428,89.379324,2
85,17,Pass,17.299224,20.182428,86.49612,2
87,27,50,57.66408,23.065632,360.4005,3
87,27,50,57.49428,14.37357,249.363663,3
92,32,50,98.028936,23.065632,619.88886,3
92,32,50,97.740276,14.37357,441.402346,3
101,31,50,60.547284,20.182428,374.81652,3
101,31,50,63.243708,14.37357,292.357398,3
4,45,50,83.366706,11.498856,214.968675,3
11,26,50,51.744852,22.997712,260.828659,3
16,45,50,60.368994,11.498856,183.439936,3
16,45,50,2.874714,8.624142,8.598747,1
16,45,50,11.498856,74.742564,103.184964,1
16,45,50,11.498856,54.619566,85.98747,1
16,45,50,11.498856,8.624142,20.063743,1
18,36,50,60.368994,11.498856,180.573687,3
17,40,50,57.49428,8.624142,131.847454,3
20,45,50,63.243708,17.248284,266.561157,3
21,30,50,54.619566,14.37357,203.503679,3
25,37,50,63.243708,14.37357,232.166169,3
34,25,50,77.617278,14.37357,306.688643,3
36,22,50,57.49428,11.498856,154.777446,3
41,11,50,71.86785,8.624142,166.242442,3
42,11,50,54.619566,8.624142,134.713703,3
42,52,50,66.118422,14.37357,183.439936,3
47,30,50,63.243708,11.498856,143.31245,3
47,41,50,60.368994,14.37357,186.306185,3
51,32,50,57.49428,11.498856,154.777446,3
50,44,50,51.744852,8.624142,114.64996,3
53,47,50,63.243708,11.498856,174.841189,3
54,18,50,37.371282,51.744852,501.593575,3
59,44,50,80.491992,14.37357,278.026153,3
59,63,50,60.368994,11.498856,177.707438,3
59,67,50,63.243708,8.624142,157.643695,3
60,29,50,74.742564,8.624142,183.439936,3
61,60,50,51.744852,14.37357,177.707438,3
63,40,50,51.744852,14.37357,209.236177,3
65,29,50,51.744852,14.37357,229.29992,3
69,61,50,54.619566,14.37357,237.898667,3
70,47,50,66.118422,11.498856,194.904932,3
70,35,50,60.368994,8.624142,128.981205,3
72,37,50,74.742564,17.248284,326.752386,3
72,31,50,60.368994,14.37357,197.771181,3
76,39,50,63.243708,14.37357,272.293655,3
75,52,50,71.86785,11.498856,194.904932,3
77,63,50,54.619566,20.122998,209.236177,3
77,27,50,54.619566,8.624142,123.248707,3
78,47,50,77.617278,8.624142,214.968675,3
81,13,50,74.742564,11.498856,217.834924,3
84,59,50,68.993136,17.248284,292.357398,3
85,59,50,66.118422,11.498856,192.038683,3
85,47,50,51.744852,11.498856,174.841189,3
86,27,50,57.49428,14.37357,235.032418,3
90,19,50,77.617278,11.498856,223.567422,3
92,19,50,54.619566,8.624142,140.446201,3
102,40,50,60.368994,11.498856,183.439936,3
1,32,50,5.749428,11.498856,14.331245,1
4,31,Pass,2.874714,8.624142,8.598747,1
3,32,50,8.624142,11.498856,22.929992,1
8,44,Pass,8.624142,5.749428,14.331245,1
8,44,Pass,11.498856,8.624142,22.929992,1
8,44,Pass,5.749428,8.624142,11.464996,1
8,44,Pass,11.498856,5.749428,20.063743,1
8,44,Pass,2.874714,8.624142,8.598747,1
8,44,Pass,8.624142,22.997712,34.394988,1
8,44,Pass,2.874714,14.37357,14.331245,1
8,43,Pass,2.874714,11.498856,11.464996,1
9,45,Pass,17.248284,5.749428,25.796241,1
10,24,Pass,2.874714,22.997712,22.929992,1
12,19,50,8.624142,5.749428,11.464996,1
12,48,Pass,5.749428,11.498856,17.197494,1
14,44,Pass,2.874714,17.248284,17.197494,1
14,52,Pass,8.624142,8.624142,25.796241,1
16,44,Pass,22.997712,8.624142,45.859984,1
16,44,Pass,8.624142,5.749428,11.464996,1
19,49,Pass,2.874714,8.624142,8.598747,1
17,17,Pass,2.874714,11.498856,11.464996,1
