[Wafer Information]
Wafer Number,23
Wafer ID,A66-Q336747-402
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,24100638-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/14/2024 01:32
End Time,01/14/2024 01:36
Inspection Time,0:03:26
Photo Time,0:15:50
Data Output Time,01/15/2024 03:38

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F82 Top side chipping no damage sensor area,F99 Others,F07 Incoming microlens periphery peeling
23,A66-Q336747-402,5518,5368,97.281624,150,473,9,29,1,434

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
18,39,50,14.41602,23.065632,100.91214,2
22,14,50,57.66408,25.948836,394.998948,3
22,14,50,66.118422,20.122998,364.013623,3
21,40,50,17.299224,20.182428,80.729712,2
36,37,50,20.182428,17.299224,86.49612,2
41,45,50,11.532816,8.649612,28.83204,4
46,30,50,17.299224,20.182428,80.729712,2
57,1,50,14.41602,20.182428,80.729712,2
66,35,50,11.532816,17.299224,49.014468,1
66,35,50,8.624142,8.624142,14.331245,1
66,35,50,14.37357,14.37357,54.458731,1
68,1,50,17.299224,20.182428,98.028936,2
73,6,50,20.182428,17.299224,89.379324,2
78,32,50,66.313692,25.948836,452.663028,3
78,32,50,74.742564,22.997712,418.472354,3
80,52,50,40.364856,8.649612,112.444956,1
80,52,50,43.12071,14.37357,212.102426,1
81,35,50,14.41602,17.299224,80.729712,2
88,49,50,20.182428,17.299224,89.379324,2
14,23,50,51.744852,14.37357,137.579952,3
19,51,50,54.619566,8.624142,131.847454,3
19,58,50,66.118422,8.624142,131.847454,3
31,10,50,51.744852,11.498856,140.446201,3
33,63,50,40.245996,51.744852,507.326073,3
33,19,50,57.49428,8.624142,117.516209,3
36,22,50,57.49428,11.498856,186.306185,3
42,51,50,51.744852,8.624142,117.516209,3
44,18,50,51.744852,11.498856,146.178699,3
43,6,50,60.368994,11.498856,180.573687,3
47,30,50,80.491992,14.37357,295.223647,3
50,13,50,74.742564,14.37357,338.217382,3
56,28,50,57.49428,11.498856,140.446201,3
60,2,50,57.49428,8.624142,134.713703,3
62,54,50,11.498856,5.749428,22.929992,1
61,7,50,103.489704,14.37357,318.153639,3
63,30,50,51.744852,8.624142,111.783711,3
67,52,50,57.49428,8.624142,163.376193,3
66,49,50,63.243708,14.37357,134.713703,3
68,48,50,54.619566,8.624142,126.114956,3
68,6,50,51.744852,11.498856,171.97494,3
74,47,50,54.619566,11.498856,166.242442,3
78,48,50,54.619566,11.498856,183.439936,3
84,49,50,60.368994,14.37357,143.31245,3
92,47,50,74.742564,8.624142,189.172434,3
92,19,50,91.990848,14.37357,298.089896,3
1,32,50,5.749428,8.624142,14.331245,1
5,44,50,2.874714,74.742564,74.522474,1
5,44,50,2.874714,11.498856,11.464996,1
6,46,50,2.874714,20.122998,20.063743,1
6,46,50,2.874714,8.624142,8.598747,1
6,46,50,2.874714,8.624142,8.598747,1
6,46,50,2.874714,8.624142,8.598747,1
6,46,50,2.874714,8.624142,8.598747,1
6,46,50,2.874714,8.624142,8.598747,1
6,46,50,2.874714,8.624142,8.598747,1
6,46,50,2.874714,8.624142,8.598747,1
7,46,50,5.749428,37.371282,74.522474,1
8,28,50,8.624142,2.874714,8.598747,1
9,27,50,2.874714,14.37357,14.331245,1
9,27,50,2.874714,20.122998,20.063743,1
9,27,50,11.498856,68.993136,97.452466,1
9,27,50,11.498856,77.617278,154.777446,1
9,27,50,2.874714,31.621854,31.528739,1
9,27,50,8.624142,17.248284,45.859984,1
9,27,50,8.624142,40.245996,51.592482,1
9,27,50,8.624142,5.749428,17.197494,1
9,27,50,2.874714,8.624142,8.598747,1
9,27,50,2.874714,8.624142,8.598747,1
10,29,50,8.624142,2.874714,8.598747,1
11,54,50,2.874714,57.49428,57.32498,1
14,50,50,2.874714,8.624142,8.598747,1
14,50,50,2.874714,8.624142,8.598747,1
14,26,50,14.37357,17.248284,40.127486,1
14,26,50,2.874714,17.248284,17.197494,1
14,26,50,5.749428,8.624142,11.464996,1
14,26,50,14.37357,5.749428,22.929992,1
14,26,50,14.37357,5.749428,22.929992,1
14,26,50,2.874714,8.624142,8.598747,1
14,26,50,2.874714,8.624142,8.598747,1
14,26,50,8.624142,31.621854,51.592482,1
14,26,50,2.874714,22.997712,22.929992,1
17,51,50,31.621854,2.874714,31.528739,1
17,51,50,8.624142,2.874714,8.598747,1
17,51,50,135.111558,2.874714,134.713703,1
17,51,50,25.872426,2.874714,25.796241,1
17,51,50,8.624142,2.874714,8.598747,1
17,51,50,45.995424,2.874714,45.859984,1
17,51,50,8.624142,2.874714,8.598747,1
17,51,50,8.624142,2.874714,8.598747,1
17,51,50,11.498856,2.874714,11.464996,1
17,49,50,8.624142,68.993136,108.917462,1
17,49,50,5.749428,31.621854,51.592482,1
17,49,50,2.874714,17.248284,17.197494,1
17,49,50,2.874714,8.624142,8.598747,1
17,49,50,2.874714,17.248284,17.197494,1
17,49,50,2.874714,8.624142,8.598747,1
17,49,50,5.749428,14.37357,17.197494,1
18,50,50,28.74714,2.874714,28.66249,1
18,50,50,140.860986,2.874714,140.446201,1
18,50,50,60.368994,2.874714,60.191229,1
18,50,50,25.872426,2.874714,25.796241,1
18,50,50,14.37357,2.874714,14.331245,1
18,50,50,14.37357,2.874714,14.331245,1
18,50,50,14.37357,2.874714,14.331245,1
18,50,50,40.245996,2.874714,40.127486,1
18,50,50,11.498856,2.874714,11.464996,1
18,50,50,14.37357,2.874714,14.331245,1
18,50,50,22.997712,2.874714,22.929992,1
18,50,50,37.371282,2.874714,37.261237,1
18,55,50,14.37357,5.749428,28.66249,1
21,6,50,8.624142,2.874714,8.598747,1
18,31,50,22.997712,2.874714,22.929992,1
18,31,50,68.993136,2.874714,68.789976,1
18,31,50,37.371282,2.874714,37.261237,1
18,31,50,83.366706,2.874714,83.121221,1
18,31,50,11.498856,2.874714,11.464996,1
18,31,50,31.621854,2.874714,31.528739,1
18,31,50,17.248284,2.874714,17.197494,1
18,31,50,74.742564,2.874714,74.522474,1
18,31,50,172.48284,2.874714,171.97494,1
18,31,50,11.498856,2.874714,11.464996,1
18,31,50,48.870138,2.874714,48.726233,1
18,31,50,11.498856,2.874714,11.464996,1
18,31,50,20.122998,2.874714,20.063743,1
18,31,50,28.74714,2.874714,28.66249,1
18,31,50,34.496568,2.874714,34.394988,1
18,31,50,8.624142,2.874714,8.598747,1
18,31,50,28.74714,2.874714,28.66249,1
18,31,50,17.248284,2.874714,17.197494,1
18,31,50,25.872426,2.874714,25.796241,1
20,16,50,5.749428,8.624142,14.331245,1
20,16,50,8.624142,17.248284,22.929992,1
20,11,50,8.624142,8.624142,17.197494,1
24,24,50,2.874714,22.997712,22.929992,1
22,47,50,2.874714,8.624142,8.598747,1
22,47,50,2.874714,8.624142,8.598747,1
22,47,50,2.874714,8.624142,8.598747,1
22,47,50,2.874714,8.624142,8.598747,1
23,50,50,5.749428,40.245996,54.458731,1
24,30,50,57.49428,2.874714,57.32498,1
24,30,50,11.498856,2.874714,11.464996,1
24,30,50,8.624142,2.874714,8.598747,1
24,30,50,155.234556,2.874714,154.777446,1
24,30,50,8.624142,2.874714,8.598747,1
24,30,50,14.37357,2.874714,14.331245,1
24,30,50,8.624142,2.874714,8.598747,1
24,30,50,40.245996,2.874714,40.127486,1
24,30,50,45.995424,2.874714,45.859984,1
24,30,50,8.624142,2.874714,8.598747,1
24,30,50,8.624142,2.874714,8.598747,1
24,30,50,8.624142,2.874714,8.598747,1
24,30,50,28.74714,2.874714,28.66249,1
24,30,50,11.498856,2.874714,11.464996,1
24,30,50,25.872426,2.874714,25.796241,1
24,30,50,11.498856,2.874714,11.464996,1
24,30,50,25.872426,2.874714,25.796241,1
24,30,50,11.498856,2.874714,11.464996,1
24,10,50,8.624142,2.874714,8.598747,1
24,10,50,45.995424,2.874714,45.859984,1
24,10,50,17.248284,2.874714,17.197494,1
24,10,50,17.248284,2.874714,17.197494,1
26,54,50,8.624142,2.874714,8.598747,1
28,46,50,8.624142,43.12071,83.121221,1
28,46,50,14.37357,5.749428,22.929992,1
28,46,50,2.874714,8.624142,8.598747,1
28,46,50,2.874714,8.624142,8.598747,1
28,46,50,2.874714,8.624142,8.598747,1
28,46,50,2.874714,8.624142,8.598747,1
28,46,50,2.874714,8.624142,8.598747,1
28,46,50,2.874714,8.624142,8.598747,1
28,46,50,2.874714,86.24142,85.98747,1
28,46,50,2.874714,8.624142,8.598747,1
28,46,50,2.874714,22.997712,22.929992,1
28,46,50,2.874714,37.371282,37.261237,1
28,3,50,2.874714,25.872426,25.796241,1
28,3,50,2.874714,20.122998,20.063743,1
28,3,50,2.874714,8.624142,8.598747,1
28,3,50,2.874714,8.624142,8.598747,1
28,23,50,2.874714,17.248284,17.197494,1
28,23,50,2.874714,14.37357,14.331245,1
27,50,50,2.874714,17.248284,17.197494,1
27,50,50,5.749428,22.997712,25.796241,1
27,49,50,8.624142,2.874714,8.598747,1
31,27,50,14.37357,66.118422,117.516209,1
31,27,50,8.624142,5.749428,14.331245,1
31,27,50,11.498856,37.371282,80.254972,1
31,27,50,2.874714,14.37357,14.331245,1
31,27,50,2.874714,20.122998,20.063743,1
31,27,50,2.874714,14.37357,14.331245,1
31,27,50,2.874714,11.498856,11.464996,1
31,27,50,2.874714,20.122998,20.063743,1
32,36,50,2.874714,45.995424,45.859984,1
32,36,50,5.749428,51.744852,94.586217,1
32,36,50,2.874714,11.498856,11.464996,1
32,36,50,2.874714,40.245996,40.127486,1
32,5,50,2.874714,14.37357,14.331245,1
32,5,50,14.37357,63.243708,146.178699,1
32,5,50,11.498856,80.491992,111.783711,1
32,5,50,14.37357,17.248284,45.859984,1
32,5,50,2.874714,22.997712,22.929992,1
32,5,50,2.874714,11.498856,11.464996,1
32,5,50,2.874714,14.37357,14.331245,1
32,5,50,2.874714,22.997712,22.929992,1
32,5,50,11.498856,106.364418,189.172434,1
32,5,50,2.874714,8.624142,8.598747,1
32,5,50,2.874714,8.624142,8.598747,1
32,5,50,2.874714,8.624142,8.598747,1
32,5,50,2.874714,14.37357,14.331245,1
32,5,50,8.624142,5.749428,17.197494,1
32,5,50,11.498856,31.621854,83.121221,1
33,53,50,2.874714,45.995424,45.859984,1
33,53,50,2.874714,8.624142,8.598747,1
33,53,50,2.874714,14.37357,14.331245,1
33,53,50,2.874714,17.248284,17.197494,1
33,53,50,2.874714,17.248284,17.197494,1
32,24,50,2.874714,20.122998,20.063743,1
32,24,50,2.874714,8.624142,8.598747,1
35,51,50,2.874714,11.498856,11.464996,1
35,51,50,2.874714,8.624142,8.598747,1
36,4,50,14.37357,28.74714,94.586217,1
36,4,50,11.498856,66.118422,106.051213,1
36,4,50,14.37357,66.118422,189.172434,1
36,4,50,2.874714,17.248284,17.197494,1
36,4,50,2.874714,17.248284,17.197494,1
36,4,50,2.874714,25.872426,25.796241,1
36,4,50,8.624142,8.624142,17.197494,1
36,4,50,2.874714,8.624142,8.598747,1
36,4,50,2.874714,8.624142,8.598747,1
36,4,50,11.498856,51.744852,106.051213,1
36,4,50,2.874714,20.122998,20.063743,1
35,4,50,2.874714,8.624142,8.598747,1
36,6,50,2.874714,22.997712,22.929992,1
36,6,50,2.874714,14.37357,14.331245,1
38,48,50,2.874714,97.740276,97.452466,1
38,48,50,5.749428,57.49428,74.522474,1
38,41,50,2.874714,43.12071,42.993735,1
38,14,50,11.498856,2.874714,11.464996,1
39,31,50,11.498856,2.874714,11.464996,1
39,31,50,22.997712,2.874714,22.929992,1
39,31,50,11.498856,2.874714,11.464996,1
41,50,50,22.997712,2.874714,22.929992,1
41,50,50,20.122998,2.874714,20.063743,1
41,50,50,20.122998,2.874714,20.063743,1
41,50,50,11.498856,2.874714,11.464996,1
41,50,50,54.619566,5.749428,57.32498,1
41,50,50,22.997712,5.749428,31.528739,1
41,50,50,8.624142,5.749428,17.197494,1
41,50,50,11.498856,2.874714,11.464996,1
41,50,50,14.37357,2.874714,14.331245,1
41,50,50,11.498856,5.749428,17.197494,1
41,50,50,14.37357,2.874714,14.331245,1
41,33,50,8.624142,14.37357,28.66249,1
43,47,50,2.874714,28.74714,28.66249,1
43,47,50,2.874714,11.498856,11.464996,1
43,47,50,2.874714,25.872426,25.796241,1
43,47,50,2.874714,17.248284,17.197494,1
43,47,50,2.874714,8.624142,8.598747,1
43,47,50,11.498856,5.749428,22.929992,1
