[Wafer Information]
Wafer Number,21
Wafer ID,A67-Q336747-402
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,24100638-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/14/2024 01:53
End Time,01/14/2024 01:57
Inspection Time,0:03:26
Photo Time,0:14:53
Data Output Time,01/15/2024 03:38

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling,F82 Top side chipping no damage sensor area
21,A67-Q336747-402,5518,5349,96.937296,169,458,2,10,26,420

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,50,50,11.532816,8.649612,25.948836,4
11,29,50,51.897672,28.83204,389.23254,3
11,29,50,51.744852,22.997712,300.956145,3
20,14,50,17.299224,20.182428,98.028936,2
25,21,50,11.532816,23.065632,80.729712,2
29,36,50,17.299224,20.182428,74.963304,2
29,48,50,14.41602,20.182428,83.612916,2
32,54,50,17.299224,20.182428,100.91214,2
32,50,50,14.41602,17.299224,72.0801,2
37,30,50,14.41602,20.182428,83.612916,2
38,14,50,14.41602,8.649612,34.598448,1
38,14,50,17.248284,11.498856,45.859984,1
41,46,50,17.299224,20.182428,86.49612,2
45,0,50,20.182428,17.299224,89.379324,2
51,52,50,14.41602,20.182428,72.0801,2
50,64,50,17.299224,17.299224,83.612916,2
51,47,50,17.299224,20.182428,83.612916,2
57,21,50,20.182428,17.299224,80.729712,2
61,65,50,8.649612,11.532816,25.948836,4
64,56,50,17.299224,20.182428,89.379324,2
64,38,50,14.41602,20.182428,72.0801,2
66,60,50,17.299224,20.182428,83.612916,2
68,10,50,17.299224,20.182428,92.262528,2
69,24,50,20.182428,17.299224,92.262528,2
71,11,50,17.299224,17.299224,74.963304,2
73,53,50,11.532816,20.182428,63.430488,2
75,50,50,17.299224,23.065632,112.444956,2
79,32,50,28.83204,8.649612,72.0801,1
81,44,50,14.41602,20.182428,72.0801,2
86,37,50,17.299224,20.182428,86.49612,2
86,56,50,17.299224,20.182428,92.262528,2
85,59,50,17.299224,20.182428,77.846508,2
86,44,50,14.41602,11.532816,46.131264,1
86,44,50,20.122998,14.37357,68.789976,1
90,26,50,43.24806,28.83204,294.086808,3
92,47,50,17.299224,20.182428,106.678548,2
6,23,50,83.366706,8.624142,226.433671,3
33,61,50,43.12071,71.86785,782.485977,3
56,12,50,63.243708,11.498856,151.911197,3
74,42,50,63.243708,8.624142,163.376193,3
74,31,50,89.116134,8.624142,183.439936,3
89,50,50,83.366706,8.624142,226.433671,3
103,31,50,77.617278,8.624142,171.97494,3
5,27,50,2.874714,11.498856,11.464996,1
5,27,50,2.874714,8.624142,8.598747,1
5,29,50,11.498856,17.248284,42.993735,1
5,33,50,5.749428,11.498856,17.197494,1
7,47,50,8.624142,5.749428,14.331245,1
11,16,50,2.874714,8.624142,8.598747,1
11,16,50,2.874714,91.990848,91.719968,1
12,16,50,5.749428,43.12071,48.726233,1
12,49,50,8.624142,11.498856,22.929992,1
13,50,50,2.874714,17.248284,17.197494,1
13,50,50,2.874714,17.248284,17.197494,1
13,50,50,2.874714,11.498856,11.464996,1
13,18,50,2.874714,8.624142,8.598747,1
14,11,50,8.624142,54.619566,80.254972,1
15,14,50,5.749428,8.624142,17.197494,1
15,28,50,2.874714,14.37357,14.331245,1
15,28,50,2.874714,22.997712,22.929992,1
15,28,50,2.874714,8.624142,8.598747,1
15,28,50,2.874714,8.624142,8.598747,1
15,28,50,2.874714,17.248284,17.197494,1
17,42,50,2.874714,8.624142,8.598747,1
17,42,50,2.874714,17.248284,17.197494,1
17,42,50,2.874714,28.74714,28.66249,1
17,42,50,2.874714,11.498856,11.464996,1
17,42,50,14.37357,66.118422,154.777446,1
17,42,50,8.624142,8.624142,20.063743,1
17,42,50,5.749428,8.624142,14.331245,1
17,42,50,8.624142,54.619566,83.121221,1
17,42,50,8.624142,54.619566,65.923727,1
16,42,50,5.749428,11.498856,20.063743,1
16,42,50,5.749428,25.872426,51.592482,1
15,46,50,2.874714,8.624142,8.598747,1
16,28,50,2.874714,22.997712,22.929992,1
19,53,50,8.624142,11.498856,28.66249,1
19,36,50,2.874714,40.245996,40.127486,1
24,9,50,5.749428,20.122998,28.66249,1
24,9,50,8.624142,17.248284,37.261237,1
24,9,50,8.624142,8.624142,17.197494,1
24,9,50,5.749428,8.624142,17.197494,1
24,9,50,14.37357,17.248284,37.261237,1
24,9,50,11.498856,17.248284,40.127486,1
24,9,50,5.749428,8.624142,17.197494,1
24,9,50,14.37357,28.74714,80.254972,1
24,9,50,11.498856,17.248284,28.66249,1
24,9,50,11.498856,8.624142,25.796241,1
24,9,50,2.874714,8.624142,8.598747,1
25,9,50,2.874714,8.624142,8.598747,1
25,9,50,5.749428,25.872426,40.127486,1
25,9,50,5.749428,25.872426,31.528739,1
28,60,50,2.874714,14.37357,14.331245,1
28,60,50,2.874714,8.624142,8.598747,1
28,60,50,2.874714,8.624142,8.598747,1
28,60,50,2.874714,8.624142,8.598747,1
28,60,50,2.874714,8.624142,8.598747,1
28,60,50,2.874714,17.248284,17.197494,1
28,44,50,8.624142,2.874714,8.598747,1
32,61,50,2.874714,17.248284,17.197494,1
32,61,50,2.874714,25.872426,25.796241,1
32,61,50,2.874714,8.624142,8.598747,1
32,61,50,2.874714,8.624142,8.598747,1
32,61,50,2.874714,8.624142,8.598747,1
32,61,50,2.874714,11.498856,11.464996,1
32,61,50,2.874714,11.498856,11.464996,1
32,61,50,2.874714,8.624142,8.598747,1
