[Wafer Information]
Wafer Number,21
Wafer ID,A23-Q335961-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100764-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 09:35
End Time,01/20/2024 09:38
Inspection Time,0:03:21
Photo Time,0:03:43
Data Output Time,01/20/2024 11:38

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
21,A23-Q335961-402,5517,5477,99.274968,40,72,66,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,32,50,273.90438,8.649612,804.413916,1
5,32,50,164.342628,8.649612,487.261476,1
13,35,50,123.977772,8.649612,360.4005,1
13,35,50,276.787584,8.649612,807.29712,1
16,53,50,43.24806,8.649612,123.977772,1
19,10,50,273.90438,8.649612,815.946732,1
19,10,50,273.90438,8.649612,818.829936,1
19,10,50,271.021176,8.649612,810.180324,1
20,10,50,46.131264,8.649612,123.977772,1
22,52,50,271.021176,8.649612,807.29712,1
22,52,50,268.137972,8.649612,798.647508,1
22,52,50,123.977772,8.649612,357.517296,1
26,12,50,250.838748,8.649612,729.450612,1
39,33,50,57.66408,11.532816,170.109036,1
37,33,50,69.196896,8.649612,201.82428,1
37,33,50,123.977772,8.649612,371.933316,1
39,53,50,273.90438,8.649612,815.946732,1
42,10,50,57.66408,11.532816,170.109036,1
40,10,50,74.963304,8.649612,224.889912,1
40,10,50,273.90438,8.649612,813.063528,1
40,10,50,123.977772,8.649612,363.283704,1
40,53,50,271.021176,8.649612,813.063528,1
40,53,50,271.021176,8.649612,804.413916,1
40,53,50,126.860976,8.649612,357.517296,1
45,52,50,273.90438,8.649612,784.231488,1
45,52,50,268.137972,8.649612,715.034592,1
50,66,50,80.729712,8.649612,233.539524,1
60,33,50,271.021176,8.649612,810.180324,1
60,33,50,271.021176,8.649612,778.46508,1
60,33,50,123.977772,8.649612,345.98448,1
60,53,50,103.795344,8.649612,271.021176,1
65,38,50,43.24806,25.948836,259.48836,3
64,43,50,83.612916,8.649612,210.473892,1
67,52,50,271.021176,8.649612,813.063528,1
70,11,50,273.90438,8.649612,813.063528,1
70,11,50,273.90438,8.649612,810.180324,1
70,11,50,273.90438,8.649612,810.180324,1
71,11,50,126.860976,8.649612,374.81652,1
77,35,50,80.729712,8.649612,216.2403,1
77,59,50,8.649612,126.860976,363.283704,1
81,34,50,273.90438,8.649612,775.581876,1
81,34,50,273.90438,8.649612,804.413916,1
81,34,50,271.021176,8.649612,804.413916,1
81,34,50,271.021176,8.649612,729.450612,1
82,34,50,268.137972,8.649612,715.034592,1
84,33,50,273.90438,8.649612,766.932264,1
84,33,50,273.90438,8.649612,746.749836,1
84,33,50,273.90438,8.649612,801.530712,1
87,32,50,1098.500724,8.649612,3197.473236,1
90,12,50,273.90438,8.649612,781.348284,1
90,12,50,109.561752,8.649612,325.802052,1
90,52,50,268.137972,8.649612,804.413916,1
90,52,50,268.137972,8.649612,769.815468,1
90,52,50,123.977772,8.649612,345.98448,1
91,52,50,23.065632,8.649612,69.196896,1
91,52,50,268.137972,8.649612,804.413916,1
91,52,50,57.66408,8.649612,158.57622,1
98,35,50,273.90438,8.649612,720.801,1
98,35,50,57.66408,8.649612,161.459424,1
101,34,50,276.787584,8.649612,818.829936,1
101,34,50,276.787584,8.649612,818.829936,1
101,34,50,273.90438,8.649612,815.946732,1
102,34,50,268.137972,8.649612,778.46508,1
15,29,50,8.624142,97.740276,214.968675,3
15,29,50,11.498856,137.986272,335.351133,3
15,29,50,14.37357,60.368994,146.178699,3
15,29,50,11.498856,66.118422,169.108691,3
81,55,50,17.248284,51.744852,151.911197,3
37,35,50,25.872426,5.749428,28.66249,1
69,12,50,22.997712,11.498856,85.98747,1
68,18,50,2.874714,5.749428,5.732498,1
89,26,50,2.874714,5.749428,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
21,A23-Q335961-402,5517,5515,99.963748,2,2,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,32,Pass,273.90438,8.649612,804.413916,1
5,32,Pass,164.342628,8.649612,487.261476,1
13,35,Pass,123.977772,8.649612,360.4005,1
13,35,Pass,276.787584,8.649612,807.29712,1
16,53,Pass,43.24806,8.649612,123.977772,1
19,10,Pass,273.90438,8.649612,815.946732,1
19,10,Pass,273.90438,8.649612,818.829936,1
19,10,Pass,271.021176,8.649612,810.180324,1
20,10,Pass,46.131264,8.649612,123.977772,1
22,52,Pass,271.021176,8.649612,807.29712,1
22,52,Pass,268.137972,8.649612,798.647508,1
22,52,Pass,123.977772,8.649612,357.517296,1
26,12,Pass,250.838748,8.649612,729.450612,1
39,33,Pass,57.66408,11.532816,170.109036,1
37,33,Pass,69.196896,8.649612,201.82428,1
37,33,Pass,123.977772,8.649612,371.933316,1
39,53,Pass,273.90438,8.649612,815.946732,1
42,10,Pass,57.66408,11.532816,170.109036,1
40,10,Pass,74.963304,8.649612,224.889912,1
40,10,Pass,273.90438,8.649612,813.063528,1
40,10,Pass,123.977772,8.649612,363.283704,1
40,53,Pass,271.021176,8.649612,813.063528,1
40,53,Pass,271.021176,8.649612,804.413916,1
40,53,Pass,126.860976,8.649612,357.517296,1
45,52,Pass,273.90438,8.649612,784.231488,1
45,52,Pass,268.137972,8.649612,715.034592,1
50,66,Pass,80.729712,8.649612,233.539524,1
60,33,Pass,271.021176,8.649612,810.180324,1
60,33,Pass,271.021176,8.649612,778.46508,1
60,33,Pass,123.977772,8.649612,345.98448,1
60,53,Pass,103.795344,8.649612,271.021176,1
65,38,50,43.24806,25.948836,259.48836,3
64,43,Pass,83.612916,8.649612,210.473892,1
67,52,Pass,271.021176,8.649612,813.063528,1
70,11,Pass,273.90438,8.649612,813.063528,1
70,11,Pass,273.90438,8.649612,810.180324,1
70,11,Pass,273.90438,8.649612,810.180324,1
71,11,Pass,126.860976,8.649612,374.81652,1
77,35,Pass,80.729712,8.649612,216.2403,1
77,59,Pass,8.649612,126.860976,363.283704,1
81,34,Pass,273.90438,8.649612,775.581876,1
81,34,Pass,273.90438,8.649612,804.413916,1
81,34,Pass,271.021176,8.649612,804.413916,1
81,34,Pass,271.021176,8.649612,729.450612,1
82,34,Pass,268.137972,8.649612,715.034592,1
84,33,Pass,273.90438,8.649612,766.932264,1
84,33,Pass,273.90438,8.649612,746.749836,1
84,33,Pass,273.90438,8.649612,801.530712,1
87,32,Pass,1098.500724,8.649612,3197.473236,1
90,12,Pass,273.90438,8.649612,781.348284,1
90,12,Pass,109.561752,8.649612,325.802052,1
90,52,Pass,268.137972,8.649612,804.413916,1
90,52,Pass,268.137972,8.649612,769.815468,1
90,52,Pass,123.977772,8.649612,345.98448,1
91,52,Pass,23.065632,8.649612,69.196896,1
91,52,Pass,268.137972,8.649612,804.413916,1
91,52,Pass,57.66408,8.649612,158.57622,1
98,35,Pass,273.90438,8.649612,720.801,1
98,35,Pass,57.66408,8.649612,161.459424,1
101,34,Pass,276.787584,8.649612,818.829936,1
101,34,Pass,276.787584,8.649612,818.829936,1
101,34,Pass,273.90438,8.649612,815.946732,1
102,34,Pass,268.137972,8.649612,778.46508,1
15,29,Pass,8.624142,97.740276,214.968675,3
15,29,Pass,11.498856,137.986272,335.351133,3
15,29,Pass,14.37357,60.368994,146.178699,3
15,29,Pass,11.498856,66.118422,169.108691,3
81,55,Pass,17.248284,51.744852,151.911197,3
37,35,Pass,25.872426,5.749428,28.66249,1
69,12,50,22.997712,11.498856,85.98747,1
68,18,Pass,2.874714,5.749428,5.732498,1
89,26,Pass,2.874714,5.749428,5.732498,1

