[Wafer Information]
Wafer Number,25
Wafer ID,A01-Q336635-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101031-002
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/21/2024 08:38
End Time,01/21/2024 08:42
Inspection Time,0:03:22
Photo Time,0:04:45
Data Output Time,01/21/2024 09:44

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder,F06 Incoming others
25,A01-Q336635-402,5518,5467,99.075752,51,67,1,22,43,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,22,50,89.379324,8.649612,265.254768,1
8,22,50,43.24806,17.299224,230.65632,3
5,28,50,49.014468,20.182428,273.90438,3
10,34,50,80.729712,20.182428,493.027884,3
18,18,50,28.83204,43.24806,259.48836,3
18,18,50,34.496568,51.744852,409.873607,3
22,39,50,273.90438,8.649612,818.829936,1
22,39,50,175.875444,8.649612,521.859924,1
22,38,50,273.90438,8.649612,815.946732,1
22,38,50,175.875444,8.649612,524.743128,1
23,20,50,63.430488,20.182428,377.699724,3
23,6,50,149.926608,8.649612,449.779824,1
23,6,50,271.021176,8.649612,810.180324,1
23,6,50,123.977772,8.649612,357.517296,1
25,6,50,54.780876,8.649612,158.57622,1
25,60,50,63.430488,8.649612,187.40826,1
25,60,50,271.021176,11.532816,758.282652,1
25,60,50,273.90438,8.649612,766.932264,1
26,20,50,54.780876,20.182428,325.802052,3
26,60,50,271.021176,8.649612,746.749836,1
32,5,50,43.24806,23.065632,262.371564,3
35,9,50,60.547284,25.948836,394.998948,3
35,41,50,69.196896,25.948836,452.663028,3
36,61,50,273.90438,8.649612,815.946732,1
36,61,50,271.021176,8.649612,813.063528,1
36,61,50,262.371564,8.649612,781.348284,1
37,61,50,28.83204,8.649612,77.846508,1
37,7,50,135.510588,8.649612,406.531764,1
37,7,50,57.66408,8.649612,172.99224,1
42,57,50,135.510588,8.649612,392.115744,1
45,0,50,20.182428,43.24806,256.605156,3
48,41,50,49.014468,20.182428,291.203604,3
48,17,50,57.66408,20.182428,340.218072,3
51,0,50,72.0801,23.065632,452.663028,3
58,23,50,46.131264,23.065632,296.970012,3
59,61,50,54.780876,11.532816,167.225832,1
57,61,50,219.123504,8.649612,654.487308,1
57,61,50,271.021176,8.649612,778.46508,1
57,61,50,126.860976,8.649612,334.451664,1
59,2,50,51.897672,23.065632,320.035644,3
65,38,50,268.137972,8.649612,746.749836,1
67,60,50,54.780876,8.649612,144.1602,1
69,38,50,54.780876,20.182428,296.970012,3
72,48,50,46.131264,20.182428,259.48836,3
78,25,50,14.41602,20.182428,66.313692,2
78,31,50,46.131264,17.299224,236.422728,3
87,38,50,74.963304,23.065632,487.261476,3
88,38,50,262.371564,8.649612,781.348284,1
88,38,50,43.24806,8.649612,123.977772,1
90,48,50,23.065632,8.649612,63.430488,1
95,38,50,74.963304,20.182428,455.546232,3
98,24,50,89.379324,8.649612,247.955544,1
98,24,50,123.977772,8.649612,331.56846,1
100,38,50,57.66408,37.481652,403.64856,3
6,40,50,17.248284,8.624142,40.127486,1
11,30,50,11.498856,2.874714,11.464996,1
19,25,50,5.749428,2.874714,5.732498,1
30,19,50,5.749428,2.874714,5.732498,1
43,67,50,5.749428,8.624142,11.464996,1
43,67,50,11.498856,2.874714,11.464996,1
45,9,50,11.498856,14.37357,20.063743,1
55,24,50,5.749428,2.874714,5.732498,1
61,37,50,2.874714,5.749428,5.732498,1
63,6,50,11.498856,2.874714,11.464996,1
63,28,50,8.624142,2.874714,8.598747,1
81,6,50,2.874714,5.749428,5.732498,1
93,19,50,8.624142,2.874714,8.598747,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder,F06 Incoming others
25,A01-Q336635-402,5518,5492,99.528815,26,29,1,22,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,22,50,89.379324,8.649612,265.254768,1
8,22,50,43.24806,17.299224,230.65632,3
5,28,50,49.014468,20.182428,273.90438,3
10,34,50,80.729712,20.182428,493.027884,3
18,18,50,28.83204,43.24806,259.48836,3
18,18,50,34.496568,51.744852,409.873607,3
22,39,Pass,273.90438,8.649612,818.829936,1
22,39,Pass,175.875444,8.649612,521.859924,1
22,38,Pass,273.90438,8.649612,815.946732,1
22,38,Pass,175.875444,8.649612,524.743128,1
23,20,50,63.430488,20.182428,377.699724,3
23,6,Pass,149.926608,8.649612,449.779824,1
23,6,Pass,271.021176,8.649612,810.180324,1
23,6,Pass,123.977772,8.649612,357.517296,1
25,6,Pass,54.780876,8.649612,158.57622,1
25,60,Pass,63.430488,8.649612,187.40826,1
25,60,Pass,271.021176,11.532816,758.282652,1
25,60,Pass,273.90438,8.649612,766.932264,1
26,20,50,54.780876,20.182428,325.802052,3
26,60,Pass,271.021176,8.649612,746.749836,1
32,5,50,43.24806,23.065632,262.371564,3
35,9,50,60.547284,25.948836,394.998948,3
35,41,50,69.196896,25.948836,452.663028,3
36,61,Pass,273.90438,8.649612,815.946732,1
36,61,Pass,271.021176,8.649612,813.063528,1
36,61,Pass,262.371564,8.649612,781.348284,1
37,61,Pass,28.83204,8.649612,77.846508,1
37,7,Pass,135.510588,8.649612,406.531764,1
37,7,Pass,57.66408,8.649612,172.99224,1
42,57,Pass,135.510588,8.649612,392.115744,1
45,0,50,20.182428,43.24806,256.605156,3
48,41,50,49.014468,20.182428,291.203604,3
48,17,50,57.66408,20.182428,340.218072,3
51,0,50,72.0801,23.065632,452.663028,3
58,23,50,46.131264,23.065632,296.970012,3
59,61,Pass,54.780876,11.532816,167.225832,1
57,61,Pass,219.123504,8.649612,654.487308,1
57,61,Pass,271.021176,8.649612,778.46508,1
57,61,Pass,126.860976,8.649612,334.451664,1
59,2,50,51.897672,23.065632,320.035644,3
65,38,Pass,268.137972,8.649612,746.749836,1
67,60,Pass,54.780876,8.649612,144.1602,1
69,38,50,54.780876,20.182428,296.970012,3
72,48,50,46.131264,20.182428,259.48836,3
78,25,50,14.41602,20.182428,66.313692,2
78,31,50,46.131264,17.299224,236.422728,3
87,38,50,74.963304,23.065632,487.261476,3
88,38,Pass,262.371564,8.649612,781.348284,1
88,38,Pass,43.24806,8.649612,123.977772,1
90,48,Pass,23.065632,8.649612,63.430488,1
95,38,50,74.963304,20.182428,455.546232,3
98,24,Pass,89.379324,8.649612,247.955544,1
98,24,Pass,123.977772,8.649612,331.56846,1
100,38,50,57.66408,37.481652,403.64856,3
