[Wafer Information]
Wafer Number,13
Wafer ID,A07-Q336635-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101031-002
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/21/2024 09:34
End Time,01/21/2024 09:38
Inspection Time,0:03:21
Photo Time,0:05:46
Data Output Time,01/21/2024 10:29

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder
13,A07-Q336635-402,5518,5470,99.13012,48,61,1,18,42

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,47,50,17.299224,23.065632,89.379324,2
14,48,50,43.24806,23.065632,271.021176,3
16,9,50,273.90438,8.649612,807.29712,1
25,26,50,268.137972,8.649612,769.815468,1
27,57,50,57.66408,23.065632,366.166908,3
36,56,50,273.90438,8.649612,815.946732,1
36,56,50,273.90438,8.649612,813.063528,1
36,56,50,271.021176,8.649612,795.764304,1
39,8,50,276.787584,8.649612,824.596344,1
39,41,50,273.90438,8.649612,810.180324,1
39,41,50,155.693016,8.649612,467.079048,1
37,56,50,123.977772,8.649612,360.4005,1
42,37,50,43.24806,17.299224,242.189136,3
43,37,50,49.014468,20.182428,268.137972,3
45,26,50,268.137972,8.649612,715.034592,1
48,33,50,40.364856,31.715244,351.750888,3
57,56,50,268.137972,8.649612,798.647508,1
59,55,50,51.897672,8.649612,135.510588,1
60,8,50,271.021176,8.649612,813.063528,1
60,8,50,271.021176,8.649612,807.29712,1
60,8,50,123.977772,8.649612,363.283704,1
66,10,50,57.66408,8.649612,147.043404,1
66,19,50,170.109036,8.649612,441.130212,1
67,26,50,271.021176,8.649612,712.151388,1
70,40,50,31.715244,34.598448,233.539524,3
71,25,50,184.525056,8.649612,547.80876,1
71,25,50,123.977772,8.649612,360.4005,1
73,25,50,57.66408,8.649612,167.225832,1
74,10,50,271.021176,8.649612,798.647508,1
73,37,50,46.131264,20.182428,285.437196,3
81,37,50,46.131264,25.948836,276.787584,3
87,26,50,57.66408,11.532816,172.99224,1
91,51,50,89.379324,23.065632,562.22478,3
91,36,50,271.021176,8.649612,810.180324,1
94,35,50,271.021176,8.649612,801.530712,1
101,38,50,60.547284,20.182428,351.750888,3
15,48,50,8.624142,57.49428,123.248707,3
81,51,50,31.621854,51.744852,395.542362,3
87,40,50,8.624142,54.619566,114.64996,3
87,40,50,31.621854,192.605838,510.192322,3
97,42,50,11.498856,66.118422,160.509944,3
97,42,50,8.624142,140.860986,326.752386,3
97,42,50,8.624142,86.24142,200.63743,3
97,42,50,17.248284,97.740276,220.701173,3
23,44,50,14.37357,5.749428,22.929992,1
28,53,50,11.498856,11.498856,37.261237,1
31,37,50,8.624142,2.874714,8.598747,1
31,65,50,5.749428,2.874714,5.732498,1
34,61,50,14.37357,17.248284,85.98747,1
46,53,50,11.498856,11.498856,37.261237,1
46,11,50,11.498856,8.624142,25.796241,1
48,5,50,2.874714,25.872426,25.796241,1
56,5,50,2.874714,14.37357,14.331245,1
56,5,50,2.874714,51.744852,51.592482,1
62,55,50,5.749428,5.749428,8.598747,1
66,7,50,5.749428,5.749428,8.598747,1
69,10,50,5.749428,34.496568,37.261237,1
69,10,50,2.874714,14.37357,14.331245,1
73,10,50,5.749428,45.995424,51.592482,1
73,10,50,2.874714,5.749428,5.732498,1
81,6,50,11.498856,5.749428,20.063743,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder
13,A07-Q336635-402,5518,5498,99.63755,20,20,9,11

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,47,50,17.299224,23.065632,89.379324,2
14,48,50,43.24806,23.065632,271.021176,3
16,9,Pass,273.90438,8.649612,807.29712,1
25,26,Pass,268.137972,8.649612,769.815468,1
27,57,50,57.66408,23.065632,366.166908,3
36,56,Pass,273.90438,8.649612,815.946732,1
36,56,Pass,273.90438,8.649612,813.063528,1
36,56,Pass,271.021176,8.649612,795.764304,1
39,8,Pass,276.787584,8.649612,824.596344,1
39,41,Pass,273.90438,8.649612,810.180324,1
39,41,Pass,155.693016,8.649612,467.079048,1
37,56,Pass,123.977772,8.649612,360.4005,1
42,37,50,43.24806,17.299224,242.189136,3
43,37,50,49.014468,20.182428,268.137972,3
45,26,Pass,268.137972,8.649612,715.034592,1
48,33,50,40.364856,31.715244,351.750888,3
57,56,Pass,268.137972,8.649612,798.647508,1
59,55,Pass,51.897672,8.649612,135.510588,1
60,8,Pass,271.021176,8.649612,813.063528,1
60,8,Pass,271.021176,8.649612,807.29712,1
60,8,Pass,123.977772,8.649612,363.283704,1
66,10,Pass,57.66408,8.649612,147.043404,1
