[Wafer Information]
Wafer Number,9
Wafer ID,A09-Q336635-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101031-002
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/21/2024 09:57
End Time,01/21/2024 10:00
Inspection Time,0:03:22
Photo Time,0:05:16
Data Output Time,01/21/2024 10:45

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
9,A09-Q336635-402,5518,5463,99.003262,55,77,55,17,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,46,50,54.780876,8.649612,158.57622,1
5,47,50,271.021176,8.649612,810.180324,1
5,47,50,123.977772,8.649612,325.802052,1
14,25,50,271.021176,14.41602,813.063528,1
14,25,50,273.90438,8.649612,720.801,1
14,25,50,268.137972,8.649612,720.801,1
25,47,50,23.065632,8.649612,69.196896,1
25,47,50,271.021176,8.649612,740.983428,1
24,47,50,43.24806,8.649612,115.32816,1
25,46,50,271.021176,8.649612,761.165856,1
26,46,50,271.021176,8.649612,778.46508,1
28,26,50,60.547284,20.182428,360.4005,3
33,24,50,268.137972,8.649612,729.450612,1
36,25,50,273.90438,8.649612,813.063528,1
36,25,50,273.90438,8.649612,813.063528,1
36,25,50,236.422728,8.649612,703.501776,1
36,8,50,115.32816,23.065632,715.034592,3
37,25,50,54.780876,8.649612,147.043404,1
41,64,50,20.182428,14.41602,86.49612,2
44,0,50,43.24806,20.182428,265.254768,3
47,50,50,123.977772,8.649612,317.15244,1
48,47,50,268.137972,8.649612,700.618572,1
50,26,50,271.021176,8.649612,787.114692,1
56,26,50,54.780876,11.532816,172.99224,1
59,25,50,54.780876,11.532816,164.342628,1
57,25,50,227.773116,8.649612,671.786532,1
58,26,50,271.021176,8.649612,758.282652,1
57,60,50,57.66408,20.182428,348.867684,3
61,28,50,112.444956,8.649612,320.035644,1
61,49,50,83.612916,8.649612,216.2403,1
66,37,50,170.109036,8.649612,438.247008,1
65,24,50,383.466132,394.998948,12345.879528,2
65,24,50,28.83204,328.685256,2545.869132,2
65,24,50,383.466132,400.765356,18276.630156,2
65,24,50,380.582928,123.977772,9791.360784,2
65,24,50,5.749428,71.86785,143.31245,3
66,50,50,57.66408,8.649612,149.926608,1
68,59,50,17.299224,8.649612,43.24806,1
68,59,50,8.624142,2.874714,8.598747,1
69,46,50,271.021176,8.649612,755.399448,1
70,46,50,271.021176,8.649612,798.647508,1
70,46,50,271.021176,8.649612,807.29712,1
70,46,50,158.57622,8.649612,461.31264,1
77,29,50,11.532816,8.649612,31.715244,1
79,18,50,25.948836,8.649612,63.430488,1
79,26,50,273.90438,8.649612,712.151388,1
79,26,50,271.021176,8.649612,755.399448,1
79,26,50,268.137972,8.649612,749.63304,1
87,48,50,273.90438,8.649612,815.946732,1
87,48,50,273.90438,8.649612,810.180324,1
87,48,50,149.926608,8.649612,444.013416,1
89,17,50,54.780876,23.065632,325.802052,3
88,47,50,224.889912,8.649612,640.071288,1
101,25,50,271.021176,8.649612,810.180324,1
101,26,50,273.90438,8.649612,815.946732,1
101,26,50,273.90438,8.649612,813.063528,1
101,26,50,273.90438,8.649612,807.29712,1
15,52,50,17.248284,330.59211,805.415969,3
15,52,50,22.997712,330.59211,905.734684,3
15,52,50,17.248284,330.59211,940.129672,3
15,52,50,20.122998,321.967968,848.409704,3
50,7,50,43.12071,54.619566,544.58731,3
62,48,50,8.624142,68.993136,151.911197,3
75,44,50,20.122998,60.368994,166.242442,3
73,40,50,14.37357,80.491992,200.63743,3
76,44,50,8.624142,71.86785,171.97494,3
77,44,50,8.624142,89.116134,206.369928,3
98,36,50,25.872426,54.619566,257.96241,3
6,37,50,25.872426,14.37357,57.32498,1
22,17,50,5.749428,2.874714,5.732498,1
28,4,50,37.371282,5.749428,40.127486,1
46,5,50,14.37357,8.624142,28.66249,1
58,0,50,5.749428,2.874714,5.732498,1
62,22,50,8.624142,2.874714,8.598747,1
66,7,50,5.749428,5.749428,8.598747,1
78,49,50,11.498856,8.624142,22.929992,1
95,29,50,8.624142,8.624142,20.063743,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
9,A09-Q336635-402,5518,5502,99.71004,16,17,6,11

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,46,Pass,54.780876,8.649612,158.57622,1
5,47,Pass,271.021176,8.649612,810.180324,1
5,47,Pass,123.977772,8.649612,325.802052,1
14,25,Pass,271.021176,14.41602,813.063528,1
14,25,Pass,273.90438,8.649612,720.801,1
14,25,Pass,268.137972,8.649612,720.801,1
25,47,Pass,23.065632,8.649612,69.196896,1
25,47,Pass,271.021176,8.649612,740.983428,1
24,47,Pass,43.24806,8.649612,115.32816,1
25,46,Pass,271.021176,8.649612,761.165856,1
26,46,Pass,271.021176,8.649612,778.46508,1
