[Wafer Information]
Wafer Number,21
Wafer ID,A03-Q337422-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101058-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/18/2024 10:31
End Time,01/18/2024 10:35
Inspection Time,0:03:21
Photo Time,0:00:00
Data Output Time,01/19/2024 12:22

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
21,A03-Q337422-402,5518,5469,99.111997,49,68,57,6,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,40,50,57.66408,11.532816,170.109036,1
2,34,50,28.83204,8.649612,77.846508,1
2,34,50,25.948836,8.649612,66.313692,1
3,40,50,271.021176,8.649612,720.801,1
3,40,50,268.137972,8.649612,738.100224,1
3,40,50,60.547284,11.532816,178.758648,1
4,40,50,273.90438,8.649612,815.946732,1
4,40,50,273.90438,8.649612,804.413916,1
4,40,50,126.860976,8.649612,351.750888,1
4,32,50,80.729712,8.649612,210.473892,1
8,40,50,8.649612,155.693016,418.06458,1
8,40,50,8.649612,60.547284,149.926608,1
10,29,50,46.131264,25.948836,305.619624,3
10,33,50,17.299224,25.948836,109.561752,2
13,17,50,1571.34618,8.649612,4624.659216,1
14,20,50,271.021176,8.649612,798.647508,1
16,21,50,198.941076,8.649612,593.940024,1
22,41,50,57.66408,11.532816,167.225832,1
20,41,50,123.977772,8.649612,366.166908,1
25,40,50,271.021176,8.649612,798.647508,1
25,40,50,268.137972,8.649612,729.450612,1
25,40,50,123.977772,8.649612,325.802052,1
30,19,50,271.021176,8.649612,810.180324,1
30,19,50,271.021176,8.649612,807.29712,1
32,27,50,74.963304,8.649612,204.707484,1
36,20,50,276.787584,8.649612,815.946732,1
36,20,50,273.90438,8.649612,815.946732,1
36,21,50,271.021176,8.649612,792.8811,1
36,21,50,271.021176,8.649612,810.180324,1
37,21,50,271.021176,8.649612,752.516244,1
37,21,50,123.977772,8.649612,328.685256,1
40,25,50,219.123504,8.649612,553.575168,1
40,23,50,271.021176,8.649612,717.917796,1
43,6,50,83.612916,8.649612,224.889912,1
43,64,50,198.941076,8.649612,550.691964,1
43,41,50,265.254768,8.649612,792.8811,1
43,41,50,271.021176,8.649612,766.932264,1
44,21,50,54.780876,8.649612,161.459424,1
44,21,50,123.977772,11.532816,360.4005,1
45,2,50,17.299224,20.182428,92.262528,2
44,6,50,83.612916,8.649612,242.189136,1
45,40,50,54.780876,8.649612,144.1602,1
48,67,50,271.021176,8.649612,717.917796,1
50,18,50,1372.405104,8.649612,4013.419968,1
50,19,50,57.66408,11.532816,170.109036,1
51,1,50,83.612916,20.182428,518.97672,3
51,19,50,54.780876,11.532816,164.342628,1
53,38,50,17.299224,17.299224,83.612916,2
55,62,50,34.598448,37.481652,345.98448,3
56,23,50,20.182428,14.41602,80.729712,2
57,20,50,271.021176,8.649612,792.8811,1
64,41,50,273.90438,8.649612,732.333816,1
64,41,50,271.021176,8.649612,775.581876,1
64,41,50,271.021176,8.649612,775.581876,1
64,41,50,271.021176,8.649612,715.034592,1
70,65,50,57.66408,11.532816,161.459424,1
73,19,50,170.109036,8.649612,504.5607,1
71,18,50,34.598448,8.649612,103.795344,1
72,61,50,54.780876,25.948836,357.517296,3
74,19,50,271.021176,8.649612,810.180324,1
74,19,50,271.021176,8.649612,813.063528,1
74,19,50,123.977772,8.649612,360.4005,1
77,23,50,40.364856,28.83204,296.970012,3
78,6,50,43.24806,20.182428,242.189136,3
81,20,50,54.780876,11.532816,167.225832,1
87,12,50,83.612916,8.649612,216.2403,1
94,36,50,17.299224,20.182428,86.49612,2
96,19,50,273.90438,8.649612,789.997896,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
21,A03-Q337422-402,5518,5512,99.891265,6,6,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,40,Pass,57.66408,11.532816,170.109036,1
2,34,Pass,28.83204,8.649612,77.846508,1
2,34,Pass,25.948836,8.649612,66.313692,1
3,40,Pass,271.021176,8.649612,720.801,1
3,40,Pass,268.137972,8.649612,738.100224,1
3,40,Pass,60.547284,11.532816,178.758648,1
4,40,Pass,273.90438,8.649612,815.946732,1
4,40,Pass,273.90438,8.649612,804.413916,1
4,40,Pass,126.860976,8.649612,351.750888,1
4,32,Pass,80.729712,8.649612,210.473892,1
8,40,Pass,8.649612,155.693016,418.06458,1
8,40,Pass,8.649612,60.547284,149.926608,1
10,29,50,46.131264,25.948836,305.619624,3
10,33,Pass,17.299224,25.948836,109.561752,2
13,17,Pass,1571.34618,8.649612,4624.659216,1
14,20,Pass,271.021176,8.649612,798.647508,1
16,21,Pass,198.941076,8.649612,593.940024,1
22,41,Pass,57.66408,11.532816,167.225832,1
20,41,Pass,123.977772,8.649612,366.166908,1
25,40,Pass,271.021176,8.649612,798.647508,1
25,40,Pass,268.137972,8.649612,729.450612,1
25,40,Pass,123.977772,8.649612,325.802052,1
30,19,Pass,271.021176,8.649612,810.180324,1
30,19,Pass,271.021176,8.649612,807.29712,1
32,27,Pass,74.963304,8.649612,204.707484,1
36,20,Pass,276.787584,8.649612,815.946732,1
36,20,Pass,273.90438,8.649612,815.946732,1
36,21,Pass,271.021176,8.649612,792.8811,1
36,21,Pass,271.021176,8.649612,810.180324,1
37,21,Pass,271.021176,8.649612,752.516244,1
37,21,Pass,123.977772,8.649612,328.685256,1
40,25,Pass,219.123504,8.649612,553.575168,1
40,23,Pass,271.021176,8.649612,717.917796,1
43,6,Pass,83.612916,8.649612,224.889912,1
43,64,Pass,198.941076,8.649612,550.691964,1
43,41,Pass,265.254768,8.649612,792.8811,1
43,41,Pass,271.021176,8.649612,766.932264,1
44,21,Pass,54.780876,8.649612,161.459424,1
44,21,Pass,123.977772,11.532816,360.4005,1
45,2,Pass,17.299224,20.182428,92.262528,2
44,6,Pass,83.612916,8.649612,242.189136,1
45,40,Pass,54.780876,8.649612,144.1602,1
48,67,Pass,271.021176,8.649612,717.917796,1
50,18,Pass,1372.405104,8.649612,4013.419968,1
50,19,Pass,57.66408,11.532816,170.109036,1
51,1,50,83.612916,20.182428,518.97672,3
51,19,Pass,54.780876,11.532816,164.342628,1
53,38,Pass,17.299224,17.299224,83.612916,2
55,62,50,34.598448,37.481652,345.98448,3
