[Wafer Information]
Wafer Number,9
Wafer ID,A64-Q337422-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101076-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/21/2024 02:02
End Time,01/21/2024 02:05
Inspection Time,0:03:21
Photo Time,0:04:12
Data Output Time,01/21/2024 05:29

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others
9,A64-Q337422-402,5518,5449,98.749547,69,82,28,53,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,35,50,69.196896,20.182428,412.298172,3
5,44,50,271.021176,8.649612,810.180324,1
5,44,50,271.021176,8.649612,764.04906,1
5,44,50,112.444956,8.649612,320.035644,1
9,36,50,83.612916,23.065632,521.859924,3
17,59,50,11.532816,8.649612,34.598448,1
17,56,50,11.532816,8.649612,31.715244,1
16,46,50,46.131264,23.065632,265.254768,3
20,45,50,273.90438,8.649612,723.684204,1
20,45,50,271.021176,8.649612,740.983428,1
20,45,50,57.66408,11.532816,175.875444,1
20,45,50,72.0801,8.649612,216.2403,1
20,47,50,63.430488,20.182428,363.283704,3
21,20,50,60.547284,34.598448,449.779824,3
24,51,50,57.66408,23.065632,337.334868,3
23,62,50,92.262528,23.065632,544.925556,3
28,44,50,271.021176,8.649612,766.932264,1
28,3,50,11.532816,20.182428,60.547284,1
31,23,50,54.780876,8.649612,155.693016,1
31,35,50,69.196896,20.182428,394.998948,3
33,4,50,49.014468,23.065632,294.086808,3
36,23,50,72.0801,23.065632,458.429436,3
39,22,50,273.90438,8.649612,818.829936,1
39,22,50,89.379324,8.649612,268.137972,1
38,27,50,31.715244,37.481652,285.437196,3
40,4,50,46.131264,25.948836,299.853216,3
41,18,50,46.131264,23.065632,271.021176,3
40,22,50,175.875444,8.649612,478.611864,1
41,63,50,51.897672,23.065632,317.15244,3
42,18,50,74.963304,23.065632,490.14468,3
42,52,50,46.131264,23.065632,282.553992,3
42,45,50,271.021176,8.649612,784.231488,1
44,25,50,57.66408,20.182428,331.56846,3
44,45,50,77.846508,11.532816,224.889912,1
44,37,50,83.612916,11.532816,242.189136,1
47,43,50,268.137972,8.649612,694.852164,1
48,23,50,271.021176,8.649612,752.516244,1
49,23,50,273.90438,8.649612,732.333816,1
50,33,50,80.729712,8.649612,213.357096,1
51,27,50,46.131264,23.065632,262.371564,3
58,29,50,43.24806,25.948836,279.670788,3
56,30,50,74.963304,23.065632,498.794292,3
57,26,50,60.547284,43.24806,622.772064,3
59,6,50,57.66408,20.182428,337.334868,3
61,53,50,51.897672,20.182428,314.269236,3
61,58,50,46.131264,8.649612,132.627384,1
61,46,50,89.379324,8.649612,268.137972,1
62,11,50,46.131264,17.299224,247.955544,3
66,43,50,273.90438,8.649612,726.567408,1
66,43,50,273.90438,8.649612,715.034592,1
67,43,50,271.021176,8.649612,810.180324,1
68,23,50,271.021176,8.649612,784.231488,1
71,44,50,271.021176,8.649612,720.801,1
71,44,50,126.860976,11.532816,377.699724,1
71,44,50,98.028936,8.649612,294.086808,1
71,41,50,43.24806,20.182428,256.605156,3
73,10,50,89.379324,8.649612,247.955544,1
73,44,50,54.780876,11.532816,187.40826,1
75,35,50,77.846508,23.065632,501.677496,3
74,20,50,57.66408,23.065632,389.23254,3
82,22,50,54.780876,8.649612,147.043404,1
81,46,50,57.66408,8.649612,149.926608,1
84,22,50,271.021176,8.649612,778.46508,1
85,10,50,51.897672,23.065632,314.269236,3
87,41,50,1075.435092,8.649612,3079.261872,1
89,23,50,25.948836,14.41602,92.262528,2
90,32,50,175.875444,8.649612,490.14468,1
90,32,50,34.598448,8.649612,95.145732,1
88,43,50,109.561752,8.649612,325.802052,1
88,43,50,123.977772,8.649612,360.4005,1
93,44,50,273.90438,8.649612,746.749836,1
95,21,50,271.021176,8.649612,752.516244,1
96,21,50,273.90438,8.649612,775.581876,1
96,21,50,271.021176,8.649612,787.114692,1
96,21,50,268.137972,8.649612,740.983428,1
20,59,50,14.37357,2.874714,14.331245,1
40,35,50,25.872426,2.874714,25.796241,1
