[Wafer Information]
Wafer Number,15
Wafer ID,A75-Q334273-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101158006
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/22/2024 03:24
End Time,01/22/2024 03:28
Inspection Time,0:03:21
Photo Time,0:03:44
Data Output Time,01/22/2024 03:51

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
15,A75-Q334273-403,2060,2042,99.126214,18,24,11,13

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
16,21,50,80.729712,8.649612,224.889912,1
16,24,50,271.021176,8.649612,807.29712,1
16,24,50,178.758648,8.649612,498.794292,1
23,13,50,271.021176,8.649612,807.29712,1
23,13,50,57.66408,8.649612,161.459424,1
29,24,50,51.897672,28.83204,343.101276,3
32,2,50,54.780876,20.182428,325.802052,3
42,12,50,54.780876,11.532816,161.459424,1
45,20,50,37.481652,28.83204,271.021176,3
53,13,50,51.897672,25.948836,305.619624,3
60,13,50,273.90438,8.649612,775.581876,1
63,20,50,37.481652,37.481652,328.685256,3
67,13,50,54.780876,28.83204,360.4005,3
73,10,50,905.326056,8.649612,2643.898068,1
81,13,50,57.66408,8.649612,149.926608,1
87,12,50,92.262528,8.649612,273.90438,1
1,27,50,8.624142,51.744852,108.917462,3
1,27,50,11.498856,60.368994,169.108691,3
1,27,50,8.624142,77.617278,177.707438,3
9,27,50,8.624142,63.243708,128.981205,3
12,15,50,8.624142,54.619566,128.981205,3
12,15,50,8.624142,109.239132,226.433671,3
12,15,50,8.624142,71.86785,169.108691,3
23,24,50,2.874714,22.997712,22.929992,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
15,A75-Q334273-403,2060,2054,99.708738,6,6,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
16,21,Pass,80.729712,8.649612,224.889912,1
16,24,Pass,271.021176,8.649612,807.29712,1
16,24,Pass,178.758648,8.649612,498.794292,1
23,13,Pass,271.021176,8.649612,807.29712,1
23,13,Pass,57.66408,8.649612,161.459424,1
29,24,50,51.897672,28.83204,343.101276,3
32,2,50,54.780876,20.182428,325.802052,3
42,12,Pass,54.780876,11.532816,161.459424,1
45,20,50,37.481652,28.83204,271.021176,3
53,13,50,51.897672,25.948836,305.619624,3
60,13,Pass,273.90438,8.649612,775.581876,1
63,20,50,37.481652,37.481652,328.685256,3
67,13,50,54.780876,28.83204,360.4005,3
73,10,Pass,905.326056,8.649612,2643.898068,1
81,13,Pass,57.66408,8.649612,149.926608,1
87,12,Pass,92.262528,8.649612,273.90438,1
1,27,Pass,8.624142,51.744852,108.917462,3
1,27,Pass,11.498856,60.368994,169.108691,3
1,27,Pass,8.624142,77.617278,177.707438,3
9,27,Pass,8.624142,63.243708,128.981205,3
12,15,Pass,8.624142,54.619566,128.981205,3
12,15,Pass,8.624142,109.239132,226.433671,3
12,15,Pass,8.624142,71.86785,169.108691,3
23,24,Pass,2.874714,22.997712,22.929992,1

