[Wafer Information]
Wafer Number,7
Wafer ID,A100-Q336300-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101170-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/30/2024 09:01
End Time,01/30/2024 09:04
Inspection Time,0:03:21
Photo Time,0:15:11
Data Output Time,01/30/2024 09:24

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
7,A100-Q336300-403,4631,4567,98.618009,64,273,247,1,25

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,36,50,54.780876,8.649612,149.926608,1
6,36,50,271.021176,8.649612,755.399448,1
10,49,50,31.715244,34.598448,253.721952,2
12,34,50,86.49612,23.065632,521.859924,3
20,43,50,43.24806,20.182428,236.422728,3
22,27,50,43.24806,20.182428,242.189136,3
22,18,50,66.313692,20.182428,377.699724,3
25,39,50,72.0801,23.065632,432.4806,3
28,29,50,63.430488,23.065632,403.64856,3
30,35,50,57.66408,23.065632,371.933316,3
39,18,50,69.196896,23.065632,418.06458,3
40,26,50,72.0801,23.065632,441.130212,3
42,39,50,43.24806,23.065632,268.137972,3
42,23,50,51.897672,23.065632,317.15244,3
48,21,50,66.313692,23.065632,438.247008,3
54,26,50,51.897672,23.065632,294.086808,3
56,21,50,273.90438,8.649612,815.946732,1
56,21,50,118.211364,8.649612,348.867684,1
55,10,50,74.963304,20.182428,444.013416,3
56,35,50,273.90438,8.649612,813.063528,1
56,35,50,100.91214,8.649612,296.970012,1
57,0,50,77.846508,23.065632,458.429436,3
59,28,50,43.24806,23.065632,265.254768,3
64,12,50,72.0801,20.182428,420.947784,3
70,20,50,273.90438,8.649612,792.8811,1
70,20,50,273.90438,8.649612,807.29712,1
70,20,50,245.07234,8.649612,723.684204,1
71,25,50,46.131264,23.065632,311.386032,3
75,18,50,46.131264,17.299224,247.955544,3
75,28,50,49.014468,23.065632,305.619624,3
76,24,50,40.364856,23.065632,242.189136,3
78,18,50,51.897672,23.065632,305.619624,3
83,42,50,17.299224,8.649612,49.014468,1
82,32,50,54.780876,17.299224,314.269236,3
86,35,50,46.131264,40.364856,369.050112,3
88,38,50,57.66408,8.649612,149.926608,1
77,24,50,40.245996,45.995424,424.204852,3
5,29,50,28.74714,454.204812,4525.807171,1
5,29,50,34.496568,28.74714,312.421141,1
5,29,50,28.74714,28.74714,246.497414,1
5,29,50,28.74714,1742.076684,17122.971526,1
5,29,50,28.74714,758.924496,7366.25993,1
5,29,50,28.74714,28.74714,263.694908,1
5,29,50,22.997712,28.74714,220.701173,1
5,29,50,28.74714,1345.366152,13414.04532,1
5,27,50,28.74714,819.29349,8168.80965,1
5,27,50,28.74714,28.74714,246.497414,1
5,27,50,37.371282,28.74714,321.019888,1
5,27,50,22.997712,28.74714,229.29992,1
5,27,50,28.74714,28.74714,252.229912,1
5,27,50,28.74714,2863.215144,28547.84004,1
5,27,50,28.74714,1029.147612,10261.17142,1
20,21,50,2.874714,11.498856,11.464996,1
21,21,50,2.874714,5.749428,5.732498,1
23,21,50,2.874714,5.749428,5.732498,1
25,21,50,2.874714,5.749428,5.732498,1
25,21,50,2.874714,8.624142,8.598747,1
38,28,50,2.874714,5.749428,5.732498,1
43,18,50,2.874714,22.997712,22.929992,1
43,18,50,2.874714,8.624142,8.598747,1
54,31,50,2.874714,5.749428,5.732498,1
61,18,50,5.749428,25.872426,42.993735,1
61,3,50,2.874714,11.498856,11.464996,1
91,39,50,22.997712,28.74714,189.172434,1
91,39,50,31.621854,28.74714,243.631165,1
91,39,50,28.74714,899.785482,8962.760623,1
91,39,50,28.74714,1489.101852,14841.437322,1
91,39,50,28.74714,957.279762,9541.742921,1
91,39,50,28.74714,382.336962,3812.11117,1
91,39,50,28.74714,370.838106,3688.862463,1
91,39,50,34.496568,28.74714,326.752386,1
91,39,50,34.496568,28.74714,289.491149,1
91,39,50,28.74714,626.687652,6248.42282,1
91,39,50,28.74714,1704.705402,16939.53159,1
91,39,50,28.74714,2342.89191,23359.92935,1
91,39,50,28.74714,727.302642,7191.418741,1
91,34,50,28.74714,2.874714,28.66249,1
91,34,50,28.74714,1698.955974,16887.939108,1
91,34,50,28.74714,2342.89191,23357.063101,1
91,34,50,28.74714,721.553214,7174.221247,1
91,34,50,31.621854,28.74714,257.96241,1
91,34,50,31.621854,28.74714,266.561157,1
91,34,50,25.872426,28.74714,223.567422,1
91,34,50,546.19566,28.74714,2201.279232,1
91,34,50,229.97712,22.997712,897.135937,1
91,34,50,28.74714,899.785482,8959.894374,1
91,34,50,28.74714,1512.099564,15053.539748,1
91,37,50,31.621854,28.74714,263.694908,1
91,37,50,730.177356,28.74714,6629.633937,1
91,37,50,28.74714,899.785482,8971.35937,1
91,37,50,28.74714,1043.521182,10390.152625,1
91,37,50,28.74714,572.068086,5686.638016,1
91,37,50,28.74714,710.054358,7062.437536,1
91,37,50,227.102406,721.553214,7690.146067,1
91,37,50,31.621854,28.74714,280.892402,1
91,37,50,25.872426,28.74714,255.096161,1
91,37,50,28.74714,1698.955974,16885.072859,1
91,37,50,28.74714,2342.89191,23359.92935,1
91,52,50,25.872426,28.74714,226.433671,1
91,52,50,669.808362,28.74714,5153.515702,1
91,52,50,28.74714,238.601262,2378.98667,1
91,52,50,120.737988,2443.5069,24047.82911,1
91,52,50,28.74714,2342.89191,23357.063101,1
91,52,50,31.621854,28.74714,303.822394,1
91,52,50,31.621854,28.74714,275.159904,1
91,52,50,5.749428,2.874714,5.732498,1
91,52,50,28.74714,899.785482,8971.35937,1
91,52,50,28.74714,2403.260904,23592.095519,1
91,52,50,28.74714,1926.05838,19203.8683,1
92,50,50,28.74714,45.995424,458.59984,1
92,50,50,28.74714,2342.89191,23359.92935,1
92,50,50,28.74714,899.785482,8971.35937,1
92,50,50,28.74714,1537.97199,15334.43215,1
92,50,50,28.74714,1716.204258,16993.990321,1
92,50,50,28.74714,735.926784,7245.877472,1
92,50,50,733.05207,31.621854,4259.246014,1
92,50,50,25.872426,28.74714,203.503679,1
92,50,50,63.243708,5.749428,71.656225,1
92,50,50,48.870138,2.874714,48.726233,1
92,50,50,86.24142,2.874714,85.98747,1
91,47,50,25.872426,28.74714,257.96241,1
91,47,50,22.997712,28.74714,189.172434,1
91,47,50,28.74714,899.785482,8971.35937,1
91,47,50,28.74714,1721.953686,17045.582803,1
91,47,50,28.74714,2342.89191,23348.464354,1
91,47,50,28.74714,744.550926,7303.202452,1
91,47,50,40.245996,28.74714,372.61237,1
91,47,50,31.621854,28.74714,240.764916,1
91,47,50,28.74714,1880.062956,18745.26846,1
91,47,50,28.74714,721.553214,7068.170034,1
91,47,50,28.74714,796.295778,7939.50973,1
91,45,50,22.997712,28.74714,209.236177,1
91,45,50,28.74714,28.74714,255.096161,1
91,45,50,28.74714,899.785482,8971.35937,1
91,45,50,28.74714,1704.705402,16936.665341,1
91,45,50,28.74714,2104.290648,20980.94268,1
91,45,50,28.74714,505.949664,4990.139509,1
91,45,50,28.74714,1049.27061,10401.617621,1
91,45,50,28.74714,2219.279208,22107.378537,1
91,45,50,28.74714,730.177356,7202.883737,1
91,45,50,22.997712,28.74714,203.503679,1
91,45,50,31.621854,28.74714,309.554892,1
91,45,50,5.749428,2.874714,5.732498,1
91,45,50,11.498856,2.874714,11.464996,1
91,45,50,28.74714,419.708244,4164.659797,1
95,48,50,28.74714,1121.13846,11092.38363,1
95,48,50,28.74714,735.926784,7225.813729,1
95,48,50,37.371282,28.74714,343.94988,1
95,48,50,34.496568,28.74714,312.421141,1
95,48,50,34.496568,28.74714,315.28739,1
95,48,50,25.872426,28.74714,209.236177,1
95,48,50,28.74714,1716.204258,16988.257823,1
95,48,50,28.74714,451.330098,4399.692215,1
95,47,50,34.496568,28.74714,280.892402,1
95,47,50,20.122998,28.74714,163.376193,1
95,47,50,28.74714,882.537198,8785.053185,1
95,47,50,28.74714,741.676212,7254.476219,1
95,47,50,37.371282,28.74714,329.618635,1
95,47,50,20.122998,28.74714,192.038683,1
