[Wafer Information]
Wafer Number,21
Wafer ID,A93-Q336300-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101170-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/30/2024 07:04
End Time,01/30/2024 07:07
Inspection Time,0:03:22
Photo Time,0:05:19
Data Output Time,01/30/2024 07:40

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
21,A93-Q336300-403,5518,5456,98.876404,62,87,37,50

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,39,50,46.131264,23.065632,271.021176,3
9,48,50,271.021176,8.649612,810.180324,1
9,48,50,271.021176,8.649612,766.932264,1
9,48,50,123.977772,8.649612,328.685256,1
13,16,50,43.24806,25.948836,285.437196,3
12,18,50,51.897672,23.065632,337.334868,3
18,59,50,46.131264,23.065632,334.451664,3
19,50,50,273.90438,8.649612,784.231488,1
19,50,50,271.021176,8.649612,789.997896,1
19,50,50,224.889912,8.649612,671.786532,1
19,29,50,268.137972,8.649612,720.801,1
20,38,50,106.678548,25.948836,712.151388,3
22,49,50,273.90438,8.649612,810.180324,1
22,49,50,103.795344,8.649612,302.73642,1
23,49,50,210.473892,8.649612,628.538472,1
23,49,50,268.137972,8.649612,752.516244,1
23,30,50,98.028936,23.065632,582.407208,3
23,34,50,89.379324,20.182428,527.626332,3
25,28,50,54.780876,11.532816,161.459424,1
26,56,50,89.379324,8.649612,222.006708,1
25,36,50,98.028936,23.065632,622.772064,3
26,28,50,271.021176,8.649612,804.413916,1
26,28,50,268.137972,8.649612,697.735368,1
29,4,50,271.021176,8.649612,798.647508,1
30,58,50,83.612916,8.649612,233.539524,1
37,6,50,86.49612,23.065632,524.743128,3
39,5,50,54.780876,8.649612,155.693016,1
39,62,50,66.313692,20.182428,380.582928,3
42,6,50,184.525056,8.649612,550.691964,1
42,29,50,54.780876,8.649612,149.926608,1
47,16,50,86.49612,23.065632,504.5607,3
47,65,50,83.612916,23.065632,495.911088,3
47,48,50,28.83204,8.649612,83.612916,1
47,48,50,123.977772,11.532816,334.451664,1
51,53,50,43.24806,17.299224,239.305932,3
51,12,50,118.211364,23.065632,769.815468,3
53,4,50,271.021176,8.649612,715.034592,1
56,5,50,54.780876,11.532816,164.342628,1
56,3,50,273.90438,8.649612,801.530712,1
56,3,50,268.137972,8.649612,801.530712,1
55,15,50,69.196896,23.065632,452.663028,3
54,60,50,46.131264,20.182428,250.838748,3
57,3,50,46.131264,8.649612,138.393792,1
57,3,50,271.021176,8.649612,789.997896,1
57,3,50,126.860976,8.649612,360.4005,1
57,5,50,271.021176,8.649612,795.764304,1
57,5,50,57.66408,8.649612,144.1602,1
58,15,50,43.24806,23.065632,288.3204,3
60,32,50,49.014468,23.065632,294.086808,3
66,59,50,80.729712,8.649612,204.707484,1
67,6,50,54.780876,8.649612,144.1602,1
66,57,50,83.612916,23.065632,542.042352,3
74,60,50,43.24806,8.649612,123.977772,1
83,46,50,80.729712,8.649612,236.422728,1
80,43,50,92.262528,23.065632,565.107984,3
81,47,50,273.90438,8.649612,775.581876,1
81,47,50,57.66408,11.532816,167.225832,1
87,27,50,273.90438,8.649612,810.180324,1
87,27,50,271.021176,8.649612,807.29712,1
