[Wafer Information]
Wafer Number,5
Wafer ID,A43-Q336300-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101173-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/24/2024 03:10
End Time,01/24/2024 03:13
Inspection Time,0:03:20
Photo Time,0:02:28
Data Output Time,01/24/2024 04:07

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling
5,A43-Q336300-403,1358,1344,98.969072,14,33,16,17

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
13,17,50,268.137972,8.649612,804.413916,1
13,17,50,175.875444,8.649612,521.859924,1
22,16,50,271.021176,8.649612,729.450612,1
23,16,50,236.422728,8.649612,706.38498,1
23,16,50,268.137972,8.649612,752.516244,1
23,16,50,57.66408,8.649612,155.693016,1
39,15,50,245.07234,8.649612,709.268184,1
47,16,50,271.021176,8.649612,813.063528,1
47,16,50,271.021176,8.649612,810.180324,1
47,16,50,271.021176,8.649612,810.180324,1
47,16,50,89.379324,8.649612,265.254768,1
71,16,50,51.897672,8.649612,152.809812,1
71,16,50,271.021176,8.649612,798.647508,1
71,16,50,123.977772,8.649612,351.750888,1
73,16,50,54.780876,8.649612,152.809812,1
84,15,50,1210.94568,8.649612,3609.771408,1
16,9,50,11.498856,54.619566,134.713703,3
19,13,50,22.997712,149.485128,364.013623,3
26,18,50,11.498856,195.480552,464.332338,3
26,18,50,8.624142,198.355266,513.058571,3
26,18,50,8.624142,123.612702,355.414876,3
26,18,50,11.498856,97.740276,300.956145,3
26,18,50,14.37357,74.742564,183.439936,3
26,18,50,8.624142,71.86785,183.439936,3
76,19,50,20.122998,60.368994,183.439936,3
76,19,50,8.624142,57.49428,157.643695,3
76,19,50,11.498856,155.234556,412.739856,3
76,19,50,11.498856,68.993136,197.771181,3
76,19,50,8.624142,166.733412,378.344868,3
76,19,50,11.498856,89.116134,212.102426,3
77,19,50,8.624142,135.111558,300.956145,3
97,19,50,20.122998,91.990848,252.229912,3
97,19,50,8.624142,63.243708,169.108691,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling
5,A43-Q336300-403,1358,1358,100,0,0,0

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
13,17,Pass,268.137972,8.649612,804.413916,1
13,17,Pass,175.875444,8.649612,521.859924,1
22,16,Pass,271.021176,8.649612,729.450612,1
23,16,Pass,236.422728,8.649612,706.38498,1
23,16,Pass,268.137972,8.649612,752.516244,1
23,16,Pass,57.66408,8.649612,155.693016,1
39,15,Pass,245.07234,8.649612,709.268184,1
47,16,Pass,271.021176,8.649612,813.063528,1
47,16,Pass,271.021176,8.649612,810.180324,1
47,16,Pass,271.021176,8.649612,810.180324,1
47,16,Pass,89.379324,8.649612,265.254768,1
71,16,Pass,51.897672,8.649612,152.809812,1
71,16,Pass,271.021176,8.649612,798.647508,1
71,16,Pass,123.977772,8.649612,351.750888,1
73,16,Pass,54.780876,8.649612,152.809812,1
84,15,Pass,1210.94568,8.649612,3609.771408,1
16,9,Pass,11.498856,54.619566,134.713703,3
19,13,Pass,22.997712,149.485128,364.013623,3
26,18,Pass,11.498856,195.480552,464.332338,3
26,18,Pass,8.624142,198.355266,513.058571,3
26,18,Pass,8.624142,123.612702,355.414876,3
26,18,Pass,11.498856,97.740276,300.956145,3
26,18,Pass,14.37357,74.742564,183.439936,3
26,18,Pass,8.624142,71.86785,183.439936,3
76,19,Pass,20.122998,60.368994,183.439936,3
76,19,Pass,8.624142,57.49428,157.643695,3
76,19,Pass,11.498856,155.234556,412.739856,3
76,19,Pass,11.498856,68.993136,197.771181,3
76,19,Pass,8.624142,166.733412,378.344868,3
76,19,Pass,11.498856,89.116134,212.102426,3
77,19,Pass,8.624142,135.111558,300.956145,3
97,19,Pass,20.122998,91.990848,252.229912,3
97,19,Pass,8.624142,63.243708,169.108691,3

