[Wafer Information]
Wafer Number,11
Wafer ID,A51-Q336300-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101176-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/24/2024 11:26
End Time,01/24/2024 11:29
Inspection Time,0:03:21
Photo Time,0:04:12
Data Output Time,01/24/2024 01:44

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F33 Black Foreign material
11,A51-Q336300-403,5518,5425,98.314607,93,142,32,108,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,36,50,49.014468,25.948836,354.634092,3
3,32,50,57.66408,25.948836,415.181376,3
5,36,50,668.903328,8.649612,1894.265028,1
7,20,50,273.90438,8.649612,815.946732,1
7,20,50,273.90438,8.649612,813.063528,1
7,20,50,271.021176,8.649612,801.530712,1
7,20,50,271.021176,8.649612,746.749836,1
7,39,50,34.598448,8.649612,92.262528,1
8,38,50,118.211364,23.065632,743.866632,3
8,20,50,271.021176,8.649612,807.29712,1
8,39,50,273.90438,8.649612,775.581876,1
8,39,50,273.90438,8.649612,792.8811,1
8,39,50,271.021176,8.649612,778.46508,1
9,39,50,271.021176,8.649612,810.180324,1
9,39,50,271.021176,8.649612,766.932264,1
9,39,50,109.561752,8.649612,299.853216,1
10,49,50,46.131264,8.649612,138.393792,1
11,37,50,40.364856,25.948836,305.619624,3
11,20,50,273.90438,8.649612,778.46508,1
11,20,50,273.90438,8.649612,795.764304,1
11,20,50,271.021176,8.649612,781.348284,1
13,38,50,273.90438,8.649612,807.29712,1
13,38,50,273.90438,8.649612,801.530712,1
13,38,50,123.977772,8.649612,348.867684,1
14,38,50,273.90438,8.649612,778.46508,1
14,38,50,273.90438,8.649612,769.815468,1
14,38,50,268.137972,8.649612,775.581876,1
19,14,50,83.612916,8.649612,233.539524,1
22,21,50,57.66408,20.182428,345.98448,3
22,21,50,271.021176,8.649612,758.282652,1
24,43,50,43.24806,23.065632,288.3204,3
25,60,50,273.90438,8.649612,761.165856,1
25,60,50,273.90438,8.649612,769.815468,1
25,60,50,271.021176,8.649612,712.151388,1
27,63,50,271.021176,8.649612,807.29712,1
27,63,50,271.021176,8.649612,784.231488,1
27,63,50,126.860976,8.649612,331.56846,1
27,23,50,43.24806,20.182428,256.605156,3
26,60,50,271.021176,8.649612,813.063528,1
26,60,50,271.021176,8.649612,810.180324,1
26,60,50,126.860976,8.649612,369.050112,1
28,63,50,273.90438,8.649612,798.647508,1
28,63,50,271.021176,8.649612,792.8811,1
28,63,50,271.021176,8.649612,755.399448,1
29,17,50,46.131264,20.182428,265.254768,3
30,43,50,40.364856,25.948836,265.254768,3
30,28,50,72.0801,20.182428,438.247008,3
31,32,50,43.24806,17.299224,230.65632,3
32,37,50,43.24806,20.182428,245.07234,3
34,38,50,271.021176,8.649612,798.647508,1
36,38,50,57.66408,11.532816,161.459424,1
35,38,50,273.90438,8.649612,738.100224,1
35,61,50,271.021176,8.649612,758.282652,1
36,61,50,276.787584,8.649612,821.71314,1
36,61,50,273.90438,8.649612,815.946732,1
36,61,50,161.459424,8.649612,481.495068,1
37,37,50,343.101276,8.649612,977.406156,1
39,20,50,57.66408,11.532816,170.109036,1
39,62,50,37.481652,8.649612,106.678548,1
41,20,50,271.021176,8.649612,781.348284,1
40,20,50,271.021176,8.649612,752.516244,1
40,62,50,271.021176,8.649612,792.8811,1
40,62,50,57.66408,8.649612,152.809812,1
41,62,50,271.021176,8.649612,801.530712,1
41,62,50,271.021176,8.649612,723.684204,1
40,67,50,57.66408,20.182428,345.98448,3
42,0,50,271.021176,8.649612,766.932264,1
44,48,50,80.729712,8.649612,210.473892,1
48,60,50,271.021176,8.649612,729.450612,1
49,53,50,34.598448,40.364856,279.670788,3
49,25,50,40.364856,23.065632,233.539524,3
53,1,50,271.021176,8.649612,804.413916,1
53,1,50,271.021176,8.649612,807.29712,1
53,1,50,268.137972,8.649612,792.8811,1
54,1,50,271.021176,8.649612,715.034592,1
54,1,50,20.182428,8.649612,60.547284,1
54,1,50,126.860976,8.649612,366.166908,1
56,59,50,556.458372,8.649612,1643.42628,1
58,19,50,66.313692,23.065632,397.882152,3
56,38,50,271.021176,8.649612,775.581876,1
56,61,50,271.021176,8.649612,810.180324,1
60,8,50,25.948836,8.649612,63.430488,1
61,20,50,54.780876,8.649612,144.1602,1
61,37,50,271.021176,8.649612,764.04906,1
61,37,50,271.021176,8.649612,723.684204,1
60,39,50,69.196896,20.182428,394.998948,3
61,65,50,123.977772,8.649612,331.56846,1
62,62,50,273.90438,8.649612,781.348284,1
62,62,50,271.021176,8.649612,795.764304,1
62,62,50,271.021176,8.649612,758.282652,1
62,37,50,271.021176,8.649612,798.647508,1
62,37,50,268.137972,8.649612,729.450612,1
62,20,50,273.90438,8.649612,735.21702,1
62,20,50,273.90438,8.649612,761.165856,1
62,20,50,271.021176,8.649612,735.21702,1
62,20,50,57.66408,8.649612,144.1602,1
61,12,50,20.182428,8.649612,57.66408,1
65,22,50,74.963304,20.182428,441.130212,3
70,60,50,271.021176,8.649612,709.268184,1
71,31,50,66.313692,23.065632,389.23254,3
78,38,50,271.021176,8.649612,781.348284,1
77,49,50,54.780876,8.649612,155.693016,1
77,39,50,80.729712,23.065632,490.14468,3
78,61,50,273.90438,8.649612,758.282652,1
79,61,50,273.90438,8.649612,804.413916,1
79,61,50,273.90438,8.649612,804.413916,1
79,61,50,271.021176,8.649612,807.29712,1
79,47,50,63.430488,23.065632,406.531764,3
78,21,50,95.145732,11.532816,288.3204,1
81,20,50,43.24806,8.649612,123.977772,1
83,29,50,170.109036,8.649612,504.5607,1
82,37,50,273.90438,8.649612,781.348284,1
82,37,50,273.90438,8.649612,795.764304,1
82,37,50,271.021176,8.649612,784.231488,1
82,20,50,273.90438,8.649612,789.997896,1
82,20,50,273.90438,8.649612,798.647508,1
82,20,50,271.021176,8.649612,772.698672,1
83,37,50,271.021176,8.649612,775.581876,1
84,31,50,83.612916,8.649612,222.006708,1
86,32,50,60.547284,20.182428,360.4005,3
86,39,50,43.24806,20.182428,262.371564,3
89,50,50,46.131264,23.065632,279.670788,3
93,37,50,40.364856,23.065632,285.437196,3
95,35,50,69.196896,23.065632,455.546232,3
94,50,50,63.430488,20.182428,371.933316,3
101,38,50,273.90438,8.649612,789.997896,1
101,38,50,271.021176,8.649612,795.764304,1
101,38,50,276.787584,8.649612,769.815468,1
101,38,50,49.014468,23.065632,340.218072,3
100,38,50,271.021176,8.649612,778.46508,1
102,38,50,34.598448,8.649612,98.028936,1
18,55,50,8.624142,60.368994,146.178699,3
18,55,50,8.624142,68.993136,151.911197,3
22,42,50,11.498856,123.612702,266.561157,3
37,3,50,34.496568,54.619566,343.94988,3
30,10,50,11.498856,2.874714,11.464996,1
