[Wafer Information]
Wafer Number,11
Wafer ID,Q335405-05C5
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101451-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/23/2024 03:40
End Time,01/23/2024 03:47
Inspection Time,0:06:24
Photo Time,0:10:36
Data Output Time,01/23/2024 05:15

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder,F13 Pad area damage
11,Q335405-05C5,18411,18197,98.837651,214,270,269,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,70,50,230.65632,8.649612,666.020124,1
7,70,50,11.505648,11.505648,31.565996,1
15,41,50,80.729712,34.598448,550.691964,3
18,42,50,43.24806,23.065632,245.07234,3
20,93,50,43.24806,23.065632,288.3204,3
22,57,50,49.014468,23.065632,308.502828,3
23,30,50,40.364856,25.948836,279.670788,3
24,71,50,8.649612,49.014468,135.510588,1
25,98,50,57.66408,20.182428,345.98448,3
25,31,50,14.41602,34.598448,123.977772,1
25,31,50,11.505648,31.640532,111.915804,1
30,48,50,54.780876,8.649612,147.043404,1
29,49,50,17.299224,8.649612,46.131264,1
33,98,50,43.24806,20.182428,256.605156,3
37,99,50,77.846508,20.182428,449.779824,3
46,103,50,8.649612,149.926608,415.181376,1
46,69,50,8.649612,46.131264,118.211364,1
49,105,50,46.131264,20.182428,271.021176,3
50,108,50,80.729712,11.532816,236.422728,1
49,89,50,72.0801,11.532816,187.40826,1
49,27,50,51.897672,8.649612,141.276996,1
54,113,50,43.24806,28.83204,268.137972,3
51,92,50,268.137972,8.649612,697.735368,1
51,92,50,34.598448,8.649612,92.262528,1
52,26,50,46.131264,8.649612,123.977772,1
53,87,50,80.729712,11.532816,271.021176,1
51,103,50,57.66408,8.649612,152.809812,1
60,112,50,43.24806,20.182428,253.721952,3
69,109,50,17.299224,14.41602,63.430488,1
69,109,50,8.629236,11.505648,25.826724,1
69,109,50,17.258472,20.134884,94.697988,1
68,37,50,8.649612,149.926608,444.013416,1
68,26,50,8.649612,149.926608,446.89662,1
68,15,50,8.649612,149.926608,435.363804,1
67,8,50,54.780876,25.948836,354.634092,3
73,114,50,271.021176,11.532816,746.749836,1
73,114,50,239.305932,11.532816,666.020124,1
72,53,50,80.729712,8.649612,216.2403,1
72,42,50,80.729712,11.532816,288.3204,1
73,103,50,265.254768,11.532816,784.231488,1
73,103,50,265.254768,11.532816,761.165856,1
73,92,50,268.137972,11.532816,844.778772,1
70,11,50,8.649612,80.729712,222.006708,1
72,32,50,11.532816,8.649612,34.598448,1
72,27,50,271.021176,8.649612,801.530712,1
72,27,50,271.021176,8.649612,732.333816,1
72,38,50,268.137972,8.649612,784.231488,1
73,104,50,63.430488,8.649612,178.758648,1
75,10,50,80.729712,11.532816,265.254768,1
90,25,50,8.649612,49.014468,123.977772,1
96,70,50,25.948836,11.532816,92.262528,1
96,70,50,23.011296,8.629236,45.914176,1
96,92,50,54.780876,8.649612,138.393792,1
95,26,50,268.137972,8.649612,769.815468,1
95,26,50,149.926608,8.649612,420.947784,1
95,26,50,265.254768,8.649612,706.38498,1
95,15,50,268.137972,8.649612,709.268184,1
100,82,50,28.83204,8.649612,80.729712,1
100,82,50,17.299224,8.649612,46.131264,1
113,110,50,49.014468,23.065632,296.970012,3
113,101,50,72.0801,49.014468,856.311588,3
113,101,50,57.52824,14.38206,223.831608,3
117,114,50,207.590688,11.532816,550.691964,1
117,114,50,57.66408,11.532816,152.809812,1
117,103,50,268.137972,8.649612,703.501776,1
117,103,50,57.66408,8.649612,155.693016,1
119,98,50,80.729712,11.532816,236.422728,1
119,98,50,80.729712,8.649612,239.305932,1
119,98,50,167.225832,8.649612,481.495068,1
119,98,50,80.729712,8.649612,224.889912,1
119,98,50,167.225832,11.532816,481.495068,1
116,48,50,123.977772,8.649612,331.56846,1
118,26,50,34.598448,11.532816,103.795344,1
122,27,50,25.948836,8.649612,69.196896,1
125,100,50,49.014468,20.182428,279.670788,3
134,70,50,8.649612,149.926608,446.89662,1
134,59,50,8.649612,149.926608,435.363804,1
134,53,50,8.649612,83.612916,230.65632,1
134,35,50,43.24806,37.481652,397.882152,3
138,75,50,80.729712,8.649612,230.65632,1
138,70,50,152.809812,11.532816,527.626332,1
138,64,50,80.729712,11.532816,288.3204,1
139,103,50,43.24806,11.532816,141.276996,1
139,114,50,268.137972,11.532816,787.114692,1
138,97,50,80.729712,11.532816,294.086808,1
138,97,50,80.729712,11.532816,317.15244,1
138,86,50,80.729712,8.649612,222.006708,1
137,14,50,63.430488,8.649612,164.342628,1
137,14,50,167.225832,8.649612,426.714192,1
137,14,50,83.612916,11.532816,219.123504,1
137,14,50,80.729712,11.532816,216.2403,1
138,49,50,271.021176,8.649612,804.413916,1
138,49,50,271.021176,8.649612,772.698672,1
138,104,50,118.211364,8.649612,345.98448,1
141,10,50,80.729712,8.649612,219.123504,1
141,10,50,77.846508,8.649612,222.006708,1
141,10,50,167.225832,8.649612,461.31264,1
142,81,50,77.846508,25.948836,567.991188,3
150,104,50,51.897672,23.065632,354.634092,3
155,104,50,49.014468,23.065632,302.73642,3
158,82,50,80.729712,11.532816,224.889912,1
157,77,50,54.780876,23.065632,394.998948,3
157,18,50,8.649612,149.926608,426.714192,1
161,81,50,271.021176,8.649612,778.46508,1
161,81,50,271.021176,11.532816,850.54518,1
161,81,50,49.014468,11.532816,155.693016,1
162,103,50,54.780876,8.649612,144.1602,1
162,92,50,54.780876,11.532816,198.941076,1
161,26,50,236.422728,8.649612,703.501776,1
161,59,50,271.021176,11.532816,815.946732,1
161,59,50,271.021176,11.532816,781.348284,1
161,59,50,268.137972,11.532816,775.581876,1
161,48,50,268.137972,11.532816,1026.420624,1
161,48,50,268.137972,11.532816,928.391688,1
161,48,50,144.1602,11.532816,487.261476,1
161,37,50,271.021176,8.649612,787.114692,1
161,37,50,187.40826,8.649612,518.97672,1
162,82,50,49.014468,23.065632,314.269236,3
161,49,50,271.021176,8.649612,732.333816,1
161,60,50,170.109036,8.649612,501.677496,1
162,67,50,34.598448,40.364856,426.714192,3
161,93,50,54.780876,8.649612,147.043404,1
166,104,50,28.83204,11.532816,83.612916,1
168,18,50,46.131264,28.83204,322.918848,3
169,20,50,54.780876,34.598448,446.89662,3
171,29,50,46.131264,25.948836,294.086808,3
177,47,50,80.729712,25.948836,550.691964,3
177,47,50,2.876412,8.629236,8.608908,1
178,63,50,43.24806,20.182428,242.189136,3
181,100,50,1262.843352,11.532816,3425.246352,1
181,100,50,8.629236,2.876412,8.608908,1
181,93,50,28.83204,11.532816,95.145732,1
181,93,50,80.729712,11.532816,207.590688,1
180,33,50,8.649612,80.729712,233.539524,1
184,48,50,57.66408,8.649612,155.693016,1
184,27,50,40.364856,28.83204,296.970012,3
184,37,50,54.780876,8.649612,144.1602,1
184,36,50,51.897672,8.649612,149.926608,1
189,70,50,51.897672,20.182428,322.918848,3
191,72,50,46.131264,23.065632,268.137972,3
192,70,50,72.0801,23.065632,455.546232,3
194,78,50,25.948836,8.649612,66.313692,1
194,78,50,25.887708,14.38206,91.828352,1
194,69,50,51.897672,34.598448,467.079048,3
195,71,50,46.131264,20.182428,271.021176,3
200,59,50,8.649612,149.926608,418.06458,1
202,55,50,11.532816,80.729712,242.189136,1
202,42,50,57.66408,28.83204,386.349336,3
203,45,50,80.729712,11.532816,279.670788,1
203,45,50,77.846508,8.649612,233.539524,1
205,59,50,57.66408,8.649612,152.809812,1
207,54,50,80.729712,11.532816,262.371564,1
207,54,50,80.729712,8.649612,236.422728,1
207,54,50,77.846508,8.649612,227.773116,1
207,54,50,164.342628,8.649612,469.962252,1
207,54,50,80.729712,8.649612,227.773116,1
207,53,50,77.846508,8.649612,213.357096,1
208,64,50,54.780876,25.948836,354.634092,3
36,21,50,14.38206,51.775416,189.395976,3
66,22,50,60.404652,51.775416,505.055936,3
159,29,50,48.899004,46.022592,576.796836,3
194,86,50,20.134884,51.775416,272.61542,3
