[Wafer Information]
Wafer Number,5
Wafer ID,A33-Q335405-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101455-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/24/2024 08:59
End Time,01/24/2024 09:02
Inspection Time,0:03:21
Photo Time,0:04:50
Data Output Time,01/24/2024 09:20

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
5,A33-Q335405-403,3251,3201,98.462012,50,91,45,46

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,37,50,276.787584,8.649612,821.71314,1
5,37,50,115.32816,8.649612,340.218072,1
5,37,50,271.021176,8.649612,807.29712,1
5,37,50,271.021176,8.649612,807.29712,1
5,37,50,271.021176,8.649612,807.29712,1
5,37,50,57.66408,8.649612,155.693016,1
6,37,50,164.342628,8.649612,446.89662,1
16,36,50,271.021176,8.649612,795.764304,1
16,18,50,80.729712,8.649612,222.006708,1
19,25,50,31.715244,8.649612,89.379324,1
20,25,50,51.897672,8.649612,147.043404,1
23,6,50,213.357096,8.649612,640.071288,1
23,6,50,100.91214,8.649612,302.73642,1
25,6,50,43.24806,8.649612,123.977772,1
24,6,50,268.137972,8.649612,723.684204,1
36,7,50,57.66408,11.532816,164.342628,1
37,7,50,273.90438,8.649612,743.866632,1
37,7,50,271.021176,8.649612,769.815468,1
37,7,50,268.137972,8.649612,789.997896,1
37,36,50,123.977772,11.532816,366.166908,1
37,36,50,106.678548,8.649612,314.269236,1
39,36,50,54.780876,11.532816,164.342628,1
38,7,50,271.021176,8.649612,712.151388,1
42,25,50,54.780876,11.532816,155.693016,1
40,25,50,80.729712,8.649612,242.189136,1
40,25,50,273.90438,8.649612,813.063528,1
40,25,50,89.379324,8.649612,268.137972,1
45,6,50,268.137972,8.649612,761.165856,1
45,17,50,80.729712,31.715244,642.954492,3
45,17,50,66.118422,17.248284,321.019888,3
53,5,50,247.955544,8.649612,743.866632,1
54,37,50,60.547284,25.948836,357.517296,3
59,7,50,276.787584,8.649612,821.71314,1
60,7,50,271.021176,8.649612,761.165856,1
62,25,50,268.137972,8.649612,720.801,1
67,6,50,271.021176,8.649612,798.647508,1
67,6,50,271.021176,8.649612,807.29712,1
67,6,50,271.021176,8.649612,807.29712,1
67,6,50,268.137972,8.649612,795.764304,1
70,36,50,1095.61752,8.649612,2975.466528,1
73,5,50,57.66408,11.532816,170.109036,1
74,5,50,271.021176,8.649612,813.063528,1
74,5,50,57.66408,8.649612,158.57622,1
76,26,50,271.021176,8.649612,761.165856,1
78,38,50,54.780876,23.065632,317.15244,3
81,32,50,80.729712,8.649612,219.123504,1
84,25,50,271.021176,8.649612,807.29712,1
84,25,50,37.481652,8.649612,109.561752,1
96,26,50,268.137972,8.649612,703.501776,1
98,22,50,40.364856,28.83204,325.802052,3
2,25,50,28.74714,66.118422,217.834924,3
2,25,50,37.371282,57.49428,280.892402,3
2,25,50,37.371282,261.598974,773.88723,3
2,25,50,11.498856,68.993136,174.841189,3
2,24,50,11.498856,146.610414,427.071101,3
2,24,50,20.122998,140.860986,401.27486,3
2,24,50,37.371282,215.60355,616.243535,3
2,24,50,11.498856,97.740276,257.96241,3
5,25,50,8.624142,57.49428,131.847454,3
18,19,50,8.624142,89.116134,223.567422,3
18,19,50,11.498856,74.742564,177.707438,3
18,28,50,17.248284,54.619566,157.643695,3
19,19,50,11.498856,57.49428,131.847454,3
19,19,50,17.248284,66.118422,160.509944,3
19,19,50,11.498856,63.243708,140.446201,3
19,38,50,8.624142,83.366706,212.102426,3
19,38,50,11.498856,63.243708,140.446201,3
39,2,50,37.371282,51.744852,541.721061,3
39,1,50,8.624142,51.744852,134.713703,3
39,1,50,8.624142,68.993136,180.573687,3
43,37,50,8.624142,71.86785,166.242442,3
77,38,50,8.624142,63.243708,140.446201,3
77,38,50,17.248284,86.24142,212.102426,3
77,35,50,11.498856,71.86785,171.97494,3
77,35,50,8.624142,86.24142,186.306185,3
77,35,50,8.624142,71.86785,149.044948,3
79,35,50,11.498856,63.243708,137.579952,3
80,35,50,11.498856,57.49428,171.97494,3
80,12,50,11.498856,275.972544,624.842282,3
80,12,50,22.997712,241.475976,659.23727,3
80,12,50,8.624142,160.983984,372.61237,3
80,12,50,8.624142,97.740276,255.096161,3
80,12,50,8.624142,60.368994,154.777446,3
80,12,50,11.498856,86.24142,192.038683,3
80,12,50,11.498856,54.619566,128.981205,3
93,33,50,8.624142,103.489704,257.96241,3
94,33,50,8.624142,106.364418,249.363663,3
94,33,50,11.498856,77.617278,189.172434,3
94,33,50,8.624142,206.979408,444.268595,3
94,33,50,8.624142,109.239132,280.892402,3
94,33,50,8.624142,60.368994,128.981205,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
5,A33-Q335405-403,3251,3246,99.846201,5,6,5,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,37,Pass,276.787584,8.649612,821.71314,1
5,37,Pass,115.32816,8.649612,340.218072,1
5,37,Pass,271.021176,8.649612,807.29712,1
5,37,Pass,271.021176,8.649612,807.29712,1
5,37,Pass,271.021176,8.649612,807.29712,1
5,37,Pass,57.66408,8.649612,155.693016,1
6,37,Pass,164.342628,8.649612,446.89662,1
16,36,Pass,271.021176,8.649612,795.764304,1
16,18,Pass,80.729712,8.649612,222.006708,1
19,25,Pass,31.715244,8.649612,89.379324,1
20,25,Pass,51.897672,8.649612,147.043404,1
23,6,Pass,213.357096,8.649612,640.071288,1
23,6,Pass,100.91214,8.649612,302.73642,1
25,6,Pass,43.24806,8.649612,123.977772,1
24,6,Pass,268.137972,8.649612,723.684204,1
36,7,Pass,57.66408,11.532816,164.342628,1
37,7,Pass,273.90438,8.649612,743.866632,1
