[Wafer Information]
Wafer Number,17
Wafer ID,A38-Q335405-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101458-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/25/2024 02:42
End Time,01/25/2024 02:45
Inspection Time,0:03:22
Photo Time,0:01:45
Data Output Time,01/25/2024 05:21

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder,F06 Incoming others
17,A38-Q335405-403,5384,5346,99.294205,38,51,51

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,36,50,31.715244,8.649612,86.49612,1
3,36,50,20.182428,8.649612,51.897672,1
16,52,50,66.313692,8.649612,193.174668,1
19,20,50,57.66408,8.649612,147.043404,1
19,29,50,126.860976,25.948836,772.698672,3
22,54,50,83.612916,8.649612,242.189136,1
22,54,50,98.028936,8.649612,247.955544,1
30,19,50,271.021176,8.649612,810.180324,1
30,19,50,271.021176,8.649612,807.29712,1
32,5,50,138.393792,23.065632,893.79324,3
36,39,50,273.90438,8.649612,769.815468,1
36,39,50,271.021176,8.649612,804.413916,1
36,39,50,271.021176,8.649612,801.530712,1
34,18,50,109.561752,8.649612,296.970012,1
37,39,50,123.977772,8.649612,363.283704,1
50,51,50,69.196896,20.182428,438.247008,3
51,40,50,268.137972,8.649612,758.282652,1
53,19,50,273.90438,8.649612,815.946732,1
53,19,50,271.021176,8.649612,810.180324,1
53,40,50,54.780876,8.649612,141.276996,1
53,59,50,17.299224,20.182428,92.262528,2
59,30,50,14.41602,20.182428,72.0801,2
61,48,50,46.131264,17.299224,242.189136,3
63,59,50,132.627384,28.83204,833.245956,3
64,20,50,271.021176,8.649612,798.647508,1
64,53,50,83.612916,8.649612,224.889912,1
66,35,50,46.131264,28.83204,285.437196,3
64,21,50,216.2403,8.649612,642.954492,1
64,21,50,123.977772,11.532816,331.56846,1
66,37,50,43.24806,23.065632,282.553992,3
67,41,50,273.90438,8.649612,778.46508,1
67,41,50,123.977772,8.649612,328.685256,1
74,40,50,271.021176,8.649612,813.063528,1
74,40,50,57.66408,8.649612,164.342628,1
74,19,50,271.021176,8.649612,810.180324,1
74,19,50,271.021176,8.649612,813.063528,1
74,19,50,126.860976,8.649612,369.050112,1
73,40,50,268.137972,8.649612,761.165856,1
73,40,50,123.977772,8.649612,334.451664,1
76,22,50,74.963304,20.182428,418.06458,3
83,30,50,167.225832,8.649612,455.546232,1
81,31,50,80.729712,8.649612,239.305932,1
81,31,50,83.612916,8.649612,230.65632,1
85,14,50,121.094568,28.83204,827.479548,3
87,14,50,49.014468,23.065632,348.867684,3
91,18,50,46.131264,25.948836,305.619624,3
96,19,50,268.137972,8.649612,732.333816,1
29,6,50,14.37357,68.993136,169.108691,3
31,15,50,11.498856,17.248284,65.923727,1
80,39,50,8.624142,71.86785,151.911197,3
97,45,50,8.624142,51.744852,120.382458,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder,F06 Incoming others
17,A38-Q335405-403,5384,5346,99.294205,38,51,35,14,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,36,50,31.715244,8.649612,86.49612,1
3,36,50,20.182428,8.649612,51.897672,1
16,52,50,66.313692,8.649612,193.174668,1
19,20,50,57.66408,8.649612,147.043404,1
19,29,50,126.860976,25.948836,772.698672,3
22,54,50,83.612916,8.649612,242.189136,1
22,54,50,98.028936,8.649612,247.955544,1
30,19,50,271.021176,8.649612,810.180324,1
30,19,50,271.021176,8.649612,807.29712,1
32,5,50,138.393792,23.065632,893.79324,3
36,39,50,273.90438,8.649612,769.815468,1
36,39,50,271.021176,8.649612,804.413916,1
36,39,50,271.021176,8.649612,801.530712,1
34,18,50,109.561752,8.649612,296.970012,1
37,39,50,123.977772,8.649612,363.283704,1
50,51,50,69.196896,20.182428,438.247008,3
51,40,50,268.137972,8.649612,758.282652,1
53,19,50,273.90438,8.649612,815.946732,1
53,19,50,271.021176,8.649612,810.180324,1
53,40,50,54.780876,8.649612,141.276996,1
53,59,50,17.299224,20.182428,92.262528,2
59,30,50,14.41602,20.182428,72.0801,2
61,48,50,46.131264,17.299224,242.189136,3
63,59,50,132.627384,28.83204,833.245956,3
64,20,50,271.021176,8.649612,798.647508,1
64,53,50,83.612916,8.649612,224.889912,1
66,35,50,46.131264,28.83204,285.437196,3
64,21,50,216.2403,8.649612,642.954492,1
64,21,50,123.977772,11.532816,331.56846,1
66,37,50,43.24806,23.065632,282.553992,3
67,41,50,273.90438,8.649612,778.46508,1
67,41,50,123.977772,8.649612,328.685256,1
74,40,50,271.021176,8.649612,813.063528,1
74,40,50,57.66408,8.649612,164.342628,1
74,19,50,271.021176,8.649612,810.180324,1
74,19,50,271.021176,8.649612,813.063528,1
74,19,50,126.860976,8.649612,369.050112,1
73,40,50,268.137972,8.649612,761.165856,1
73,40,50,123.977772,8.649612,334.451664,1
76,22,50,74.963304,20.182428,418.06458,3
83,30,50,167.225832,8.649612,455.546232,1
81,31,50,80.729712,8.649612,239.305932,1
81,31,50,83.612916,8.649612,230.65632,1
85,14,50,121.094568,28.83204,827.479548,3
87,14,50,49.014468,23.065632,348.867684,3
91,18,50,46.131264,25.948836,305.619624,3
96,19,50,268.137972,8.649612,732.333816,1
29,6,50,14.37357,68.993136,169.108691,3
31,15,50,11.498856,17.248284,65.923727,1
80,39,50,8.624142,71.86785,151.911197,3
97,45,50,8.624142,51.744852,120.382458,3

