[Wafer Information]
Wafer Number,11
Wafer ID,A41-Q335405-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101458-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/25/2024 04:36
End Time,01/25/2024 04:39
Inspection Time,0:03:21
Photo Time,0:03:03
Data Output Time,01/25/2024 05:23

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others,F06 Incoming others
11,A41-Q335405-403,5518,5452,98.803914,66,97,22,75

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,20,50,51.897672,25.948836,371.933316,3
8,47,50,276.787584,8.649612,818.829936,1
8,47,50,273.90438,8.649612,778.46508,1
8,47,50,271.021176,8.649612,738.100224,1
8,47,50,268.137972,8.649612,743.866632,1
8,35,50,43.24806,23.065632,253.721952,3
9,47,50,271.021176,8.649612,801.530712,1
13,22,50,83.612916,8.649612,236.422728,1
13,48,50,34.598448,8.649612,86.49612,1
18,26,50,57.66408,20.182428,317.15244,3
18,42,50,51.897672,23.065632,311.386032,3
19,30,50,8.649612,1199.412864,3485.793636,1
22,46,50,273.90438,8.649612,818.829936,1
22,46,50,273.90438,8.649612,815.946732,1
22,46,50,60.547284,8.649612,175.875444,1
20,14,50,207.590688,8.649612,576.6408,1
21,39,50,46.131264,20.182428,256.605156,3
23,42,50,63.430488,20.182428,371.933316,3
24,10,50,80.729712,8.649612,210.473892,1
29,9,50,80.729712,8.649612,219.123504,1
31,58,50,57.66408,23.065632,340.218072,3
32,41,50,83.612916,8.649612,204.707484,1
34,43,50,43.24806,20.182428,236.422728,3
36,15,50,273.90438,8.649612,810.180324,1
36,15,50,138.393792,8.649612,409.414968,1
36,65,50,54.780876,20.182428,302.73642,3
38,11,50,28.83204,11.532816,80.729712,1
37,15,50,181.641852,8.649612,544.925556,1
37,15,50,271.021176,8.649612,801.530712,1
37,15,50,123.977772,8.649612,354.634092,1
40,11,50,86.49612,8.649612,233.539524,1
40,11,50,92.262528,8.649612,242.189136,1
42,58,50,17.299224,8.649612,43.24806,1
41,56,50,63.430488,23.065632,383.466132,3
43,46,50,271.021176,8.649612,813.063528,1
43,46,50,271.021176,8.649612,807.29712,1
43,46,50,126.860976,8.649612,366.166908,1
43,16,50,69.196896,23.065632,400.765356,3
43,36,50,83.612916,8.649612,239.305932,1
44,7,50,123.977772,8.649612,366.166908,1
44,7,50,123.977772,8.649612,340.218072,1
44,10,50,80.729712,8.649612,236.422728,1
49,66,50,49.014468,23.065632,328.685256,3
50,47,50,54.780876,8.649612,141.276996,1
52,29,50,46.131264,25.948836,299.853216,3
56,30,50,273.90438,8.649612,815.946732,1
56,30,50,268.137972,8.649612,735.21702,1
57,30,50,273.90438,8.649612,813.063528,1
57,30,50,271.021176,8.649612,732.333816,1
62,61,50,49.014468,8.649612,138.393792,1
62,13,50,51.897672,20.182428,302.73642,3
61,31,50,57.66408,8.649612,152.809812,1
61,6,50,273.90438,8.649612,813.063528,1
61,6,50,271.021176,8.649612,807.29712,1
61,6,50,273.90438,8.649612,813.063528,1
61,6,50,201.82428,8.649612,602.589636,1
63,14,50,74.963304,23.065632,484.378272,3
64,16,50,54.780876,8.649612,147.043404,1
64,5,50,54.780876,8.649612,141.276996,1
70,47,50,57.66408,8.649612,152.809812,1
71,18,50,69.196896,23.065632,438.247008,3
71,47,50,37.481652,8.649612,106.678548,1
73,14,50,51.897672,23.065632,314.269236,3
75,16,50,83.612916,23.065632,493.027884,3
79,5,50,54.780876,8.649612,138.393792,1
78,23,50,80.729712,8.649612,207.590688,1
81,15,50,54.780876,11.532816,155.693016,1
82,6,50,115.32816,11.532816,348.867684,1
82,6,50,268.137972,8.649612,801.530712,1
82,38,50,49.014468,23.065632,314.269236,3
84,39,50,95.145732,8.649612,245.07234,1
87,29,50,273.90438,8.649612,810.180324,1
87,29,50,273.90438,8.649612,813.063528,1
87,29,50,11.532816,8.649612,34.598448,1
87,16,50,273.90438,8.649612,813.063528,1
