[Wafer Information]
Wafer Number,17
Wafer ID,A60-Q336540-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101491-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/26/2024 10:14
End Time,01/26/2024 10:18
Inspection Time,0:03:22
Photo Time,0:03:39
Data Output Time,01/26/2024 11:17

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others,F82 Top side chipping no damage sensor area
17,A60-Q336540-403,5518,5459,98.930772,59,74,47,24,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,43,50,273.90438,8.649612,787.114692,1
2,43,50,271.021176,8.649612,787.114692,1
5,22,50,57.66408,11.532816,161.459424,1
3,29,50,46.131264,23.065632,282.553992,3
5,41,50,830.362752,8.649612,2220.06708,1
11,52,50,46.131264,20.182428,250.838748,3
12,13,50,14.41602,20.182428,72.0801,2
14,13,50,11.532816,8.649612,34.598448,1
17,29,50,43.24806,34.598448,311.386032,3
22,23,50,43.24806,8.649612,118.211364,1
21,53,50,74.963304,23.065632,481.495068,3
23,42,50,271.021176,8.649612,715.034592,1
25,43,50,54.780876,11.532816,164.342628,1
23,23,50,126.860976,8.649612,337.334868,1
26,22,50,268.137972,8.649612,766.932264,1
26,22,50,271.021176,8.649612,755.399448,1
31,23,50,17.299224,17.299224,83.612916,2
34,3,50,49.014468,20.182428,271.021176,3
36,64,50,57.66408,23.065632,377.699724,3
43,23,50,268.137972,8.649612,746.749836,1
43,23,50,271.021176,8.649612,729.450612,1
47,60,50,46.131264,20.182428,271.021176,3
49,25,50,57.66408,8.649612,161.459424,1
47,22,50,271.021176,8.649612,807.29712,1
47,22,50,219.123504,8.649612,645.837696,1
47,25,50,164.342628,8.649612,475.72866,1
51,29,50,72.0801,20.182428,429.597396,3
50,12,50,83.612916,8.649612,207.590688,1
52,44,50,51.897672,8.649612,135.510588,1
54,52,50,63.430488,20.182428,351.750888,3
60,45,50,273.90438,8.649612,726.567408,1
61,57,50,46.131264,43.24806,441.130212,3
61,57,50,51.744852,20.122998,269.427406,3
65,44,50,46.131264,23.065632,273.90438,3
64,16,50,92.262528,8.649612,253.721952,1
64,23,50,276.787584,8.649612,818.829936,1
64,23,50,273.90438,8.649612,815.946732,1
64,23,50,271.021176,8.649612,807.29712,1
64,23,50,167.225832,8.649612,501.677496,1
65,63,50,100.91214,23.065632,611.239248,3
64,24,50,181.641852,8.649612,533.39274,1
64,24,50,123.977772,11.532816,348.867684,1
65,5,50,77.846508,23.065632,498.794292,3
67,43,50,273.90438,8.649612,810.180324,1
67,43,50,161.459424,8.649612,469.962252,1
68,42,50,14.41602,20.182428,72.0801,2
70,22,50,271.021176,8.649612,813.063528,1
70,22,50,271.021176,8.649612,813.063528,1
70,54,50,89.379324,8.649612,242.189136,1
70,8,50,51.897672,23.065632,285.437196,3
71,8,50,51.897672,25.948836,369.050112,3
77,10,50,43.24806,23.065632,291.203604,3
80,44,50,98.028936,25.948836,637.188084,3
81,45,50,141.276996,8.649612,380.582928,1
81,45,50,49.014468,8.649612,135.510588,1
86,54,50,31.715244,8.649612,86.49612,1
84,10,50,43.24806,20.182428,236.422728,3
86,44,50,77.846508,20.182428,426.714192,3
85,10,50,40.364856,25.948836,256.605156,3
86,10,50,63.430488,20.182428,380.582928,3
87,23,50,268.137972,8.649612,743.866632,1
90,43,50,276.787584,8.649612,821.71314,1
90,43,50,245.07234,8.649612,729.450612,1
90,44,50,54.780876,11.532816,152.809812,1
91,44,50,271.021176,8.649612,778.46508,1
91,44,50,57.66408,8.649612,149.926608,1
94,33,50,11.532816,8.649612,31.715244,1
50,24,50,60.368994,51.744852,349.682378,3
73,41,50,31.621854,57.49428,278.026153,3
9,35,50,14.37357,2.874714,14.331245,1
9,35,50,14.37357,2.874714,14.331245,1
29,36,50,11.498856,2.874714,11.464996,1
63,36,50,8.624142,2.874714,8.598747,1
69,11,50,5.749428,2.874714,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others,F82 Top side chipping no damage sensor area
17,A60-Q336540-403,5518,5490,99.49257,28,30,22,3,1,2,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,43,Pass,273.90438,8.649612,787.114692,1
2,43,Pass,271.021176,8.649612,787.114692,1
5,22,Pass,57.66408,11.532816,161.459424,1
3,29,50,46.131264,23.065632,282.553992,3
5,41,Pass,830.362752,8.649612,2220.06708,1
11,52,50,46.131264,20.182428,250.838748,3
12,13,50,14.41602,20.182428,72.0801,2
14,13,Pass,11.532816,8.649612,34.598448,1
17,29,50,43.24806,34.598448,311.386032,3
22,23,50,43.24806,8.649612,118.211364,1
21,53,50,74.963304,23.065632,481.495068,3
23,42,Pass,271.021176,8.649612,715.034592,1
25,43,Pass,54.780876,11.532816,164.342628,1
23,23,Pass,126.860976,8.649612,337.334868,1
26,22,Pass,268.137972,8.649612,766.932264,1
26,22,Pass,271.021176,8.649612,755.399448,1
31,23,50,17.299224,17.299224,83.612916,2
34,3,50,49.014468,20.182428,271.021176,3
36,64,50,57.66408,23.065632,377.699724,3
43,23,Pass,268.137972,8.649612,746.749836,1
43,23,Pass,271.021176,8.649612,729.450612,1
47,60,50,46.131264,20.182428,271.021176,3
49,25,Pass,57.66408,8.649612,161.459424,1
47,22,Pass,271.021176,8.649612,807.29712,1
47,22,Pass,219.123504,8.649612,645.837696,1
47,25,Pass,164.342628,8.649612,475.72866,1
51,29,50,72.0801,20.182428,429.597396,3
