[Wafer Information]
Wafer Number,25
Wafer ID,A68-Q332665Z01-404
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,24101563-009
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/30/2024 09:50
End Time,01/30/2024 09:53
Inspection Time,0:03:25
Photo Time,0:07:09
Data Output Time,01/30/2024 10:10

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling
25,A68-Q332665Z01-404,1453,1404,96.627667,49,195,6,1,4,183,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
26,6,50,17.299224,25.948836,100.91214,2
27,12,50,11.532816,5.766408,23.065632,4
31,18,50,11.532816,20.182428,63.430488,2
34,12,50,11.532816,20.182428,66.313692,2
35,18,50,20.182428,17.299224,83.612916,2
35,7,50,17.299224,20.182428,98.028936,2
39,10,50,14.41602,20.182428,86.49612,2
12,14,50,63.243708,8.624142,149.044948,3
47,16,50,51.744852,14.37357,140.446201,3
46,9,50,51.744852,8.624142,131.847454,3
92,16,50,91.990848,11.498856,303.822394,3
7,17,50,2.874714,28.74714,28.66249,1
7,17,50,5.749428,43.12071,74.522474,1
11,15,50,77.617278,5.749428,131.847454,1
10,15,50,37.371282,2.874714,37.261237,1
18,19,50,14.37357,63.243708,146.178699,1
18,19,50,11.498856,66.118422,140.446201,1
18,19,50,11.498856,45.995424,83.121221,1
18,19,50,11.498856,89.116134,160.509944,1
18,19,50,5.749428,17.248284,28.66249,1
18,19,50,5.749428,11.498856,14.331245,1
18,19,50,11.498856,8.624142,25.796241,1
21,15,50,106.364418,5.749428,186.306185,1
21,15,50,57.49428,5.749428,91.719968,1
20,15,50,11.498856,2.874714,11.464996,1
22,15,50,37.371282,2.874714,37.261237,1
23,17,50,2.874714,11.498856,11.464996,1
25,6,50,37.371282,2.874714,37.261237,1
25,6,50,8.624142,2.874714,8.598747,1
25,6,50,28.74714,2.874714,28.66249,1
25,6,50,445.58067,2.874714,444.268595,1
25,6,50,20.122998,2.874714,20.063743,1
25,6,50,31.621854,2.874714,31.528739,1
25,6,50,14.37357,2.874714,14.331245,1
25,6,50,43.12071,2.874714,42.993735,1
25,6,50,66.118422,2.874714,65.923727,1
25,6,50,11.498856,2.874714,11.464996,1
29,17,50,8.624142,8.624142,14.331245,1
33,14,50,8.624142,5.749428,14.331245,1
36,1,50,11.498856,43.12071,100.318715,1
36,1,50,2.874714,8.624142,8.598747,1
36,1,50,2.874714,20.122998,20.063743,1
36,1,50,2.874714,17.248284,17.197494,1
36,1,50,2.874714,14.37357,14.331245,1
36,1,50,2.874714,8.624142,8.598747,1
